"time","x","y","position","velocity","acceleration","jerk","heading"
0,70.2708,-223.663,0,0,0,0,-90
0.02,70.2708,-223.85,0.186508,9.32541,466.27,23313.5,-89.9838
0.04,70.2708,-224.036,0.372995,9.32433,-0.0538863,-23316.2,-89.9675
0.06,70.2708,-224.223,0.559503,9.32541,0.0538885,5.38874,-89.9513
0.08,70.271,-224.408,0.744989,9.27433,-2.55362,-130.376,-89.935
0.1,70.2711,-224.594,0.931498,9.32541,2.55369,255.366,-89.9188
0.12,70.2716,-224.966,1.30325,18.5876,463.111,23027.9,-89.8527
0.14,70.2727,-225.406,1.74302,21.9883,170.034,-14653.9,-89.7681
0.16,70.275,-225.912,2.24881,25.2895,165.06,-248.708,-89.6372
0.18,70.2791,-226.472,2.80929,28.024,136.727,-1416.66,-89.4677
0.2,70.2862,-227.105,3.44243,31.6572,181.656,2246.46,-89.1898
0.22,70.2973,-227.779,4.11661,33.7092,102.601,-3952.76,-88.8283
0.24,70.3144,-228.5,4.8372,36.0291,115.995,669.729,-88.3567
0.26,70.3398,-229.267,5.60492,38.3862,117.857,93.0922,-87.7593
0.28,70.3761,-230.073,6.41198,40.3529,98.3337,-976.164,-87.0034
0.3,70.4262,-230.903,7.24293,41.5478,59.7471,-1929.33,-86.0108
0.32,70.4934,-231.75,8.09277,42.4917,47.1926,-627.725,-84.7642
0.34,70.5818,-232.603,8.95064,42.8936,20.0937,-1354.95,-83.2308
0.36,70.6949,-233.449,9.80414,42.6752,-10.9172,-1550.54,-81.3486
0.38,70.8335,-234.258,10.6248,41.0352,-82,-3554.14,-78.9985
0.4,70.9963,-235.003,11.3872,38.1195,-145.785,-3189.26,-76.0035
0.42,71.1818,-235.668,12.0779,34.5337,-179.29,-1675.26,-72.3736
0.44,71.3739,-236.21,12.6529,28.7472,-289.326,-5501.77,-67.8478
0.46,71.5577,-236.615,13.0974,22.2272,-325.997,-1833.56,-62.4088
0.48,71.7019,-236.861,13.3826,14.258,-398.464,-3623.36,-55.877
0.5,71.8055,-236.998,13.5541,8.57905,-283.945,5725.94,-48.4882
0.52,71.9035,-237.094,13.6917,6.87719,-85.0927,9942.63,-40.6089
0.54,72.0815,-237.223,13.9111,10.9713,204.705,14489.9,-32.7795
0.56,72.4499,-237.423,14.3304,20.963,499.586,14744.1,-25.5399
0.58,73.0912,-237.68,15.0213,34.5476,679.228,8982.05,-19.2275
0.6,74.0343,-237.955,16.0038,49.1234,728.79,2478.11,-13.9314
0.62,75.2742,-238.209,17.2693,63.2775,707.708,-1054.11,-9.61666
0.64,76.7795,-238.412,18.7883,75.9497,633.608,-3704.99,-6.14749
0.66,78.5134,-238.553,20.5279,86.9798,551.506,-4105.11,-3.3617
0.68,80.44,-238.627,22.4559,96.4005,471.036,-4023.49,-1.21328
0.7,82.4351,-238.638,24.4511,99.7565,167.799,-15161.8,0.419413
0.72,84.4534,-238.601,26.4698,100.934,58.896,-5445.15,1.59968
0.74,86.4708,-238.528,28.4884,100.932,-0.124838,-2951.04,2.4472
0.76,88.4693,-238.431,30.4892,100.042,-44.5131,-2219.41,3.04595
0.78,90.4407,-238.319,32.4638,98.7294,-65.6151,-1055.1,3.4326
0.8,92.3747,-238.198,34.4017,96.8919,-91.8741,-1312.95,3.655
0.82,94.2643,-238.075,36.2953,94.6811,-110.539,-933.269,3.74825
0.84,96.1063,-237.954,38.1413,92.2992,-119.094,-427.727,3.73013
0.86,97.8947,-237.839,39.9333,89.6019,-134.865,-788.527,3.63379
0.88,99.6249,-237.732,41.6669,86.6796,-146.116,-562.563,3.46334
0.9,101.294,-237.633,43.3386,83.585,-154.728,-430.611,3.24593
0.92,102.903,-237.545,44.9507,80.6071,-148.898,291.525,2.9916
0.94,104.439,-237.469,46.4884,76.8851,-186.098,-1860,2.71371
0.96,105.913,-237.402,47.9638,73.768,-155.856,1512.1,2.42185
0.98,107.311,-237.347,49.3628,69.9525,-190.777,-1746.06,2.12958
1,108.636,-237.3,50.6888,66.2972,-182.767,400.499,1.84112
1.02,109.89,-237.264,51.9426,62.6912,-180.3,123.322,1.56596
1.04,111.068,-237.234,53.1215,58.943,-187.41,-355.481,1.30843
1.06,112.168,-237.211,54.2221,55.0317,-195.562,-407.616,1.07459
1.08,113.19,-237.194,55.2443,51.1104,-196.067,-25.2289,0.865465
1.1,114.132,-237.181,56.1858,47.0748,-201.777,-285.507,0.682661
1.12,114.994,-237.173,57.0477,43.0935,-199.067,135.482,0.530346
1.14,115.781,-237.166,57.8351,39.3707,-186.139,646.421,0.403272
1.16,116.508,-237.161,58.5615,36.3224,-152.417,1686.09,0.294574
1.18,117.122,-237.159,59.1757,30.7068,-280.779,-6418.08,0.21509
1.2,117.682,-237.157,59.7357,28.0026,-135.21,7278.41,0.149916
1.22,118.148,-237.156,60.2025,23.3401,-233.124,-4895.66,0.109084
1.24,118.563,-237.156,60.6171,20.7275,-130.629,5124.74,0.0740533
1.26,118.755,-237.155,60.8092,9.60606,-556.074,-21272.3,0.0642247
1.28,118.947,-237.155,61.0013,9.60593,-0.00653861,27803.4,0.0543961
1.3,119.139,-237.155,61.1934,9.60593,8.53052e-07,0.326973,0.0445675
1.32,119.331,-237.155,61.3846,9.55593,-2.5,-125,0.0347389
1.34,119.523,-237.155,61.5767,9.60593,2.5,250,0.0249103
