"time","x","y","position","velocity","acceleration","jerk","heading"
0,45.5708,-223.663,0,0,0,0,-90
0.02,45.5708,-223.856,0.193492,9.67459,483.73,24186.5,-89.9838
0.04,45.5708,-224.05,0.387005,9.67567,0.0538863,-24183.8,-89.9675
0.06,45.5708,-224.243,0.580497,9.67459,-0.0538884,-5.38874,-89.9513
0.08,45.571,-224.436,0.773011,9.62568,-2.44585,-119.598,-89.935
0.1,45.5711,-224.63,0.966503,9.6746,2.44591,244.588,-89.9188
0.12,45.5716,-225.03,1.36675,20.0124,516.89,25722.2,-89.8527
0.14,45.5729,-225.506,1.84299,23.8118,189.972,-16345.9,-89.7681
0.16,45.5754,-226.068,2.40521,28.111,214.959,1249.35,-89.6372
0.18,45.5801,-226.702,3.03876,31.6776,178.327,-1831.59,-89.4677
0.2,45.5886,-227.455,3.7917,37.6472,298.483,6007.76,-89.1898
0.22,45.6025,-228.285,4.62173,41.5012,192.699,-5289.17,-88.8283
0.24,45.6246,-229.208,5.54561,46.1943,234.654,2097.71,-88.3567
0.26,45.6586,-230.233,6.57087,51.263,253.435,939.084,-87.7593
0.28,45.7099,-231.365,7.7038,56.6461,269.153,785.873,-87.0034
0.3,45.786,-232.621,8.96265,62.9429,314.841,2284.4,-86.0108
0.32,45.8964,-234.004,10.3499,69.3614,320.925,304.21,-84.7642
0.34,46.054,-235.515,11.8688,75.9447,329.167,412.079,-83.2308
0.36,46.2759,-237.165,13.5337,83.2438,364.956,1789.49,-81.3486
0.38,46.5875,-238.972,15.3674,91.6876,422.188,2861.6,-78.9985
0.4,47.0297,-240.977,17.4208,102.669,549.056,6343.4,-76.0035
0.42,47.6414,-243.148,19.676,112.762,504.675,-2219.05,-72.3736
0.44,48.4971,-245.524,22.2015,126.274,675.596,8546,-67.8478
0.46,49.6667,-248.055,24.9899,139.419,657.258,-916.902,-62.4088
0.48,51.2543,-250.717,28.0894,154.973,777.686,6021.4,-55.877
0.5,53.3097,-253.368,31.444,167.732,637.97,-6985.78,-48.4882
0.52,55.8265,-255.846,34.9756,176.58,442.392,-9778.88,-40.6089
0.54,58.7087,-257.989,38.5676,179.6,150.99,-14570.1,-32.7795
0.56,61.8007,-259.709,42.1057,176.906,-134.686,-14283.8,-25.5399
0.58,64.957,-261.002,45.5165,170.54,-318.307,-9181.03,-19.2275
0.6,68.0875,-261.929,48.7813,163.239,-365.073,-2338.32,-13.9314
0.62,71.148,-262.561,51.9065,156.259,-349.002,803.551,-9.61666
0.64,74.1345,-262.97,54.9208,150.715,-277.164,3591.89,-6.14749
0.66,77.065,-263.211,57.8612,147.021,-184.718,4622.3,-3.3617
0.68,79.917,-263.321,60.7153,142.707,-215.724,-1550.26,-1.21328
0.7,82.6159,-263.338,63.4143,134.948,-387.943,-8610.99,0.419413
0.72,85.143,-263.291,65.9418,126.374,-428.665,-2036.06,1.59968
0.74,87.5254,-263.206,68.3258,119.2,-358.725,3496.96,2.4472
0.76,89.7817,-263.097,70.5847,112.948,-312.617,2305.41,3.04595
0.78,91.9195,-262.975,72.726,107.064,-294.202,920.775,3.4326
0.8,93.9493,-262.848,74.7597,101.686,-268.892,1265.47,3.655
0.82,95.8791,-262.723,76.6935,96.6911,-249.729,958.145,3.74825
0.84,97.7133,-262.602,78.5317,91.9086,-239.122,530.377,3.73013
0.86,99.4601,-262.489,80.2822,87.5253,-219.165,997.828,3.63379
0.88,101.117,-262.386,81.9423,83.0056,-225.987,-341.085,3.46334
0.9,102.692,-262.293,83.5203,78.8988,-205.339,1032.42,3.24593
0.92,104.193,-262.211,85.0228,75.1251,-188.688,832.548,2.9916
0.94,105.609,-262.141,86.4407,70.8953,-211.489,-1140.07,2.71371
0.96,106.957,-262.08,87.7903,67.477,-170.912,2028.88,2.42185
0.98,108.229,-262.029,89.0633,63.6527,-191.219,-1015.36,2.12958
1,109.43,-261.988,90.2649,60.0795,-178.661,627.904,1.84112
1.02,110.564,-261.954,91.4001,56.7601,-165.966,634.709,1.56596
1.04,111.632,-261.928,92.4679,53.3919,-168.409,-122.153,1.30843
1.06,112.632,-261.907,93.4678,49.9913,-170.031,-81.0592,1.07459
1.08,113.564,-261.892,94.3998,46.6027,-169.43,30.0074,0.865465
1.1,114.426,-261.879,95.2625,43.1345,-173.41,-198.963,0.682661
1.12,115.222,-261.871,96.0587,39.8104,-166.208,360.081,0.530346
1.14,115.955,-261.866,96.7913,36.6317,-158.936,363.619,0.403272
1.16,116.634,-261.861,97.4709,33.9794,-132.612,1316.16,0.294574
1.18,117.214,-261.859,98.0508,28.9935,-249.294,-5834.05,0.21509
1.2,117.746,-261.857,98.5828,26.5978,-119.788,6475.28,0.149916
1.22,118.196,-261.856,99.032,22.46,-206.889,-4355.06,0.109084
1.24,118.595,-261.856,99.4314,19.9725,-124.377,4125.63,0.0740533
1.26,118.783,-261.855,99.6193,9.39421,-528.913,-20226.8,0.0642247
1.28,118.971,-261.855,99.8072,9.39407,-0.0066201,26445.3,0.0543961
1.3,119.159,-261.855,99.9951,9.39407,-8.72289e-07,0.330961,0.0445675
1.32,119.345,-261.855,100.182,9.34407,-2.5,-125,0.0347389
1.34,119.533,-261.855,100.37,9.39407,2.5,250,0.0249103
