"time","x","y","position","velocity","acceleration","jerk","heading"
0,19.1963,-429.661,0,0,0,0,0
0.02,19.3861,-429.661,0.189832,9.49159,474.58,23729,0.000611465
0.04,19.5761,-429.661,0.379764,9.49659,0.25,-23716.5,0.00122293
0.06,19.7659,-429.661,0.569595,9.49159,-0.249997,-24.9999,0.0018344
0.08,19.9557,-429.661,0.759427,9.49159,-5.3888e-06,12.4996,0.00244586
0.1,20.1457,-429.661,0.949359,9.49659,0.250005,12.5005,0.00305733
0.12,20.5314,-429.661,1.33513,19.2887,489.605,24467.8,0.0043284
0.14,20.9898,-429.661,1.79346,22.9163,181.382,-15411.2,0.00584401
0.16,21.5245,-429.661,2.32821,26.7376,191.063,484.086,0.00933319
0.18,22.1226,-429.66,2.92632,29.9053,158.385,-1633.93,0.0144605
0.2,22.8177,-429.66,3.62143,34.7555,242.512,4206.35,0.0205415
0.22,23.5715,-429.66,4.37516,37.6863,146.54,-4798.58,0.0285527
0.24,24.3957,-429.659,5.1994,41.2122,176.295,1487.74,0.0389641
0.26,25.2943,-429.659,6.09804,44.932,185.987,484.612,0.0507463
0.28,26.2683,-429.658,7.07196,48.6961,188.208,111.055,0.0656962
0.3,27.3167,-429.656,8.12043,52.4235,186.368,-92.0374,0.0822495
0.32,28.4386,-429.655,9.24231,56.0941,183.531,-141.821,0.101187
0.34,29.6322,-429.652,10.4359,59.6783,179.211,-216.017,0.121428
0.36,30.8958,-429.649,11.6995,63.1805,175.109,-205.066,0.142337
0.38,32.2276,-429.646,13.0313,66.5901,170.481,-231.438,0.163211
0.4,33.6392,-429.642,14.443,70.5837,199.677,1459.83,0.180228
0.42,35.1154,-429.637,15.9192,73.8097,161.302,-1918.74,0.192226
0.44,36.6654,-429.632,17.4692,77.5006,184.546,1162.16,0.193176
0.46,38.2791,-429.626,19.0828,80.6812,159.03,-1275.77,0.177466
0.48,39.9641,-429.621,20.7679,84.2542,178.646,980.797,0.136992
0.5,41.7119,-429.618,22.5156,87.388,156.694,-1097.62,0.0597849
0.52,43.5223,-429.618,24.326,90.5191,156.553,-7.04977,-0.0567472
0.54,45.3897,-429.622,26.1935,93.3718,142.635,-695.892,-0.220834
0.56,47.2382,-429.633,28.042,92.4268,-47.247,-9494.09,-0.4152
0.58,49.012,-429.648,29.8159,88.6957,-186.559,-6965.58,-0.622379
0.6,50.7122,-429.67,31.5162,85.016,-183.982,128.82,-0.824275
0.62,52.3453,-429.696,33.1495,81.6621,-167.696,814.306,-1.0102
0.64,53.9134,-429.726,34.7179,78.4233,-161.941,287.772,-1.1783
0.66,55.4089,-429.759,36.2138,74.7912,-181.602,-983.087,-1.31902
0.68,56.8432,-429.793,37.6485,71.7345,-152.836,1438.3,-1.44256
0.7,58.2031,-429.829,39.0088,68.0186,-185.798,-1648.1,-1.54276
0.72,59.4978,-429.865,40.3041,64.7614,-162.858,1146.99,-1.62763
0.74,60.7267,-429.901,41.5335,61.4717,-164.486,-81.3784,-1.69809
0.76,61.8839,-429.935,42.6912,57.8842,-179.372,-744.315,-1.7558
0.78,62.9686,-429.969,43.7764,54.2616,-181.128,-87.8044,-1.80217
0.8,63.9843,-430.002,44.7926,50.8086,-172.651,423.89,-1.84095
0.82,64.9315,-430.032,45.7403,47.385,-171.18,73.5278,-1.87112
0.84,65.8112,-430.061,46.6205,44.0104,-168.731,122.434,-1.89741
0.86,66.6107,-430.088,47.4204,39.9958,-200.728,-1599.83,-1.91521
0.88,67.3349,-430.112,48.145,36.2316,-188.215,625.664,-1.93082
0.9,67.9976,-430.135,48.8082,33.1572,-153.718,1724.86,-1.94313
0.92,68.5925,-430.155,49.4034,29.7619,-169.763,-802.274,-1.951
0.94,69.09,-430.172,49.9011,24.8849,-243.854,-3704.55,-1.95746
0.96,69.5465,-430.188,50.3579,22.8406,-102.213,7082.07,-1.96334
0.98,69.8635,-430.199,50.6751,15.8595,-349.056,-12342.1,-1.96659
1,70.053,-430.205,50.8647,9.48058,-318.945,1505.51,-1.96744
1.02,70.2424,-430.212,51.0543,9.47741,-0.15883,15939.3,-1.96828
1.04,70.4318,-430.218,51.2438,9.47569,-0.0856559,3.65872,-1.96912
1.06,70.6213,-430.225,51.4333,9.47741,0.0856559,8.56559,-1.96996
