"time","x","y","position","velocity","acceleration","jerk","heading"
0,39.3048,100.267,0,0,180,0,0
0.02,39.4945,100.267,0.189737,3.6,180,0,0.00745076
0.04,39.6843,100.267,0.379473,7.2,180,0,0.0149015
0.06,39.874,100.267,0.56921,10.8,180,0,0.0223523
0.08,40.0638,100.267,0.758947,14.4,180,0,0.029803
0.1,40.2535,100.268,0.948683,18,180,0,0.0372538
0.12,40.639,100.268,1.33418,21.6,180,0,0.063365
0.14,41.0971,100.268,1.79224,25.2,180,0,0.0963943
0.16,41.631,100.269,2.3262,28.8,180,0,0.14906
0.18,42.228,100.271,2.92317,32.4,180,0,0.218024
0.2,42.9218,100.274,3.61697,36,180,0,0.337317
0.22,43.6738,100.279,4.36898,39.6,180,0,0.483524
0.24,44.4958,100.287,5.19104,43.2,180,0,0.666107
0.26,45.3917,100.299,6.08706,46.8,180,0,0.904103
0.28,46.3623,100.317,7.05782,50.4,180,0,1.20949
0.3,47.4069,100.342,8.10271,54,180,0,1.57493
0.32,48.5242,100.377,9.22053,57.6,180,0,2.03257
0.34,49.7125,100.424,10.4098,61.2,180,0,2.57612
0.36,50.9699,100.488,11.6688,64.8,180,0,3.21972
0.38,52.2946,100.57,12.9961,68.4,180,0,3.97898
0.4,53.6985,100.679,14.4042,72,180,0,4.87506
0.42,55.1656,100.817,15.8777,75.6,180,0,5.92024
0.44,56.7053,100.992,17.4275,79.2,180,0,7.13046
0.46,58.3074,101.212,19.0445,82.8,180,0,8.5301
0.48,59.9788,101.486,20.7384,86.4,91.8307,0,10.1426
0.5,61.6845,101.818,22.4762,86.6525,-177.046,0,11.9738
0.52,63.3404,102.198,24.1752,83.1695,-159.8,0,13.9119
0.54,64.9166,102.618,25.8063,79.9604,-148.656,0,15.9587
0.56,66.4173,103.076,27.3756,77.1317,-119.281,0,18.0645
0.58,67.8534,103.574,28.8958,74.7636,-111.472,0,20.2511
0.6,69.2241,104.11,30.3676,72.5983,-93.687,0,22.5068
0.62,70.5377,104.685,31.8016,70.7815,-77.1664,0,24.8099
0.64,71.7964,105.298,33.2018,69.2631,-68.5197,0,27.186
0.66,73.0026,105.95,34.5729,67.9361,-55.1191,0,29.6075
0.68,74.1608,106.641,35.9216,66.8555,-41.3619,0,32.0624
0.7,75.2711,107.37,37.2501,66.058,-31.872,0,34.5579
0.72,76.3371,108.139,38.5648,65.4484,-21.1242,0,37.0845
0.74,77.3605,108.949,39.8698,65.0441,-9.72172,0,39.6256
0.76,78.3424,109.799,41.1689,64.8754,0.585623,0,42.1779
0.78,79.2844,110.692,42.4667,64.9167,10.8153,0,44.7343
0.8,80.1874,111.627,43.7671,65.1528,21.6594,0,47.2838
0.82,81.0525,112.607,45.0743,65.6048,32.6679,0,49.8202
0.84,81.8812,113.634,46.3937,66.288,41.583,0,52.3375
0.86,82.6728,114.707,47.7276,67.1402,53.0111,0,54.8244
0.88,83.4279,115.83,49.0803,68.2245,65.2259,0,57.2713
0.9,84.1485,117.005,50.4593,69.5732,74.8744,0,59.678
0.92,84.8324,118.233,51.8647,71.0807,84.7508,0,62.046
0.94,85.4811,119.518,53.3043,72.835,101.499,0,64.3414
0.96,86.0937,120.861,54.781,74.9086,111.63,0,66.5872
0.98,86.6706,122.268,56.3018,77.1593,121.961,0,68.7761
1,87.2102,123.739,57.8686,79.702,147.079,0,70.8834
1.02,87.7141,125.284,59.4934,82.6477,150.845,0,72.9329
1.04,88.1793,126.9,61.1756,85.7446,180,0,74.8991
1.06,88.6065,128.597,62.9256,89.3446,180,0,76.7944
1.08,88.994,130.378,64.7477,92.5816,-100.472,0,78.5955
1.1,89.3286,132.174,66.5752,89.844,-180,0,80.2535
1.12,89.6041,133.913,68.3361,86.244,-180,0,81.7
1.14,89.8289,135.59,70.0273,82.644,-180,0,82.9818
1.16,90.0104,137.193,71.6413,79.044,-180,0,84.0725
1.18,90.1565,138.732,73.187,75.444,-180,0,85.041
1.2,90.2728,140.199,74.6584,71.844,-180,0,85.8643
1.22,90.3647,141.599,76.062,68.244,-180,0,86.5931
1.24,90.4362,142.922,77.3869,64.644,-180,0,87.1965
1.26,90.4915,144.178,78.6435,61.044,-180,0,87.7272
1.28,90.5337,145.364,79.8301,57.444,-180,0,88.1697
1.3,90.5654,146.478,80.9452,53.844,-180,0,88.5449
1.32,90.5888,147.52,81.9872,50.244,-180,0,88.8631
1.34,90.6058,148.487,82.9548,46.644,-180,0,89.1113
1.36,90.6178,149.38,83.8475,43.044,-180,0,89.3196
1.38,90.6262,150.198,84.6658,39.444,-180,0,89.4862
1.4,90.6319,150.946,85.4137,35.844,-180,0,89.6158
1.42,90.6357,151.635,86.1027,32.244,-180,0,89.7197
1.44,90.6381,152.232,86.6997,28.644,-180,0,89.7976
1.46,90.6396,152.76,87.2276,25.044,-180,0,89.8565
1.48,90.6405,153.218,87.6857,21.444,-180,0,89.8962
1.5,90.641,153.592,88.0595,17.844,-180,0,89.9264
1.52,90.6412,153.782,88.2493,14.244,-180,0,89.9358
1.54,90.6414,153.972,88.439,10.644,-180,0,89.9452
1.56,90.6415,154.161,88.6287,7.04403,-180,0,89.9546
1.58,90.6416,154.351,88.8185,3.44403,-180,0,89.964
