"time","x","y","position","velocity","acceleration","jerk","heading"
0,45.0802,34.8128,0,0,180,0,0
0.02,45.27,34.8128,0.189737,3.6,180,0,-0.00411634
0.04,45.4597,34.8128,0.379473,7.2,180,0,-0.00823268
0.06,45.6494,34.8128,0.56921,10.8,180,0,-0.012349
0.08,45.8392,34.8128,0.758947,14.4,180,0,-0.0164654
0.1,46.0289,34.8127,0.948683,18,180,0,-0.0205817
0.12,46.4144,34.8126,1.33418,21.6,180,0,-0.0387684
0.14,46.8725,34.8123,1.79224,25.2,180,0,-0.0621715
0.16,47.4064,34.8116,2.3262,28.8,180,0,-0.098696
0.18,48.0034,34.8104,2.92317,32.4,180,0,-0.146112
0.2,48.6972,34.8083,3.61697,36,180,0,-0.218046
0.22,49.4492,34.805,4.36898,39.6,180,0,-0.310229
0.24,50.2712,34.7997,5.19104,43.2,180,0,-0.429875
0.26,51.1672,34.7919,6.08706,46.8,180,0,-0.581424
0.28,52.1379,34.7807,7.05782,50.4,180,0,-0.76669
0.3,53.1827,34.7648,8.10271,54,180,0,-0.989624
0.32,54.3003,34.743,9.22053,57.6,180,0,-1.25622
0.34,55.4892,34.7138,10.4098,61.2,180,0,-1.57039
0.36,56.7476,34.6755,11.6688,64.8,180,0,-1.92791
0.38,58.074,34.6263,12.9961,68.4,180,0,-2.32997
0.4,59.4806,34.5635,14.4042,72,180,0,-2.7936
0.42,60.9521,34.4853,15.8777,75.6,180,0,-3.30169
0.44,62.4989,34.3886,17.4275,79.2,180,0,-3.86253
0.46,64.1116,34.2712,19.0445,82.8,180,0,-4.47195
0.48,65.7995,34.1295,20.7384,86.4,180,0,-5.1306
0.5,67.5559,33.961,22.5028,90,180,0,-5.83342
0.52,69.3806,33.7626,24.3383,93.6,180,0,-6.57615
0.54,71.274,33.5314,26.2457,97.2,180,0,-7.35417
0.56,73.2356,33.2641,28.2255,100.8,180,0,-8.16179
0.58,75.2648,32.958,30.2776,104.4,180,0,-8.9925
0.6,77.3603,32.6104,32.4018,108,180,0,-9.83756
0.62,79.521,32.219,34.5977,111.6,180,0,-10.69
