"time","x","y","position","velocity","acceleration","jerk","heading"
0,45.0802,18.2703,0,0,0,0,0
0.02,45.2688,18.2703,0.188612,9.43058,471.529,23576.4,-0.00411634
0.04,45.4573,18.2703,0.377123,9.42558,-0.25,-23588.9,-0.00823268
0.06,45.6458,18.2703,0.565635,9.42558,1.44669e-05,12.5007,-0.012349
0.08,45.8344,18.2703,0.754246,9.43058,0.249942,12.4964,-0.0164654
0.1,46.023,18.2702,0.942758,9.42558,-0.249862,-24.9902,-0.0205817
0.12,46.4032,18.2701,1.32301,19.0125,479.344,23979.7,-0.0387684
0.14,46.8545,18.2698,1.77435,22.5672,177.735,-15080.4,-0.0621715
0.16,47.3779,18.2691,2.2977,26.1678,180.03,114.742,-0.098696
0.18,47.9612,18.268,2.88102,29.1656,149.89,-1506.97,-0.146112
0.2,48.6342,18.2659,3.55405,33.6517,224.308,3720.87,-0.218046
0.22,49.3596,18.2627,4.27944,36.2696,130.894,-4670.67,-0.310229
0.24,50.1471,18.2577,5.06692,39.3736,155.202,1215.37,-0.429875
0.26,50.9993,18.2503,5.91919,42.6139,162.015,340.638,-0.581424
0.28,51.9165,18.2397,6.83647,45.8637,162.49,23.7577,-0.76669
0.3,52.897,18.2248,7.81702,49.0278,158.202,-214.378,-0.989624
0.32,53.9376,18.2045,8.85786,52.042,150.714,-374.416,-1.25622
0.34,55.0359,18.1775,9.95642,54.9276,144.276,-321.893,-1.57039
0.36,56.1911,18.1424,11.1122,57.788,143.02,-62.7739,-1.92791
0.38,57.4015,18.0975,12.3234,60.5615,138.675,-217.284,-2.32997
0.4,58.6743,18.0407,13.5975,63.7071,157.282,930.338,-2.7936
0.42,59.9994,17.9703,14.9244,66.344,131.847,-1271.73,-3.30169
0.44,61.3846,17.8837,16.3123,69.3947,152.534,1034.33,-3.86253
0.46,62.8218,17.7791,17.7533,72.0508,132.805,-986.432,-4.47195
0.48,64.3202,17.6533,19.257,75.1836,156.641,1191.8,-5.1306
0.5,65.8746,17.5042,20.8186,78.0773,144.685,-597.801,-5.83342
0.52,67.4861,17.3289,22.4396,81.0507,148.669,199.218,-6.57615
