"time","x","y","position","velocity","acceleration","jerk","heading"
0,21.3369,121.944,0,0,0,0,0
0.02,21.5234,121.943,0.186501,9.32505,466.253,23312.6,0.0110796
0.04,21.71,121.943,0.373102,9.33005,0.25,-23300.1,0.0221592
0.06,21.8965,121.943,0.559603,9.32505,-0.249999,-25,0.0332388
0.08,22.083,121.943,0.746104,9.32506,7.30928e-05,12.5036,0.0443183
0.1,22.2696,121.943,0.932705,9.33005,0.249929,12.4928,0.0553979
0.12,22.6382,121.944,1.30134,18.4319,455.094,22742.2,0.113803
0.14,23.0743,121.945,1.73742,21.8036,168.586,-14325.4,0.189753
0.16,23.5735,121.947,2.23662,24.9601,157.821,-538.238,0.310294
0.18,24.1249,121.951,2.78804,27.5712,130.56,-1363.06,0.467846
0.2,24.7498,121.957,3.41291,31.2432,183.596,2651.8,0.706735
0.22,25.4119,121.967,4.07511,33.1104,93.36,-4511.78,1.01767
0.24,26.1208,121.981,4.78416,35.4525,117.108,1187.41,1.40914
0.26,26.8887,122.003,5.5524,38.412,147.977,1543.41,1.85181
0.28,27.6855,122.032,6.34974,39.867,72.7464,-3761.5,2.45249
0.3,28.5374,122.073,7.20259,42.6422,138.76,3300.7,3.11768
0.32,29.4136,122.127,8.08041,43.8913,62.4548,-3815.28,3.94896
0.34,30.3323,122.198,9.00185,46.0718,109.025,2328.52,4.87634
0.36,31.2813,122.287,9.95507,47.6612,79.4712,-1477.7,5.93557
0.38,32.2642,122.398,10.9443,49.4593,89.906,521.741,7.10633
0.4,33.2942,122.539,11.9837,51.9743,125.75,1792.22,8.38299
0.42,34.3685,122.71,13.0717,54.3959,121.079,-233.553,9.71877
0.44,35.5077,122.919,14.23,57.9152,175.962,2744.15,11.0741
0.46,36.7278,123.174,15.4763,62.3172,220.1,2206.9,12.3587
0.48,38.073,123.483,16.8565,69.0104,334.663,5728.11,13.444
0.5,39.5669,123.854,18.3959,76.9687,397.916,3162.66,14.2239
0.52,41.2716,124.294,20.1563,88.0225,552.69,7738.7,14.4837
0.54,43.2477,124.8,22.1963,101.996,698.69,7300,14.0248
0.56,45.5347,125.349,24.5482,117.595,779.931,4062.04,12.7308
0.58,48.1515,125.889,27.2202,133.601,800.297,1018.34,10.4083
0.6,50.9285,126.328,30.0316,140.571,348.53,-22588.4,7.3848
0.62,53.7813,126.613,32.8986,143.352,139.001,-10476.5,3.9223
0.64,56.6494,126.717,35.7686,143.499,7.38432,-6580.82,0.246568
0.66,59.5115,126.638,38.6319,143.161,-16.8974,-1214.09,-3.4335
0.68,62.3795,126.373,41.512,144.006,42.2414,2956.94,-7.02912
0.7,65.2327,125.933,44.3989,144.346,17.0206,-1261.04,-10.4076
0.72,68.0378,125.337,47.2666,143.386,-48.0101,-3251.54,-13.4696
0.74,70.769,124.612,50.0925,141.295,-104.586,-2828.77,-16.136
0.76,73.4139,123.787,52.863,138.525,-138.483,-1694.85,-18.362
0.78,75.971,122.89,55.5729,135.495,-151.505,-651.132,-20.1288
0.8,78.455,121.944,58.2311,132.908,-129.351,1107.72,-21.4695
0.82,80.8375,120.986,60.799,128.396,-225.601,-4812.52,-22.2401
0.84,83.1929,120.013,63.3473,127.417,-48.9514,8832.49,-22.6999
0.86,85.7472,118.922,66.1248,138.873,572.805,31087.8,-23.7007
