"time","x","y","position","velocity","acceleration","jerk","heading"
0,21.3369,105.401,0,0,180,0,0
0.02,21.5266,105.401,0.189737,3.6,180,0,0.0110796
0.04,21.7164,105.401,0.379473,7.2,180,0,0.0221592
0.06,21.9061,105.401,0.56921,10.8,180,0,0.0332388
0.08,22.0958,105.401,0.758947,14.4,180,0,0.0443183
0.1,22.2856,105.401,0.948683,18,180,0,0.0553979
0.12,22.6711,105.402,1.33418,21.6,180,0,0.113803
0.14,23.1291,105.403,1.79224,25.2,180,0,0.189753
0.16,23.6631,105.405,2.3262,28.8,180,0,0.310294
0.18,24.26,105.409,2.92317,32.4,180,0,0.467846
0.2,24.9538,105.416,3.61697,36,180,0,0.706735
0.22,25.7057,105.427,4.36898,39.6,180,0,1.01767
0.24,26.5276,105.444,5.19104,43.2,180,0,1.40914
0.26,27.4233,105.469,6.08706,46.8,180,0,1.85181
0.28,28.3934,105.505,7.05782,50.4,180,0,2.45249
0.3,29.4371,105.555,8.10271,54,180,0,3.11768
0.32,30.5528,105.624,9.22053,57.6,180,0,3.94896
0.34,31.7385,105.715,10.4098,61.2,180,0,4.87634
0.36,32.992,105.833,11.6688,64.8,180,0,5.93557
0.38,34.3107,105.983,12.9961,68.4,180,0,7.10633
0.4,35.7059,106.173,14.4042,72,180,0,8.38299
0.42,37.1611,106.405,15.8777,75.6,180,0,9.71877
0.44,38.6852,106.685,17.4275,79.2,180,0,11.0741
0.46,40.2684,107.015,19.0445,82.8,180,0,12.3587
0.48,41.919,107.394,20.7384,86.4,180,0,13.444
0.5,43.6316,107.819,22.5028,90,180,0,14.2239
0.52,45.409,108.277,24.3383,93.6,180,0,14.4837
0.54,47.2566,108.751,26.2457,97.2,180,0,14.0248
0.56,49.1802,109.213,28.2242,100.521,2.06235,0,12.7308
0.58,51.1401,109.619,30.2257,98.7294,-180,0,10.4083
0.6,53.0547,109.923,32.1645,95.1294,-180,0,7.3848
0.62,54.9129,110.109,34.0323,91.5505,-118.601,0,3.9223
0.64,56.7206,110.175,35.8415,89.7026,23.1637,0,0.246568
0.66,58.5208,110.125,37.6427,90.6037,144.581,0,-3.4335
0.68,60.3551,109.955,39.4851,93.8123,180,0,-7.02912
0.7,62.2443,109.663,41.3971,97.4123,180,0,-10.4076
0.72,64.1846,109.25,43.3812,101.012,180,0,-13.4696
0.74,66.1715,108.721,45.4373,104.612,180,0,-16.136
0.76,68.2027,108.087,47.5655,108.212,180,0,-18.362
0.78,70.2782,107.358,49.7651,111.812,180,0,-20.1288
0.8,72.4003,106.549,52.0363,115.412,180,0,-21.4695
0.82,74.5764,105.674,54.3818,119.012,180,0,-22.2401
0.84,76.8091,104.752,56.7975,122.612,180,0,-22.6999
0.86,79.0978,103.775,59.2859,126.212,180,0,-23.7007
0.88,81.4281,102.716,61.8457,129.812,180,0,-25.3238
0.9,83.7813,101.55,64.4719,131.885,-180,0,-27.4836
0.92,86.064,100.301,67.0746,128.285,-178.872,0,-29.9681
0.94,88.2278,98.9866,69.6062,125.283,-52.1747,0,-32.591
0.96,90.3013,97.5925,72.105,124.905,65.8478,0,-35.2445
0.98,92.3206,96.0943,74.6197,126.842,172.187,0,-37.8802
1,94.3134,94.4696,77.191,130.38,180,0,-40.453
1.02,96.2809,92.7168,79.8263,131.789,-178.373,0,-42.8835
1.04,98.1511,90.9116,82.4257,128.201,-180,0,-45.0204
1.06,99.9094,89.0939,84.9548,124.601,-180,0,-46.8231
1.08,101.565,87.2819,87.4096,121.001,-180,0,-48.2581
1.1,103.134,85.4864,89.794,117.401,-180,0,-49.3609
1.12,104.627,83.7205,92.1064,113.801,-180,0,-50.1349
1.14,106.054,81.9952,94.3454,110.201,-180,0,-50.5849
1.16,107.428,80.3181,96.5132,106.601,-180,0,-50.7021
1.18,108.757,78.6974,98.6092,103.001,-180,0,-50.4809
1.2,110.051,77.141,100.633,99.4013,-180,0,-49.9364
1.22,111.317,75.656,102.585,95.8013,-180,0,-49.0143
1.24,112.564,74.2494,104.465,92.2013,-180,0,-47.7282
1.26,113.799,72.9281,106.273,88.6013,-180,0,-45.9955
1.28,115.027,71.6989,108.011,85.0013,-180,0,-43.8626
1.3,116.25,70.5747,109.672,81.4013,-180,0,-41.1558
1.32,117.476,69.5584,111.264,77.8013,-180,0,-37.9374
1.34,118.702,68.6607,112.785,74.2013,-180,0,-34.1897
1.36,119.927,67.8899,114.232,70.6013,-180,0,-29.9144
1.38,121.144,67.252,115.607,67.0013,-165.23,0,-25.1732
1.4,122.352,66.7461,116.916,63.7459,-108.875,0,-20.1064
1.42,123.547,66.3694,118.17,61.7248,-46.8116,0,-14.7942
1.44,124.744,66.1127,119.395,60.9388,12.6363,0,-9.35657
1.46,125.957,65.9721,120.617,61.2962,71.6407,0,-3.89961
1.48,127.195,65.9468,121.856,62.797,131.828,0,1.48284
1.5,128.474,66.0393,123.138,65.5467,180,0,6.67506
1.52,129.806,66.2552,124.487,69.1467,180,0,11.5581
1.54,131.179,66.5959,125.903,72.7467,180,0,16.0686
1.56,132.597,67.0622,127.396,76.3467,180,0,20.0648
1.58,134.044,67.6454,128.956,79.9467,180,0,23.5973
1.6,135.526,68.3419,130.594,83.5467,180,0,26.5631
1.62,137.034,69.14,132.3,87.1467,180,0,29.012
1.64,138.571,70.0315,134.077,90.7467,180,0,31.0459
1.66,140.143,71.0085,135.928,94.3467,180,0,32.5501
1.68,141.753,72.0609,137.851,97.9467,180,0,33.648
1.7,143.406,73.1774,139.846,101.547,-112.432,0,34.2703
1.72,145.06,74.3104,141.851,98.6381,-180,0,34.561
1.74,146.651,75.4145,143.788,95.0381,-180,0,35.2419
1.76,148.162,76.5052,145.652,91.4381,-180,0,36.6324
1.78,149.584,77.597,147.444,87.8381,-180,0,38.7043
1.8,150.905,78.7013,149.166,84.2381,-180,0,41.3614
1.82,152.113,79.8223,150.814,80.6381,-180,0,44.5935
1.84,153.199,80.9625,152.389,77.0381,-180,0,48.4364
1.86,154.159,82.1237,153.896,73.4381,-180,0,52.6691
1.88,154.982,83.2938,155.327,69.8942,-149.453,0,57.3236
1.9,155.673,84.4746,156.695,67.1201,-74.2484,0,62.1816
1.92,156.242,85.6751,158.025,65.7324,-20.079,0,67.1601
1.94,156.697,86.9048,159.336,65.5297,38.3195,0,72.2315
1.96,157.043,88.1768,160.655,66.4514,86.2325,0,77.269
1.98,157.281,89.499,161.999,68.2155,150.081,0,82.2201
2,157.411,90.8916,163.398,71.3832,180,0,86.9316
2.02,157.429,92.3525,164.859,74.9832,180,0,91.4647
2.04,157.331,93.8863,166.396,78.5832,180,0,95.5637
2.06,157.12,95.4762,168,82.1832,180,0,99.3339
2.08,156.797,97.127,169.683,85.7832,180,0,102.621
2.1,156.369,98.8255,171.435,89.3832,180,0,105.462
2.12,155.842,100.57,173.257,92.9832,180,0,107.93
2.14,155.224,102.361,175.152,96.5832,180,0,110.029
2.16,154.52,104.198,177.12,100.183,180,0,111.778
2.18,153.738,106.082,179.16,103.783,180,0,113.211
2.2,152.885,108.014,181.272,107.383,180,0,114.35
2.22,151.968,109.997,183.456,110.983,180,0,115.213
2.24,150.995,112.031,185.711,114.583,180,0,115.82
2.26,149.974,114.122,188.037,118.183,180,0,116.175
2.28,148.912,116.275,190.438,121.783,119.459,0,116.265
2.3,147.831,118.471,192.886,121.649,-180,0,116.098
2.32,146.784,120.626,195.282,118.049,-180,0,115.667
2.34,145.789,122.727,197.607,114.449,-180,0,114.987
2.36,144.852,124.777,199.86,110.849,-180,0,114.068
2.38,143.981,126.777,202.042,107.249,-180,0,112.906
2.4,143.184,128.729,204.15,103.649,-180,0,111.483
2.42,142.464,130.634,206.187,100.049,-180,0,109.783
2.44,141.829,132.493,208.152,96.4494,-180,0,107.811
2.46,141.284,134.307,210.046,92.8494,-180,0,105.539
2.48,140.834,136.07,211.866,89.2494,-180,0,102.924
2.5,140.486,137.783,213.613,85.6494,-180,0,99.8991
2.52,140.243,139.442,215.29,82.0494,-180,0,96.5101
2.54,140.11,141.042,216.897,78.4494,-180,0,92.7821
2.56,140.089,142.572,218.427,74.8494,-180,0,88.5878
2.58,140.179,144.032,219.89,71.2494,-180,0,84.113
2.6,140.376,145.406,221.278,67.7867,-132.33,0,79.3186
2.62,140.677,146.7,222.607,65.3329,-89.1271,0,74.3473
2.64,141.079,147.926,223.898,63.5678,-48.0648,0,69.1807
2.66,141.58,149.083,225.16,62.7108,-6.0211,0,63.935
2.68,142.182,150.182,226.413,62.6806,32.75,0,58.6363
2.7,142.887,151.226,227.673,63.4302,68.6566,0,53.3739
2.72,143.698,152.217,228.954,64.8289,101.026,0,48.1532
2.74,144.621,153.16,230.274,67.057,151.017,0,43.168
2.76,145.662,154.053,231.646,70.0629,165.075,0,38.2873
2.78,146.821,154.892,233.077,73.4226,180,0,33.6955
2.8,148.107,155.677,234.584,77.0226,180,0,29.321
2.82,149.507,156.396,236.159,80.6226,180,0,25.2564
2.84,151.022,157.047,237.807,84.2226,180,0,21.4543
2.86,152.643,157.625,239.529,87.8226,180,0,17.9207
2.88,154.363,158.124,241.321,91.4226,180,0,14.6181
2.9,156.179,158.544,243.184,95.0226,180,0,11.4992
2.92,158.086,158.878,245.12,98.6226,180,0,8.49523
2.94,160.079,159.123,247.129,102.223,180,0,5.5296
2.96,162.152,159.269,249.207,105.352,-9.36046,0,2.48907
2.98,164.268,159.304,251.323,107.152,180,0,-0.256931
3,166.446,159.271,253.502,110.752,180,0,-1.45792
3.02,168.695,159.189,255.753,114.352,180,0,-2.72528
3.04,171.013,159.052,258.075,117.952,180,0,-4.06019
3.06,173.401,158.853,260.471,121.552,180,0,-5.46283
3.08,175.853,158.587,262.937,125.152,180,0,-6.925
3.1,178.37,158.248,265.477,128.752,180,0,-8.44558
3.12,180.946,157.829,268.087,132.352,180,0,-10.0121
3.14,183.582,157.326,270.771,135.952,180,0,-11.6147
3.16,186.272,156.733,273.526,139.552,180,0,-13.2377
3.18,189.015,156.046,276.353,143.152,180,0,-14.8613
3.2,191.806,155.263,279.252,146.752,180,0,-16.4629
3.22,194.643,154.382,282.223,150.352,180,0,-18.0182
3.24,197.524,153.403,285.266,153.952,180,0,-19.4951
3.26,200.448,152.327,288.381,157.552,180,0,-20.8638
3.28,203.413,151.159,291.568,161.152,180,0,-22.0952
3.3,206.42,149.905,294.827,164.752,180,0,-23.1599
3.32,209.472,148.57,298.158,168.352,180,0,-24.0277
