"time","x","y","position","velocity","acceleration","jerk","heading"
0,21.3369,88.8585,0,0,0,0,0
0.02,21.5256,88.8585,0.188673,9.43366,471.683,23584.2,-0.00355613
0.04,21.7143,88.8585,0.377447,9.43866,0.250007,-23571.7,-0.00711225
0.06,21.903,88.8585,0.56612,9.43366,-0.250022,-25.0014,-0.0106684
0.08,22.0917,88.8585,0.754793,9.43366,3.612e-05,12.5029,-0.0142245
0.1,22.2805,88.8585,0.943566,9.43866,0.25,12.4982,-0.0177806
0.12,22.6629,88.8585,1.32605,19.1241,484.27,24201,-0.0282358
0.14,23.1172,88.8585,1.78029,22.7121,179.404,-15243.3,-0.0412488
0.16,23.6452,88.8575,2.30828,26.3994,184.364,248.036,-0.0620726
0.18,24.2343,88.8565,2.8974,29.4558,152.82,-1577.22,-0.0893797
0.2,24.9172,88.8555,3.58026,34.1433,234.371,4077.54,-0.127256
0.22,25.6567,88.8536,4.31981,36.9772,141.7,-4633.56,-0.170404
0.24,26.4647,88.8506,5.12778,40.3989,171.08,1469.04,-0.218992
0.26,27.3457,88.8477,6.00879,44.0502,182.567,574.335,-0.270949
0.28,28.3032,88.8428,6.96632,47.8766,191.322,437.758,-0.316945
0.3,29.3386,88.8358,8.00178,51.7728,194.809,174.35,-0.349734
0.32,30.458,88.8288,9.12117,55.9696,209.836,751.354,-0.344299
0.34,31.6721,88.8227,10.3353,60.7058,236.81,1348.71,-0.258056
0.36,32.9908,88.8175,11.654,65.938,261.61,1240,-0.0511102
0.38,34.4333,88.8208,13.0965,72.123,309.25,2381.96,0.347739
0.4,36.0711,88.8398,14.7344,81.8939,488.545,8964.79,1.14397
0.42,37.8606,88.8912,16.5247,89.5143,381.021,-5376.19,2.24085
0.44,39.8183,88.9913,18.4849,98.0134,424.956,2196.74,3.66286
0.46,41.8285,89.1456,20.501,100.802,139.449,-14275.4,5.04515
0.48,43.8095,89.3424,22.4917,99.537,-63.2724,-10136.1,6.07345
0.5,45.6795,89.5512,24.3734,94.083,-272.696,-10471.2,6.47952
0.52,47.4587,89.7532,26.164,89.5323,-227.538,2257.89,6.32413
0.54,49.1701,89.9347,27.885,86.0475,-174.237,2665.09,5.67828
0.56,50.8506,90.0883,29.5725,84.3772,-83.516,4536.03,4.66637
0.58,52.4971,90.2048,31.2232,82.5321,-92.2546,-436.93,3.29294
0.6,54.0406,90.273,32.7681,77.2483,-264.191,-8596.82,1.60653
0.62,55.4304,90.2908,34.1581,69.4992,-387.456,-6163.26,-0.368014
0.64,56.646,90.2608,35.3741,60.7975,-435.081,-2381.26,-2.69762
0.66,57.6612,90.1927,36.3915,50.872,-496.277,-3059.78,-5.46689
0.68,58.4145,90.1034,37.1501,37.9314,-647.032,-7537.77,-8.87218
0.7,58.838,90.0287,37.5801,21.5003,-821.553,-8726.06,-13.1719
0.72,58.8232,90.0451,37.6022,1.10347,-1019.84,-9914.39,-18.7895
0.74,58.9834,89.9733,37.7777,8.7768,383.666,70175.4,-23.7314
0.76,59.642,89.6626,38.506,36.4126,1381.79,49906.2,-26.9931
0.78,60.2559,89.3266,39.2058,34.9914,-71.062,-72642.7,-30.5962
0.8,60.8468,88.9494,39.9069,35.0539,3.12656,3709.43,-34.46
0.82,61.4507,88.5029,40.6579,37.5484,124.725,6079.9,-38.3951
0.84,62.0987,87.9513,41.5089,42.549,250.032,6265.37,-42.2312
0.86,62.8046,87.2653,42.4931,49.214,333.247,4160.77,-45.8559
0.88,63.5857,86.4095,43.6518,57.9346,436.029,5139.06,-49.124
0.9,64.4297,85.3787,44.9841,66.6123,433.885,-107.168,-52.0386
0.92,65.3412,84.1525,46.512,76.3966,489.215,2766.5,-54.5316
0.94,66.3071,82.7383,48.2245,85.6254,461.44,-1388.76,-56.633
0.96,67.3191,81.145,50.1121,94.3784,437.652,-1189.4,-58.3721
0.98,68.3774,79.3747,52.1746,103.126,437.393,-12.9836,-59.7618
1,69.4778,77.4413,54.3992,111.231,405.212,-1609.02,-60.833
1.02,70.6014,75.3929,56.7356,116.818,279.356,-6292.83,-61.5779
1.04,71.7144,73.3135,59.094,117.923,55.2582,-11204.9,-62.0215
1.06,72.8185,71.2244,61.457,118.147,11.1953,-2203.14,-62.1914
1.08,73.9202,69.1355,63.8185,118.079,-3.37338,-728.434,-62.1218
1.1,75.0259,67.0555,66.1742,117.784,-14.7859,-570.626,-61.8271
1.12,76.142,64.9917,68.5205,117.315,-23.409,-431.157,-61.3073
1.14,77.2806,62.9412,70.8659,117.271,-2.20836,1060.03,-60.5429
1.16,78.4494,60.9102,73.2092,117.161,-5.52567,-165.866,-59.5377
1.18,79.6594,58.9001,75.5554,117.313,7.6208,657.324,-58.2734
1.2,80.9279,56.9061,77.9186,118.161,42.3815,1738.04,-56.7018
1.22,82.2755,54.924,80.3155,119.841,84.0301,2082.43,-54.7671
1.24,83.7219,52.958,82.7563,122.04,109.953,1296.12,-52.425
1.26,85.3073,50.9962,85.2786,126.116,203.776,4691.16,-49.5468
1.28,87.073,49.0428,87.9117,131.657,277.051,3663.74,-46.0448
1.3,89.068,47.1145,90.6863,138.728,353.578,3826.39,-41.7947
1.32,91.3529,45.2416,93.6407,147.722,449.666,4804.4,-36.6778
1.34,93.9949,43.4789,96.8167,158.799,553.863,5209.83,-30.5329
1.36,96.9999,41.9419,100.192,168.765,498.296,-2778.32,-23.4652
1.38,100.319,40.7601,103.715,176.157,369.581,-6435.79,-15.6161
1.4,103.856,40.0421,107.324,180.443,214.297,-7764.19,-7.29102
1.42,107.475,39.848,110.948,181.212,38.4529,-8792.2,1.14179
1.44,111.058,40.1806,114.547,179.951,-63.0308,-5074.18,9.398
1.46,114.467,40.9874,118.051,175.166,-239.247,-8810.79,17.1154
1.48,117.563,42.1495,121.357,165.304,-493.076,-12691.5,23.8828
1.5,120.327,43.5507,124.456,154.97,-516.712,-1181.76,29.6999
1.52,122.75,45.0738,127.318,143.097,-593.662,-3847.53,34.4301
1.54,124.893,46.6546,129.981,133.148,-497.447,4810.77,38.2356
1.56,126.815,48.2568,132.483,125.095,-402.67,4738.84,41.2153
1.58,128.577,49.8711,134.873,119.486,-280.42,6112.51,43.5699
1.6,130.199,51.4643,137.146,113.686,-290.012,-479.593,45.2729
1.62,131.714,53.029,139.324,108.895,-239.54,2523.58,46.3911
1.64,133.137,54.5407,141.4,103.794,-255.045,-775.211,46.9044
1.66,134.546,56.0522,143.467,103.35,-22.2037,11642,47.1375
1.68,136.059,57.6944,145.7,111.632,414.067,21813.5,47.6985
1.7,137.689,59.514,148.142,122.132,525.042,5548.74,48.7356
1.72,139.415,61.5321,150.798,132.795,533.128,404.33,50.259
1.74,141.209,63.7625,153.66,143.101,515.309,-890.986,52.2485
1.76,143.033,66.2206,156.722,153.063,498.08,-861.424,54.6838
1.78,144.85,68.922,159.977,162.787,486.215,-593.262,57.5367
1.8,146.609,71.8642,163.405,171.394,430.372,-2792.17,60.744
1.82,148.267,75.0447,166.992,179.33,396.752,-1680.96,64.2449
1.84,149.768,78.4299,170.695,185.161,291.572,-5259.02,67.9127
1.86,151.068,81.9561,174.453,187.906,137.264,-7715.39,71.6062
1.88,152.147,85.5833,178.237,189.207,65.0307,-3611.67,75.2167
1.9,153.006,89.2974,182.049,190.61,70.1801,257.467,78.687
1.92,153.647,93.0601,185.866,190.849,11.9209,-2912.96,81.9243
1.94,154.083,96.843,189.674,190.393,-22.7867,-1735.38,84.8807
1.96,154.331,100.624,193.463,189.452,-47.0819,-1214.76,87.5224
1.98,154.416,104.349,197.189,186.304,-157.38,-5514.9,89.806
2,154.368,107.897,200.738,177.417,-444.328,-14347.4,91.6801
2.02,154.224,111.264,204.108,168.494,-446.19,-93.0903,93.1839
2.04,154.012,114.46,207.31,160.141,-417.608,1429.09,94.3564
2.06,153.757,117.489,210.351,152.027,-405.721,594.365,95.2213
2.08,153.478,120.362,213.237,144.295,-386.623,954.89,95.8002
2.1,153.192,123.088,215.978,137.039,-362.77,1192.64,96.1201
2.12,152.913,125.666,218.571,129.677,-368.116,-267.268,96.1845
2.14,152.652,128.1,221.02,122.415,-363.072,252.185,95.9941
2.16,152.419,130.39,223.321,115.083,-366.599,-176.369,95.5445
2.18,152.224,132.532,225.471,107.503,-379.029,-621.507,94.8183
2.2,152.074,134.513,227.458,99.3404,-408.12,-1454.52,93.7801
2.22,151.972,136.332,229.28,91.1138,-411.331,-160.571,92.4184
2.24,151.924,137.976,230.925,82.2258,-444.4,-1653.41,90.6888
2.26,151.931,139.427,232.376,72.5779,-482.395,-1899.79,88.5431
2.28,151.988,140.67,233.62,62.1703,-520.377,-1899.09,85.9218
2.3,152.083,141.663,234.618,49.9152,-612.757,-4619.02,82.7079
2.32,152.197,142.392,235.356,36.8943,-651.044,-1914.35,78.8404
2.34,152.303,142.864,235.839,24.1746,-635.987,752.883,74.3372
2.36,152.36,143.047,236.031,9.59456,-729,-4650.67,69.0689
2.38,152.334,143,236.085,2.67662,-345.897,19155.2,63.2116
2.4,152.198,142.768,236.354,13.4644,539.388,44264.2,56.8468
2.42,151.969,142.463,236.735,19.051,279.334,-13002.7,50.2816
2.44,151.68,142.153,237.16,21.2233,108.612,-8536.09,43.6224
2.46,151.399,141.911,237.53,18.525,-134.916,-12176.4,37.0791
2.48,151.197,141.772,237.776,12.2664,-312.93,-8900.67,30.769
2.5,151.171,141.753,237.807,1.59085,-533.775,-11042.3,24.9656
2.52,151.372,141.832,238.023,10.8076,460.84,49730.8,19.7552
2.54,151.868,141.983,238.542,25.9231,755.775,14746.8,15.3473
2.56,152.615,142.158,239.308,38.3272,620.204,-6778.54,11.5521
2.58,153.626,142.331,240.334,51.287,647.99,1389.31,8.40406
2.6,154.884,142.484,241.602,63.3731,604.306,-2184.24,5.84238
2.62,156.361,142.605,243.084,74.1109,536.889,-3370.83,3.77858
2.64,158.045,142.689,244.77,84.3133,510.121,-1338.39,2.16989
2.66,159.926,142.739,246.652,94.0664,487.652,-1123.45,0.990682
2.68,162.009,142.76,248.734,104.139,503.636,799.219,0.25525
2.7,164.297,142.763,251.023,114.418,513.938,515.093,-0.0171397
2.72,166.7,142.76,253.426,120.154,286.798,-11357,-0.138105
2.74,169.143,142.749,255.869,122.148,99.7258,-9353.62,-0.377288
2.76,171.622,142.726,258.348,123.975,91.3242,-420.081,-0.729237
2.78,174.14,142.684,260.866,125.899,96.2227,244.924,-1.20852
2.8,176.69,142.617,263.417,127.527,81.393,-741.486,-1.81952
2.82,179.268,142.519,265.997,129.009,74.1041,-364.447,-2.57397
2.84,181.872,142.382,268.605,130.393,69.2082,-244.791,-3.48526
2.86,184.495,142.198,271.234,131.474,54.0075,-760.036,-4.5685
2.88,187.131,141.958,273.881,132.33,42.8065,-560.051,-5.8424
2.9,189.773,141.655,276.54,132.961,31.564,-562.126,-7.32494
2.92,192.413,141.277,279.207,133.331,18.4882,-653.787,-9.03016
2.94,195.042,140.814,281.877,133.511,9.01515,-473.654,-10.9722
2.96,197.654,140.257,284.548,133.533,1.11888,-394.814,-13.1613
2.98,200.239,139.595,287.216,133.416,-5.86157,-349.022,-15.6072
3,202.794,138.818,289.887,133.541,6.23011,604.584,-18.294
3.02,205.286,137.926,292.533,132.307,-61.6746,-3395.24,-21.1484
3.04,207.668,136.934,295.113,128.993,-165.727,-5202.62,-24.057
3.06,209.983,135.829,297.679,128.293,-34.9892,6536.89,-26.9753
3.08,212.279,134.586,300.289,130.541,112.423,7370.6,-29.863
3.1,214.59,133.182,302.993,135.204,233.112,6034.44,-32.6592
3.12,216.932,131.601,305.819,141.282,303.914,3540.13,-35.2725
3.14,219.29,129.859,308.751,146.591,265.435,-1923.93,-37.5852
3.16,221.665,127.963,311.789,151.923,266.628,59.6166,-39.5317
3.18,224.062,125.926,314.936,157.336,270.648,201.006,-41.0859
3.2,226.46,123.79,318.147,160.522,159.301,-5567.37,-42.2201
3.22,228.853,121.587,321.399,162.623,105.03,-2713.53,-42.9635
3.24,231.249,119.338,324.686,164.345,86.1335,-944.827,-43.3407
3.26,233.648,117.069,327.988,165.107,38.0552,-2403.91,-43.4115
3.28,236.059,114.795,331.302,165.683,28.8366,-460.932,-43.1953
3.3,238.477,112.54,334.608,165.323,-17.9913,-2341.39,-42.7537
3.32,240.905,110.319,337.899,164.562,-38.0539,-1003.13,-42.114
3.34,243.341,108.147,341.163,163.17,-69.6349,-1579.05,-41.3226
3.36,245.781,106.035,344.39,161.34,-91.4768,-1092.1,-40.4077
3.38,248.22,103.994,347.57,159.021,-115.951,-1223.69,-39.4042
3.4,250.654,102.031,350.697,156.347,-133.722,-888.598,-38.3402
3.42,253.077,100.152,353.763,153.281,-153.303,-979.003,-37.2386
3.44,255.479,98.3628,356.758,149.768,-175.625,-1116.12,-36.1235
3.46,257.858,96.6611,359.683,146.256,-175.614,0.553645,-35.0115
3.48,260.205,95.0505,362.53,142.329,-196.331,-1035.86,-33.9186
3.5,262.514,93.5288,365.295,138.265,-203.204,-343.632,-32.8568
3.52,264.779,92.0942,367.976,134.054,-210.553,-367.468,-31.8362
3.54,266.997,90.7428,370.574,129.875,-208.963,79.486,-30.8617
3.56,269.16,89.4744,373.081,125.377,-224.902,-796.935,-29.9418
3.58,271.266,88.2826,375.501,120.989,-219.383,275.935,-29.0784
3.6,273.312,87.1639,377.832,116.563,-221.298,-95.7332,-28.2719
