"time","x","y","position","velocity","acceleration","jerk","heading"
0,58.9074,168.008,0,0,0,0,-37.0928
0.02,59.0582,167.894,0.189466,9.47332,473.666,23683.3,-37.0908
0.04,59.2092,167.78,0.378381,9.4457,-1.38112,-23752.4,-37.0887
0.06,59.36,167.666,0.567215,9.44171,-0.199692,59.0713,-37.0866
0.08,59.5109,167.552,0.756732,9.47586,1.70769,95.3689,-37.0845
0.1,59.6617,167.438,0.945566,9.44171,-1.70769,-170.769,-37.0824
0.12,59.967,167.207,1.32856,19.1499,485.408,24355.8,-37.0724
0.14,60.3295,166.933,1.78281,22.7125,178.13,-15363.9,-37.0594
0.16,60.7509,166.615,2.31101,26.4097,184.861,336.578,-37.039
0.18,61.2214,166.26,2.90001,29.4501,152.019,-1642.1,-37.0124
0.2,61.7662,165.849,3.58248,34.1238,233.687,4083.39,-36.9722
0.22,62.3557,165.406,4.32002,36.8768,137.649,-4801.9,-36.9221
0.24,62.9984,164.924,5.12343,40.1708,164.698,1352.47,-36.8587
0.26,63.6973,164.401,5.99652,43.6544,174.18,474.073,-36.7792
0.28,64.4527,163.837,6.93923,47.1354,174.051,-6.44307,-36.6812
0.3,65.2637,163.234,7.94962,50.5195,169.208,-242.125,-36.5624
0.32,66.1295,162.593,9.0267,53.8539,166.717,-124.549,-36.421
0.34,67.0489,161.917,10.1683,57.0778,161.196,-276.059,-36.2554
0.36,68.0212,161.206,11.3726,60.2191,157.066,-206.504,-36.0659
0.38,69.0456,160.463,12.638,63.2685,152.469,-229.869,-35.8524
0.4,70.1321,159.682,13.9762,66.9107,182.109,1482.03,-35.6111
0.42,71.2704,158.87,15.3745,69.9147,150.2,-1595.47,-35.3491
0.44,72.471,158.023,16.8436,73.4548,177.005,1340.23,-35.0706
0.46,73.7288,157.145,18.3779,76.7136,162.943,-703.099,-34.7835
0.48,75.057,156.227,19.9924,80.7253,200.581,1881.91,-34.5086
0.5,76.4562,155.27,21.6875,84.7571,201.593,50.6329,-34.269
0.52,77.9331,154.267,23.4725,89.2489,224.59,1149.84,-34.0934
0.54,79.4973,153.211,25.3598,94.3627,255.69,1554.96,-34.0246
0.56,81.1612,152.086,27.3682,100.423,303.002,2365.62,-34.1231
0.58,82.928,150.885,29.505,106.839,320.816,890.718,-34.4172
0.6,84.7955,149.594,31.7753,113.513,333.716,644.999,-34.9219
0.62,86.754,148.21,34.1733,119.902,319.408,-715.415,-35.6226
0.64,88.7855,146.732,36.6858,125.623,286.076,-1666.58,-36.4721
0.66,90.8701,145.165,39.2936,130.393,238.512,-2378.23,-37.3996
0.68,92.9866,143.519,41.9749,134.064,183.51,-2750.08,-38.3311
0.7,95.1208,141.804,44.7124,136.875,140.585,-2146.28,-39.2131
0.72,97.265,140.028,47.4966,139.208,116.625,-1197.97,-40.0001
0.74,99.4182,138.198,50.3223,141.289,104.056,-628.478,-40.6851
0.76,101.578,136.323,53.1826,143.014,86.2333,-891.126,-41.2436
0.78,103.748,134.405,56.079,144.819,90.291,202.887,-41.6726
0.8,105.91,132.468,58.9814,145.122,15.1514,-3756.98,-41.969
0.82,107.991,130.592,61.7829,140.073,-252.447,-13379.9,-42.1152
0.84,110.004,128.769,64.4989,135.801,-213.605,1942.13,-42.2082
0.86,112.002,126.948,67.2027,135.189,-30.628,9148.83,-42.5166
0.88,113.974,125.127,69.8866,134.195,-49.6839,-952.795,-43.0035
0.9,115.897,123.315,72.5286,132.098,-104.87,-2759.3,-43.5931
0.92,117.758,121.525,75.1109,129.116,-149.073,-2210.17,-44.2233
0.94,119.543,119.768,77.6153,125.218,-194.906,-2291.62,-44.8395
0.96,121.245,118.058,80.0285,120.664,-227.722,-1640.84,-45.3878
0.98,122.86,116.408,82.3368,115.412,-262.589,-1743.33,-45.8168
1,124.376,114.839,84.5189,109.107,-315.264,-2633.75,-46.0582
1.02,125.798,113.361,86.5697,102.541,-328.27,-650.307,-46.0968
1.04,127.12,111.99,88.4746,95.2432,-364.904,-1831.72,-45.8774
1.06,128.34,110.74,90.221,87.3194,-396.188,-1564.16,-45.3662
1.08,129.458,109.62,91.8042,79.1604,-407.951,-588.193,-44.5374
1.1,130.477,108.634,93.2213,70.8534,-415.349,-369.855,-43.3799
1.12,131.398,107.783,94.4754,62.7049,-407.426,396.134,-41.8978
1.14,132.22,107.065,95.5671,54.5873,-405.881,77.2211,-40.1184
1.16,132.957,106.463,96.5186,47.5767,-350.526,2767.79,-38.0959
1.18,133.608,105.971,97.3346,40.7968,-338.996,576.488,-35.8546
1.2,134.204,105.558,98.0598,36.2621,-226.738,5612.89,-33.5146
1.22,134.742,105.217,98.6961,31.8144,-222.386,217.61,-31.0425
1.24,135.258,104.921,99.2918,29.784,-101.517,6043.42,-28.5346
1.26,135.767,104.658,99.8641,28.6157,-58.4164,2155.04,-25.9963
1.28,136.285,104.42,100.435,28.5226,-4.65627,2688.01,-23.4543
1.3,136.829,104.199,101.022,29.3615,41.9482,2330.23,-20.9321
1.32,137.419,103.988,101.648,31.3291,98.3807,2821.62,-18.4676
1.34,138.073,103.786,102.333,34.2246,144.774,2319.67,-16.0589
1.36,138.803,103.593,103.087,37.7223,174.883,1505.44,-13.7414
1.38,139.627,103.41,103.932,42.218,224.787,2495.21,-11.5202
1.4,140.553,103.24,104.873,47.0658,242.389,880.087,-9.41692
1.42,141.598,103.087,105.929,52.8225,287.834,2272.26,-7.44986
1.44,142.764,102.954,107.103,58.6834,293.046,260.572,-5.65132
1.46,144.056,102.846,108.399,64.8058,306.118,653.63,-4.02312
1.48,145.474,102.765,109.82,71.0521,312.315,309.835,-2.57548
1.5,147.017,102.714,111.364,77.1678,305.788,-326.359,-1.30191
1.52,148.674,102.693,113.021,82.8558,284.401,-1069.33,-0.21419
1.54,150.42,102.697,114.767,87.2904,221.727,-3133.7,0.444569
1.56,152.028,102.719,116.376,80.449,-342.068,-28189.7,1.32503
1.58,153.472,102.765,117.82,72.2075,-412.078,-3500.51,2.53309
1.6,154.763,102.837,119.113,64.6708,-376.834,1762.21,4.01648
1.62,155.901,102.932,120.255,57.0801,-379.537,-135.168,5.75943
1.64,156.906,103.049,121.266,50.5657,-325.718,2690.95,7.72106
1.66,157.776,103.182,122.147,44.0391,-326.331,-30.6659,9.8742
1.68,158.541,103.329,122.925,38.9233,-255.789,3527.13,12.1452
1.7,159.173,103.478,123.575,32.4739,-322.469,-3334.01,14.6122
1.72,159.724,103.633,124.148,28.6411,-191.641,6541.39,17.15
1.74,160.194,103.789,124.643,24.7674,-193.688,-102.323,19.7931
1.76,160.598,103.944,125.075,21.6139,-157.674,1800.69,22.5061
1.78,160.942,104.096,125.451,18.8165,-139.871,890.148,25.3125
1.8,161.247,104.249,125.793,17.0626,-87.6945,2608.81,28.1589
1.82,161.518,104.402,126.104,15.565,-74.8773,640.863,31.0525
1.84,161.768,104.562,126.4,14.8208,-37.2105,1883.34,33.9642
1.86,162.004,104.729,126.689,14.44,-19.0415,908.449,36.8907
1.88,162.234,104.911,126.983,14.7045,13.2243,1613.29,39.8085
1.9,162.467,105.116,127.294,15.5239,40.972,1387.39,42.7013
1.92,162.708,105.35,127.629,16.7696,62.2864,1065.72,45.5618
1.94,162.962,105.624,128.003,18.6993,96.4817,1709.77,48.361
1.96,163.233,105.945,128.423,20.9805,114.06,878.937,51.1008
1.98,163.523,106.324,128.9,23.879,144.924,1543.18,53.7643
2,163.837,106.775,129.449,27.446,178.351,1671.37,56.3357
2.02,164.171,107.304,130.075,31.2856,191.98,681.427,58.8041
2.04,164.525,107.919,130.785,35.5041,210.926,947.297,61.1908
2.06,164.904,108.645,131.604,40.93,271.294,3018.42,63.4278
2.08,165.298,109.472,132.52,45.8226,244.629,-1333.24,65.5521
2.1,165.707,110.42,133.552,51.6137,289.554,2246.23,67.5353
2.12,166.128,111.49,134.702,57.4777,293.202,182.417,69.3572
2.14,166.555,112.683,135.969,63.3457,293.398,9.80711,71.0189
2.16,166.988,114,137.355,69.322,298.816,270.861,72.5137
2.18,167.422,115.441,138.86,75.2568,296.738,-103.864,73.8553
2.2,167.859,117.015,140.495,81.7094,322.629,1294.53,74.9968
2.22,168.3,118.718,142.253,87.9386,311.464,-558.246,75.9567
2.24,168.743,120.549,144.137,94.1956,312.847,69.1469,76.7301
2.26,169.195,122.513,146.153,100.765,328.48,781.652,77.3024
2.28,169.659,124.607,148.298,107.252,324.321,-207.961,77.6671
2.3,170.13,126.779,150.519,111.082,191.518,-6640.13,77.8079
2.32,170.6,128.949,152.74,111.037,-2.24366,-9688.11,77.7249
2.34,171.074,131.108,154.95,110.512,-26.2662,-1201.12,77.428
2.36,171.56,133.25,157.147,109.831,-34.0195,-387.669,76.9232
