"time","x","y","position","velocity","acceleration","jerk","heading"
0,15.8578,-180.278,0,0,180,0,0
0.02,16.0475,-180.278,0.189737,3.6,180,0,0.00102581
0.04,16.2373,-180.278,0.379473,7.2,180,0,0.00205162
0.06,16.427,-180.278,0.56921,10.8,180,0,0.00307744
0.08,16.6168,-180.278,0.758947,14.4,180,0,0.00410325
0.1,16.8065,-180.278,0.948683,18,180,0,0.00512906
0.12,17.192,-180.278,1.33418,21.6,180,0,0.0100441
0.14,17.65,-180.278,1.79224,25.2,180,0,0.016401
0.16,18.184,-180.278,2.3262,28.8,180,0,0.0264317
0.18,18.781,-180.278,2.92317,32.4,180,0,0.0395116
0.2,19.4748,-180.277,3.61697,36,180,0,0.0594582
0.22,20.2268,-180.276,4.36898,39.6,180,0,0.0844593
0.24,21.0488,-180.275,5.19104,43.2,180,0,0.11628
0.26,21.9449,-180.273,6.08706,46.8,180,0,0.156553
0.28,22.9156,-180.269,7.05782,50.4,180,0,0.206829
0.3,23.9605,-180.265,8.10271,54,180,0,0.269096
0.32,25.0783,-180.259,9.22053,57.6,180,0,0.344377
0.34,26.2675,-180.251,10.4098,61.2,180,0,0.433552
0.36,27.5265,-180.241,11.6688,64.8,180,0,0.537778
0.38,28.8537,-180.227,12.9961,68.4,180,0,0.658076
0.4,30.2617,-180.209,14.4042,72,180,0,0.799057
0.42,31.7351,-180.186,15.8777,75.6,180,0,0.958739
0.44,33.2846,-180.158,17.4275,79.2,180,0,1.13812
0.46,34.9013,-180.123,19.0445,82.8,180,0,1.33439
0.48,36.5945,-180.081,20.7384,86.4,180,0,1.54674
0.5,38.3582,-180.03,22.5028,90,180,0,1.7668
0.52,40.1927,-179.97,24.3383,93.6,180,0,1.98217
0.54,42.0989,-179.9,26.2457,97.2,180,0,2.1778
0.56,44.0772,-179.822,28.2255,100.8,180,0,2.33287
0.58,46.1275,-179.736,30.2776,104.4,80.0481,0,2.41585
0.6,48.2151,-179.648,32.3671,103.282,-180,0,2.41352
0.62,50.2428,-179.563,34.3965,99.6818,-180,0,2.32626
0.64,52.1988,-179.486,36.3541,96.0818,-180,0,2.1761
0.66,54.0835,-179.418,38.24,92.4818,-180,0,1.98337
0.68,55.8975,-179.358,40.055,88.8818,-180,0,1.76908
0.7,57.637,-179.308,41.7953,85.2818,-180,0,1.55192
0.72,59.3047,-179.265,43.4635,81.6818,-180,0,1.34297
0.74,60.9045,-179.231,45.0636,78.0818,-180,0,1.14686
0.76,62.4268,-179.203,46.5863,74.4818,-180,0,0.971113
0.78,63.8834,-179.18,48.043,70.8818,-180,0,0.811344
0.8,65.2608,-179.162,49.4206,67.2818,-180,0,0.673588
0.82,66.571,-179.148,50.7308,63.6818,-180,0,0.552786
0.84,67.8122,-179.137,51.9721,60.0818,-180,0,0.448172
0.86,68.975,-179.129,53.1349,56.4818,-180,0,0.360239
0.88,70.0662,-179.123,54.2261,52.8818,-180,0,0.285897
0.9,71.0866,-179.119,55.2465,49.2818,-180,0,0.223549
0.92,72.0362,-179.115,56.1961,45.6818,-180,0,0.171808
0.94,72.917,-179.113,57.0769,42.0818,-180,0,0.129194
0.96,73.7208,-179.112,57.8807,38.4818,-180,0,0.0954716
0.98,74.4431,-179.111,58.603,34.8818,-180,0,0.0698669
1,75.1023,-179.11,59.2623,31.2818,-180,0,0.0495406
1.02,75.6993,-179.109,59.8592,27.6818,-180,0,0.0341449
1.04,76.1901,-179.109,60.35,24.0818,-180,0,0.0242598
1.06,76.6482,-179.109,60.8081,20.4818,-180,0,0.0160753
1.08,76.9503,-179.109,61.1103,16.8818,-180,0,0.0115955
1.1,77.1401,-179.109,61.3,13.2818,-180,0,0.00978658
1.12,77.3298,-179.109,61.4897,9.6818,-180,0,0.00797768
1.14,77.5195,-179.109,61.6795,6.0818,-180,0,0.00616879
1.16,77.7093,-179.109,61.8692,2.4818,-180,0,0.00435989
