"time","x","y","position","velocity","acceleration","jerk","heading"
0,26.8115,152.662,0,0,180,0,0
0.02,27.0013,152.662,0.189737,3.6,180,0,1.46083e-06
0.04,27.191,152.662,0.379473,7.2,180,0,2.92166e-06
0.06,27.3807,152.662,0.56921,10.8,180,0,4.38249e-06
0.08,27.5705,152.662,0.758947,14.4,180,0,5.84332e-06
0.1,27.7602,152.662,0.948683,18,180,0,7.30416e-06
0.12,28.1457,152.662,1.33418,21.6,180,0,1.36089e-05
0.14,28.6038,152.662,1.79224,25.2,180,0,2.17095e-05
0.16,29.1377,152.662,2.3262,28.8,180,0,3.43925e-05
0.18,29.7347,152.662,2.92317,32.4,180,0,5.0879e-05
0.2,30.4285,152.662,3.61697,36,180,0,7.65002e-05
0.22,31.1805,152.662,4.36898,39.6,180,0,0.000110438
0.24,32.0026,152.662,5.19104,43.2,180,0,0.000155395
0.26,32.8986,152.662,6.08706,46.8,180,0,0.000211884
0.28,33.8693,152.662,7.05782,50.4,180,0,0.000282138
0.3,34.9142,152.662,8.10271,54,180,0,0.000369644
0.32,36.032,152.662,9.22053,57.6,180,0,0.000478784
0.34,37.2213,152.662,10.4098,61.2,180,0,0.00060769
0.36,38.4803,152.662,11.6688,64.8,180,0,0.000759168
0.38,39.8076,152.662,12.9961,68.4,180,0,0.000938045
0.4,41.2157,152.662,14.4042,72,180,0,0.00114871
0.42,42.6893,152.662,15.8777,75.6,180,0,0.00138847
0.44,44.239,152.662,17.4275,79.2,180,0,0.00166805
0.46,45.8561,152.662,19.0445,82.8,180,0,0.00198148
0.48,47.5499,152.662,20.7384,86.4,180,0,0.00234162
0.5,49.3143,152.662,22.5028,90,180,0,0.00274526
0.52,51.1498,152.662,24.3383,93.6,180,0,0.00319743
0.54,53.0573,152.662,26.2457,97.2,180,0,0.00370222
0.56,55.0371,152.662,28.2255,100.8,180,0,0.00426263
0.58,57.0892,152.662,30.2776,104.4,180,0,0.00488367
0.6,59.2134,152.663,32.4018,108,180,0,0.00556799
0.62,61.4093,152.663,34.5977,111.6,180,0,0.00631931
0.64,63.6763,152.663,36.8648,115.2,180,0,0.00714212
0.66,66.0166,152.663,39.205,118.8,180,0,0.00803998
0.68,68.4289,152.664,41.6174,122.4,180,0,0.0090198
0.7,70.912,152.664,44.1005,126,180,0,0.01008
0.72,73.4687,152.665,46.6572,129.6,180,0,0.0112318
0.74,76.0966,152.665,49.285,133.2,180,0,0.0124753
0.76,78.7956,152.666,51.9841,136.8,180,0,0.0138132
0.78,81.5684,152.667,54.7568,140.4,180,0,0.0152578
0.8,84.4126,152.667,57.601,144,180,0,0.0168074
0.82,87.3286,152.668,60.517,147.6,180,0,0.0184671
0.84,90.3165,152.669,63.505,151.2,180,0,0.0202445
0.86,93.3764,152.67,66.5649,154.8,180,0,0.0221432
0.88,96.5083,152.672,69.6968,158.4,180,0,0.0241671
0.9,99.7118,152.673,72.9003,162,180,0,0.026323
0.92,102.988,152.675,76.1765,165.6,180,0,0.0286181
0.94,106.336,152.676,79.5248,169.2,180,0,0.031055
0.96,109.756,152.678,82.9442,172.8,180,0,0.0336372
0.98,113.248,152.68,86.4367,176.4,180,0,0.0363773
1,116.812,152.683,90,180,0,0,0.0392737
1.02,120.412,152.685,93.6,180,0,0,0.0423057
1.04,124.012,152.688,97.2,180,0,0,0.0454411
1.06,127.612,152.691,100.8,180,0,0,0.0486823
1.08,131.212,152.694,104.4,180,0,0,0.0520262
1.1,134.812,152.698,108,180,0,0,0.0554701
1.12,138.412,152.701,111.6,180,0,0,0.0590199
1.14,142.012,152.705,115.2,180,0,0,0.0626675
1.16,145.612,152.709,118.8,180,0,0,0.0664145
1.18,149.212,152.713,122.4,180,0,0,0.070261
1.2,152.811,152.718,126,180,0,0,0.0742009
1.22,156.411,152.723,129.6,180,0,0,0.0782395
1.24,160.011,152.728,133.2,180,0,0,0.082368
1.26,163.611,152.733,136.8,180,0,0,0.0865887
1.28,167.211,152.739,140.4,180,0,0,0.0908967
1.3,170.811,152.744,144,180,0,0,0.0952901
1.32,174.411,152.751,147.6,180,0,0,0.099766
1.34,178.011,152.757,151.2,180,0,0,0.104321
1.36,181.611,152.764,154.8,180,0,0,0.10895
1.38,185.211,152.771,158.4,180,0,0,0.11365
1.4,188.811,152.778,162,180,0,0,0.118416
1.42,192.411,152.786,165.6,180,0,0,0.123242
1.44,196.011,152.793,169.2,180,0,0,0.128123
1.46,199.611,152.802,172.8,180,0,0,0.133052
1.48,203.211,152.81,176.4,180,0,0,0.138023
1.5,206.811,152.819,180,180,0,0,0.143027
1.52,210.411,152.828,183.6,180,0,0,0.148057
1.54,214.011,152.838,187.2,180,0,0,0.153103
1.56,217.611,152.847,190.8,180,0,0,0.158157
1.58,221.211,152.857,194.4,180,0,0,0.163207
1.6,224.811,152.868,198,180,0,0,0.168243
1.62,228.411,152.879,201.6,180,0,0,0.173253
1.64,232.011,152.89,205.2,180,0,0,0.178226
1.66,235.611,152.901,208.8,180,0,0,0.183147
1.68,239.211,152.913,212.4,180,0,0,0.188002
1.7,242.811,152.925,216,180,0,0,0.192776
1.72,246.411,152.937,219.6,180,0,0,0.197458
1.74,250.011,152.949,223.2,180,0,0,0.202033
1.76,253.611,152.962,226.8,180,0,0,0.20648
1.78,257.211,152.975,230.4,180,0,0,0.210783
1.8,260.811,152.989,234,180,0,0,0.214931
1.82,264.411,153.002,237.6,180,0,0,0.218903
1.84,268.011,153.016,241.2,180,0,0,0.222686
1.86,271.611,153.03,244.8,180,0,0,0.226261
1.88,275.211,153.045,248.4,180,0,0,0.229615
1.9,278.811,153.059,252,180,0,0,0.232733
1.92,282.411,153.074,255.6,180,0,0,0.235588
1.94,286.011,153.089,259.2,180,0,0,0.238182
1.96,289.611,153.104,262.8,180,0,0,0.240498
1.98,293.211,153.119,266.4,180,0,0,0.242515
2,296.811,153.134,270,180,0,0,0.244234
2.02,300.411,153.15,273.6,180,0,0,0.245639
2.04,304.011,153.165,277.2,180,0,0,0.246725
2.06,307.611,153.181,280.8,180,0,0,0.247485
2.08,311.211,153.196,284.4,180,0,0,0.247916
2.1,314.811,153.212,288,180,0,0,0.248015
2.12,318.411,153.227,291.6,180,0,0,0.247782
2.14,322.011,153.243,295.2,180,0,0,0.247217
2.16,325.611,153.259,298.8,180,0,0,0.246321
2.18,329.211,153.274,302.4,180,0,0,0.245106
2.2,332.811,153.289,306,180,0,0,0.243577
2.22,336.41,153.305,309.6,180,0,0,0.241728
2.24,340.01,153.32,313.2,180,0,0,0.239589
2.26,343.61,153.335,316.8,180,0,0,0.237164
2.28,347.21,153.349,320.4,180,0,0,0.234454
2.3,350.81,153.364,324,180,0,0,0.23149
2.32,354.41,153.379,327.6,180,0,0,0.228277
2.34,358.01,153.393,331.2,180,0,0,0.224831
2.36,361.61,153.407,334.8,180,0,0,0.22117
2.38,365.21,153.421,338.4,180,0,0,0.217309
2.4,368.81,153.434,342,180,0,0,0.213265
2.42,372.41,153.447,345.6,180,0,0,0.209048
2.44,376.01,153.46,349.2,180,0,0,0.204683
2.46,379.61,153.473,352.8,180,0,0,0.200183
2.48,383.21,153.486,356.4,180,0,0,0.195564
2.5,386.81,153.498,360,180,0,0,0.190843
2.52,390.41,153.51,363.6,180,0,0,0.186033
2.54,394.01,153.521,367.2,180,0,0,0.18115
2.56,397.61,153.532,370.8,180,0,0,0.176206
2.58,401.21,153.543,374.4,180,0,0,0.171217
2.6,404.81,153.554,378,180,0,0,0.166195
2.62,408.41,153.564,381.6,180,0,0,0.161152
2.64,412.01,153.574,385.2,180,0,0,0.156099
2.66,415.61,153.584,388.8,180,0,0,0.151047
2.68,419.21,153.593,392.4,180,0,0,0.146007
2.7,422.81,153.602,396,180,0,0,0.140986
2.72,426.41,153.611,399.6,180,0,0,0.135995
2.74,430.01,153.619,403.2,180,0,0,0.13104
2.76,433.61,153.627,406.8,180,0,0,0.12613
2.78,437.21,153.635,410.4,180,0,0,0.121271
2.8,440.81,153.642,414,180,0,0,0.116467
2.82,444.41,153.65,417.6,180,0,0,0.111729
2.84,448.01,153.656,421.2,180,0,0,0.107057
2.86,451.61,153.663,424.8,180,0,0,0.102457
2.88,455.21,153.669,428.4,180,0,0,0.0979346
2.9,458.81,153.675,432,180,0,0,0.0934906
2.92,462.41,153.681,435.6,180,0,0,0.0891327
2.94,466.01,153.687,439.2,180,0,0,0.0848591
2.96,469.61,153.692,442.8,180,0,0,0.0806763
2.98,473.21,153.697,446.4,180,0,0,0.0765842
3,476.81,153.701,450,180,0,0,0.0725853
3.02,480.41,153.706,453.6,180,0,0,0.0686834
3.04,484.01,153.71,457.2,180,0,0,0.0648768
3.06,487.61,153.714,460.8,180,0,0,0.0611705
3.08,491.21,153.718,464.4,180,0,0,0.0575628
3.1,494.81,153.721,468,180,0,0,0.0540556
3.12,498.41,153.725,471.6,180,0,0,0.0506526
3.14,502.01,153.728,475.2,180,0,0,0.04735
3.16,505.61,153.73,478.8,180,0,0,0.0441518
3.18,509.21,153.733,482.4,180,0,0,0.0410592
3.2,512.799,153.736,485.989,178,-180,0,0.0380785
3.22,516.322,153.738,489.512,174.4,-180,0,0.0352556
3.24,519.775,153.74,492.965,170.8,-180,0,0.0325875
3.26,523.154,153.742,496.344,167.2,-180,0,0.0300727
3.28,526.462,153.743,499.652,163.6,-180,0,0.027701
3.3,529.698,153.745,502.889,160,-180,0,0.0254679
3.32,532.863,153.746,506.053,156.4,-180,0,0.0233717
3.34,535.954,153.747,509.144,152.8,-180,0,0.0214043
3.36,538.974,153.749,512.164,149.2,-180,0,0.0195591
3.38,541.922,153.75,515.112,145.6,-180,0,0.0178349
3.4,544.799,153.75,517.989,142,-180,0,0.0162235
3.42,547.602,153.751,520.792,138.4,-180,0,0.0147213
3.44,550.333,153.752,523.524,134.8,-180,0,0.0133246
3.46,552.994,153.752,526.184,131.2,-180,0,0.0120258
3.48,555.582,153.753,528.772,127.6,-180,0,0.0108215
3.5,558.098,153.753,531.288,124,-180,0,0.00971005
3.52,560.542,153.754,533.732,120.4,-180,0,0.00868258
3.54,562.914,153.754,536.104,116.8,-180,0,0.00773706
3.56,565.213,153.754,538.403,113.2,-180,0,0.00687116
3.58,567.441,153.755,540.631,109.6,-180,0,0.00607611
3.6,569.597,153.755,542.788,106,-180,0,0.00535262
3.62,571.682,153.755,544.872,102.4,-180,0,0.00469163
3.64,573.694,153.755,546.884,98.8,-180,0,0.00409625
3.66,575.633,153.755,548.823,95.2,-180,0,0.00355559
3.68,577.5,153.755,550.691,91.6,-180,0,0.00307288
3.7,579.296,153.756,552.486,88,-180,0,0.00263778
3.72,581.021,153.756,554.211,84.4,-180,0,0.00225109
3.74,582.673,153.756,555.863,80.8,-180,0,0.00190728
3.76,584.251,153.756,557.441,77.2,-180,0,0.00160497
3.78,585.762,153.756,558.952,73.6,-180,0,0.00133931
3.8,587.194,153.756,560.385,70,-180,0,0.00110858
3.82,588.559,153.756,561.749,66.4,-180,0,0.000908893
3.84,589.854,153.756,563.044,62.8,-180,0,0.000736938
3.86,591.07,153.756,564.26,59.2,-180,0,0.000591294
3.88,592.216,153.756,565.406,55.6,-180,0,0.000468991
3.9,593.29,153.756,566.481,52,-180,0,0.000367669
3.92,594.293,153.756,567.483,48.4,-180,0,0.000282974
3.94,595.224,153.756,568.414,44.8,-180,0,0.000213807
3.96,596.084,153.756,569.274,41.2,-180,0,0.000158938
3.98,596.878,153.756,570.068,37.6,-180,0,0.000115726
4,597.586,153.756,570.776,34,-180,0,8.35201e-05
4.02,598.218,153.756,571.408,30.4,-180,0,5.8773e-05
4.04,598.814,153.756,572.004,26.8,-180,0,3.75658e-05
4.06,599.272,153.756,572.462,23.2,-180,0,2.70395e-05
4.08,599.73,153.756,572.92,19.6,-180,0,1.65132e-05
4.1,599.967,153.756,573.157,16,-180,0,1.30255e-05
4.12,600.156,153.756,573.346,12.4,-180,0,1.10204e-05
4.14,600.346,153.756,573.536,8.8,-180,0,9.01521e-06
4.16,600.536,153.756,573.726,5.2,-180,0,7.01005e-06
4.18,600.726,153.756,573.916,1.6,-180,0,5.00489e-06
