"time","x","y","position","velocity","acceleration","jerk","heading"
0,26.8115,137.65,0,0,0,0,0
0.02,27.0013,137.65,0.1898,9.49,474.5,23725,0
0.04,27.191,137.65,0.3795,9.485,-0.25,-23737.5,0
0.06,27.3807,137.65,0.5692,9.485,8.9706e-12,12.5,0
0.08,27.5705,137.65,0.759,9.49,0.25,12.5,0
0.1,27.7602,137.65,0.9487,9.485,-0.25,-25,0
0.12,28.1457,137.65,1.3342,19.275,489.5,24487.5,0
0.14,28.6038,137.65,1.7923,22.905,181.5,-15400,0
0.16,29.1377,137.65,2.3262,26.695,189.5,400,0
0.18,29.7347,137.65,2.9232,29.85,157.75,-1587.5,0
0.2,30.4285,137.65,3.617,34.69,242,4212.5,0
0.22,31.1805,137.65,4.369,37.6,145.5,-4825,0
0.24,32.0026,137.65,5.1911,41.105,175.25,1487.5,0
0.26,32.8986,137.65,6.0871,44.8,184.75,475,0
0.28,33.8693,137.65,7.0578,48.535,186.75,100,0
0.3,34.9142,137.65,8.1027,52.245,185.5,-62.5,0
0.32,36.032,137.65,9.2205,55.89,182.25,-162.5,0
0.34,37.2213,137.65,10.4098,59.465,178.75,-175,0
0.36,38.4803,137.65,11.6688,62.95,174.25,-225,0
0.38,39.8076,137.65,12.9961,66.365,170.75,-175,0
0.4,41.2157,137.65,14.4042,70.405,202,1562.5,0
0.42,42.6893,137.65,15.8778,73.68,163.75,-1912.5,0
0.44,44.239,137.65,17.4275,77.485,190.25,1325,0
0.46,45.8561,137.65,19.0446,80.855,168.5,-1087.5,0
0.48,47.5499,137.65,20.7384,84.69,191.75,1162.5,0
0.5,49.3143,137.65,22.5028,88.22,176.5,-762.5,0
0.52,51.1498,137.65,24.3383,91.775,177.75,62.5,0
0.54,53.0573,137.65,26.2458,95.375,180,112.5,0
0.56,55.0371,137.65,28.2256,98.99,180.75,37.5,0
0.58,57.0892,137.65,30.2777,102.605,180.75,-3.04112e-10,0
0.6,59.2134,137.65,32.4019,106.21,180.25,-25,0
0.62,61.4093,137.65,34.5978,109.795,179.25,-50,0
0.64,63.6763,137.65,36.8648,113.35,177.75,-75,0
0.66,66.0166,137.65,39.2051,117.015,183.25,275,0
