"time","x","y","position","velocity","acceleration","jerk","heading"
0,47.1025,-258.416,0,0,0,0,-90
0.02,47.0561,-258.318,0.108077,5.40386,270.193,13509.6,-90.4008
0.04,47.0103,-258.22,0.21681,5.43664,1.63882,-13427.7,-90.8016
0.06,46.9653,-258.122,0.324309,5.37493,-3.08514,-236.198,-91.2024
0.08,46.921,-258.024,0.432441,5.40661,1.58363,233.439,-91.6032
0.1,46.8772,-257.925,0.540345,5.39524,-0.568471,-107.605,-92.004
0.12,46.7908,-257.722,0.760665,11.016,281.038,14080.3,-92.8183
0.14,46.6916,-257.481,1.02103,13.0183,100.115,-9046.13,-93.786
0.16,46.5812,-257.198,1.32536,15.2167,109.918,490.14,-94.9139
0.18,46.4644,-256.878,1.6655,17.007,89.5146,-1020.18,-96.1749
0.2,46.3377,-256.503,2.06173,19.8114,140.224,2535.49,-97.6405
0.22,46.211,-256.094,2.49017,21.4217,80.5146,-2985.49,-99.2291
0.24,46.0857,-255.642,2.95867,23.4252,100.173,982.921,-100.966
0.26,45.9647,-255.146,3.46919,25.5261,105.047,243.718,-102.858
0.28,45.8521,-254.605,4.02163,27.622,104.793,-12.703,-104.909
0.3,45.7528,-254.018,4.61774,29.8051,109.155,218.072,-107.116
0.32,45.6716,-253.386,5.25459,31.8425,101.871,-364.167,-109.478
0.34,45.6139,-252.711,5.9317,33.8556,100.654,-60.871,-111.99
0.36,45.5852,-251.994,6.65,35.915,102.968,115.719,-114.649
0.38,45.5909,-251.238,7.40608,37.8042,94.4585,-425.496,-117.453
0.4,45.6373,-250.437,8.20831,40.1115,115.368,1045.46,-120.428
0.42,45.7304,-249.603,9.04761,41.9648,92.6645,-1135.16,-123.54
0.44,45.8771,-248.731,9.93113,44.1758,110.549,894.238,-126.814
0.46,46.0828,-247.833,10.8524,46.0635,94.3872,-808.1,-130.23
0.48,46.3553,-246.908,11.8168,48.2219,107.916,676.442,-133.808
0.5,46.7001,-245.963,12.8225,50.2836,103.089,-241.373,-137.535
0.52,47.1228,-245.008,13.8678,52.2624,98.9408,-207.391,-141.413
0.54,47.6299,-244.046,14.9549,54.3581,104.783,292.127,-145.442
0.56,48.2263,-243.089,16.0827,56.3887,101.528,-162.769,-149.624
0.58,48.9162,-242.144,17.2523,58.481,104.615,154.375,-153.959
0.6,49.7036,-241.225,18.4624,60.5033,101.117,-174.927,-158.446
0.62,50.5904,-240.343,19.7136,62.5588,102.776,82.9388,-163.085
0.64,51.5778,-239.51,21.0049,64.5682,100.47,-115.282,-167.874
0.66,52.6663,-238.74,22.3385,66.679,105.541,253.538,-172.817
0.68,53.8534,-238.048,23.7127,68.7111,101.603,-196.868,-177.913
0.7,55.1169,-237.456,25.1079,69.7583,52.359,-2462.22,176.912
0.72,56.3966,-236.99,26.4699,68.1004,-82.8935,-6762.62,171.862
0.74,57.6733,-236.647,27.7919,66.0996,-100.044,-857.503,166.961
0.76,58.934,-236.42,29.0728,64.0434,-102.807,-138.166,162.21
0.78,60.1672,-236.3,30.3117,61.949,-104.723,-95.8014,157.616
0.8,61.3653,-236.28,31.51,59.9138,-101.756,148.337,153.173
0.82,62.5209,-236.347,32.6676,57.8784,-101.77,-0.686181,148.882
0.84,63.6277,-236.495,33.7842,55.833,-102.273,-25.1305,144.742
0.86,64.6814,-236.711,34.8599,53.784,-102.448,-8.77214,140.753
0.88,65.679,-236.989,35.8954,51.7718,-100.613,91.73,136.914
0.9,66.6154,-237.317,36.8876,49.6121,-107.981,-368.406,133.235
0.92,67.4924,-237.688,37.8399,47.6164,-99.7869,409.729,129.706
0.94,68.3106,-238.093,38.7529,45.6486,-98.388,69.9437,126.32
0.96,69.0652,-238.523,39.6212,43.4164,-111.609,-661.048,123.101
0.98,69.7642,-238.974,40.4535,41.6117,-90.2397,1068.46,120.017
1,70.4014,-239.434,41.2391,39.2799,-116.59,-1317.5,117.104
1.02,70.985,-239.9,41.9864,37.366,-95.6907,1044.95,114.332
1.04,71.5167,-240.369,42.6949,35.4244,-97.0819,-69.5594,111.707
1.06,71.9955,-240.83,43.3598,33.2447,-108.984,-595.097,109.242
1.08,72.426,-241.28,43.9825,31.135,-105.488,174.81,106.933
1.1,72.8119,-241.717,44.5656,29.1564,-98.9298,327.89,104.773
1.12,73.1561,-242.136,45.1078,27.1111,-102.263,-166.65,102.762
1.14,73.4622,-242.535,45.611,25.1598,-97.564,234.938,100.896
1.16,73.7293,-242.908,46.0694,22.9219,-111.896,-716.608,99.198
1.18,73.9607,-243.25,46.4827,20.6617,-113.011,-55.7381,97.6661
1.2,74.164,-243.568,46.8597,18.8512,-90.5272,1124.19,96.2663
1.22,74.3405,-243.86,47.2005,17.0393,-90.5937,-3.32953,95.0053
1.24,74.482,-244.103,47.4819,14.0721,-148.359,-2888.24,93.9596
1.26,74.6089,-244.332,47.7436,13.0841,-49.4025,4947.81,92.992
1.28,74.6927,-244.487,47.9197,8.80342,-214.032,-8231.49,92.3366
1.3,74.743,-244.582,48.0278,5.40518,-169.912,2206.02,91.9357
1.32,74.7927,-244.679,48.1365,5.43354,1.41799,8566.49,91.5349
1.34,74.8417,-244.775,48.2448,5.417,-0.827068,-112.253,91.1341
1.36,74.89,-244.872,48.3528,5.40082,-0.808825,0.912118,90.7333
