"time","x","y","position","velocity","acceleration","jerk","heading"
0,22.4025,-258.416,0,0,0,0,-90
0.02,22.3567,-258.146,0.274242,13.7121,685.605,34280.3,-90.4008
0.04,22.3127,-257.874,0.549172,13.7465,1.71839,-34194.3,-90.8016
0.06,22.2707,-257.604,0.822791,13.681,-3.27536,-249.687,-91.2024
0.08,22.2306,-257.332,1.0971,13.7155,1.72736,250.136,-91.6032
0.1,22.1924,-257.061,1.37114,13.7018,-0.686409,-120.688,-92.004
0.12,22.1206,-256.508,1.92913,27.8996,709.89,35528.8,-92.8183
0.14,22.0456,-255.851,2.59064,33.0756,258.801,-22554.5,-93.786
0.16,21.972,-255.082,3.36257,38.5963,276.033,861.597,-94.9139
0.18,21.9078,-254.222,4.22549,43.1462,227.495,-2426.89,-96.1749
0.2,21.8569,-253.219,5.22938,50.1946,352.422,6246.31,-97.6405
0.22,21.8308,-252.132,6.3164,54.351,207.82,-7230.06,-99.2291
0.24,21.8367,-250.944,7.50499,59.4294,253.918,2304.86,-100.966
0.26,21.8841,-249.65,8.79987,64.7442,265.741,591.185,-102.858
0.28,21.9837,-248.251,10.2026,70.1345,269.515,188.667,-104.909
0.3,22.1468,-246.748,11.7136,75.553,270.924,70.4868,-107.116
0.32,22.3852,-245.15,13.3297,80.8018,262.439,-424.249,-109.478
0.34,22.7109,-243.463,15.0481,85.9245,256.139,-315.027,-111.99
0.36,23.1358,-241.692,16.8687,91.0285,255.196,-47.1475,-114.649
0.38,23.6723,-239.85,18.7872,95.9241,244.785,-520.564,-117.453
0.4,24.3393,-237.927,20.8227,101.774,292.517,2386.61,-120.428
0.42,25.143,-235.955,22.9521,106.468,234.698,-2890.93,-123.54
0.44,26.1027,-233.931,25.1927,112.034,278.272,2178.68,-126.814
0.46,27.2254,-231.881,27.53,116.865,241.532,-1836.96,-130.23
0.48,28.5303,-229.81,29.9777,122.384,275.992,1722.99,-133.808
0.5,30.0241,-227.743,32.5282,127.526,257.105,-944.346,-137.535
0.52,31.7174,-225.7,35.181,132.638,255.557,-77.411,-141.413
0.54,33.6191,-223.704,37.9381,137.858,260.999,272.079,-145.442
0.56,35.7361,-221.779,40.7994,143.063,260.25,-37.4215,-149.624
0.58,38.0726,-219.952,43.7657,148.315,262.609,117.945,-153.959
0.6,40.6294,-218.253,46.8356,153.496,259.056,-177.637,-158.446
0.62,43.4038,-216.711,50.0095,158.692,259.804,37.3597,-163.085
0.64,46.3892,-215.362,53.2858,163.817,256.246,-177.866,-167.874
0.66,49.5779,-214.234,56.6679,169.108,264.539,414.629,-172.817
0.68,52.954,-213.364,60.1543,174.315,260.39,-207.455,-177.913
0.7,56.4475,-212.792,63.6944,177.005,134.475,-6295.76,176.912
0.72,59.893,-212.538,67.1492,172.743,-213.083,-17377.9,171.862
0.74,63.2459,-212.583,70.5024,167.66,-254.167,-2054.19,166.961
0.76,66.4806,-212.902,73.7527,162.513,-257.363,-159.83,162.21
0.78,69.5732,-213.462,76.8956,157.147,-268.292,-546.432,157.616
0.8,72.5123,-214.238,79.9356,151.999,-257.386,545.28,153.173
0.82,75.2859,-215.201,82.8716,146.799,-260.027,-132.018,148.882
0.84,77.8861,-216.325,85.7044,141.642,-257.85,108.84,144.742
0.86,80.3082,-217.583,88.4335,136.454,-259.403,-77.6566,140.753
0.88,82.5514,-218.949,91.0602,131.335,-255.907,174.806,136.914
0.9,84.6106,-220.397,93.5774,125.863,-273.609,-885.133,133.235
0.92,86.495,-221.908,95.9927,120.764,-254.967,932.11,129.706
0.94,88.212,-223.463,98.3092,115.823,-247.07,394.843,126.32
0.96,89.7566,-225.033,100.512,110.134,-284.444,-1868.68,123.101
0.98,91.1514,-226.618,102.623,105.542,-229.603,2742.04,120.017
1,92.3888,-228.18,104.616,99.6553,-294.315,-3235.61,117.104
1.02,93.491,-229.724,106.512,94.8208,-241.722,2629.65,114.332
1.04,94.4651,-231.233,108.309,89.8357,-249.255,-376.622,111.707
1.06,95.3157,-232.69,109.996,84.3424,-274.665,-1270.5,109.242
1.08,96.0552,-234.086,111.576,78.9921,-267.518,357.346,106.933
1.1,96.6955,-235.419,113.054,73.9331,-252.948,728.483,104.773
1.12,97.2459,-236.68,114.43,68.795,-256.907,-197.924,102.762
1.14,97.717,-237.867,115.707,63.8364,-247.93,448.846,100.896
1.16,98.1117,-238.96,116.869,58.1226,-285.687,-1887.88,99.198
1.18,98.4399,-239.956,117.918,52.4162,-285.319,18.4099,97.6661
1.2,98.7164,-240.872,118.875,47.8644,-227.59,2886.47,96.2663
1.22,98.9463,-241.704,119.739,43.1823,-234.106,-325.81,95.0053
1.24,99.123,-242.397,120.453,35.7446,-371.886,-6889.01,93.9596
1.26,99.2753,-243.042,121.116,33.1449,-129.985,12095.1,92.992
1.28,99.3721,-243.479,121.564,22.3861,-537.941,-20397.8,92.3366
1.3,99.429,-243.748,121.838,13.7151,-433.546,5219.76,91.9357
1.32,99.4839,-244.017,122.113,13.7447,1.47605,21751.1,91.5349
1.34,99.5369,-244.287,122.388,13.7267,-0.895417,-118.573,91.1341
1.36,99.588,-244.556,122.662,13.7093,-0.873952,1.07324,90.7333
