"time","x","y","position","velocity","acceleration","jerk","heading"
0,44.3662,114.993,0,0,0,0,0
0.02,44.556,114.993,0.18977,9.48851,474.425,23721.3,-0.000242994
0.04,44.7458,114.993,0.37964,9.49351,0.250001,-23708.8,-0.000485989
0.06,44.9356,114.993,0.56941,9.48851,-0.250001,-25.0001,-0.000728983
0.08,45.1254,114.993,0.759181,9.48851,-1.79412e-11,12.5,-0.000971977
0.1,45.3153,114.993,0.949051,9.49351,0.249999,12.5,-0.00121497
0.12,45.7011,114.993,1.33492,19.2937,490.009,24488,-0.00251014
0.14,46.1596,114.993,1.79341,22.9243,181.532,-15423.9,-0.00419537
0.16,46.6944,114.993,2.32819,26.739,190.734,460.13,-0.00689767
0.18,47.2924,114.993,2.92622,29.9012,158.109,-1631.24,-0.0104442
0.2,47.9878,114.993,3.62159,34.7686,243.368,4262.95,-0.0158866
0.22,48.7418,114.993,4.37556,37.6986,146.5,-4843.44,-0.0227138
0.24,49.5663,114.992,5.20007,41.2254,176.34,1492.01,-0.0313973
0.26,50.4655,114.992,6.09933,44.9632,186.89,527.521,-0.0423533
0.28,51.4402,114.991,7.07395,48.7312,188.402,75.5652,-0.055943
0.3,52.4898,114.99,8.12365,52.4848,187.678,-36.1811,-0.0725497
0.32,53.6135,114.988,9.24729,56.1823,184.877,-140.07,-0.0927935
0.34,54.8094,114.986,10.4432,59.7964,180.706,-208.538,-0.115744
0.36,56.0761,114.983,11.71,63.3366,177.011,-184.743,-0.142516
0.38,57.4124,114.979,13.0462,66.8123,173.781,-161.506,-0.173481
0.4,58.8305,114.975,14.4643,70.9071,204.743,1548.09,-0.208582
0.42,60.3155,114.969,15.9493,74.2496,167.124,-1880.91,-0.247998
0.44,61.8781,114.961,17.512,78.1327,194.156,1351.58,-0.292807
0.46,63.5094,114.952,19.1433,81.5655,171.64,-1125.8,-0.341941
0.48,65.2187,114.941,20.8527,85.4679,195.117,1173.83,-0.396049
0.5,67.0001,114.928,22.6341,89.0711,180.16,-747.811,-0.454835
0.52,68.8539,114.912,24.4879,92.69,180.948,39.3611,-0.51799
0.54,70.7805,114.894,26.4146,96.3361,182.304,67.8053,-0.584955
0.56,72.7803,114.872,28.4146,99.9984,183.114,40.5004,-0.654752
0.58,74.8529,114.847,30.4873,103.635,181.855,-62.9572,-0.725961
0.6,76.9972,114.819,32.6318,107.225,179.473,-119.068,-0.796311
0.62,79.212,114.787,34.8468,110.754,176.43,-152.175,-0.862951
0.64,81.4957,114.751,37.1308,114.199,172.287,-207.117,-0.921517
0.66,83.8489,114.712,39.4843,117.673,173.702,70.7022,-0.967396
0.68,86.2515,114.671,41.8872,120.147,123.707,-2499.71,-0.994746
0.7,88.6521,114.629,44.2882,120.049,-4.9019,-6430.46,-0.998288
0.72,91.0444,114.588,46.6809,119.633,-20.8125,-795.53,-0.973026
0.74,93.4292,114.548,49.066,119.257,-18.8026,100.497,-0.921462
0.76,95.8064,114.511,51.4435,118.873,-19.2042,-20.0797,-0.843442
0.78,98.1775,114.478,53.8148,118.564,-15.4739,186.511,-0.743826
0.8,100.545,114.45,56.1826,118.392,-8.5857,344.412,-0.63079
0.82,102.91,114.426,58.5473,118.236,-7.79741,39.4146,-0.51164
0.84,105.276,114.408,60.9139,118.33,4.68717,624.229,-0.395672
0.86,107.646,114.394,63.2835,118.48,7.49669,140.476,-0.290203
0.88,110.02,114.383,65.658,118.725,12.2486,237.598,-0.201776
0.9,112.401,114.377,68.0385,119.024,14.9754,136.34,-0.134137
0.92,114.789,114.372,70.4265,119.403,18.9287,197.663,-0.0927413
0.94,117.184,114.369,72.822,119.773,18.5357,-19.6489,-0.0770323
0.96,119.588,114.365,75.2254,120.168,19.7374,60.0845,-0.0886684
0.98,121.999,114.361,77.6367,120.568,20.0081,13.5336,-0.128018
1,124.418,114.354,80.056,120.965,19.8314,-8.83313,-0.194825
1.02,126.846,114.344,82.4836,121.38,20.761,46.479,-0.290354
1.04,129.281,114.329,84.919,121.769,19.4256,-66.7696,-0.412714
1.06,131.725,114.309,87.3633,122.213,22.224,139.917,-0.56572
1.08,134.178,114.281,89.8165,122.664,22.5306,15.3316,-0.749696
1.1,136.64,114.244,92.2788,123.115,22.546,0.770685,-0.964535
1.12,139.111,114.197,94.7497,123.544,21.4561,-54.4953,-1.21199
1.14,141.585,114.139,97.2247,123.752,10.412,-552.207,-1.4973
1.16,144.011,114.069,99.6517,121.35,-120.107,-6525.95,-1.81604
1.18,146.374,113.987,102.016,118.206,-157.175,-1853.37,-2.16852
1.2,148.675,113.892,104.319,115.137,-153.472,185.15,-2.55604
1.22,150.914,113.784,106.56,112.075,-153.099,18.6515,-2.98217
1.24,153.093,113.662,108.742,109.116,-147.934,258.221,-3.45015
1.26,155.316,113.516,110.97,111.391,113.751,13084.2,-4.32854
1.28,157.707,113.3,113.372,120.066,433.728,15998.9,-6.04866
1.3,160.059,113.014,115.74,118.438,-81.4035,-25756.6,-7.84018
1.32,162.368,112.659,118.077,116.833,-80.2424,58.0555,-9.67475
1.34,164.637,112.234,120.385,115.395,-71.8799,418.128,-11.5512
1.36,166.862,111.74,122.665,113.981,-70.7067,58.6555,-13.4726
1.38,169.046,111.178,124.919,112.737,-62.2128,424.7,-15.438
1.4,171.186,110.547,127.151,111.584,-57.6613,227.573,-17.4517
1.42,173.277,109.848,129.355,110.227,-67.8546,-509.663,-19.5148
1.44,175.321,109.082,131.539,109.153,-53.7028,707.588,-21.6316
1.46,177.312,108.25,133.696,107.887,-63.2609,-477.906,-23.7973
1.48,179.246,107.352,135.828,106.611,-63.8166,-27.7816,-26.0167
1.5,181.128,106.388,137.942,105.7,-45.5405,913.802,-28.2997
1.52,182.949,105.359,140.035,104.606,-54.7084,-458.392,-30.6419
1.54,184.711,104.266,142.108,103.648,-47.9119,339.823,-33.0454
1.56,186.414,103.107,144.168,103.03,-30.8873,851.229,-35.5159
1.58,188.046,101.888,146.205,101.865,-58.2669,-1368.98,-38.0295
1.6,189.618,100.601,148.236,101.536,-16.4568,2090.51,-40.6193
1.62,191.12,99.2517,150.256,100.995,-27.0369,-529.007,-43.2631
1.64,192.55,97.8425,152.263,100.37,-31.2351,-209.908,-45.9418
1.66,193.909,96.3694,154.268,100.21,-8.01283,1161.11,-48.6855
1.68,195.191,94.8394,156.264,99.7972,-20.6332,-631.02,-51.4527
1.7,196.395,93.2512,158.257,99.6449,-7.61727,650.798,-54.2507
1.72,197.517,91.6085,160.246,99.4752,-8.48394,-43.3331,-57.0649
1.74,198.557,89.9131,162.235,99.456,-0.958083,376.293,-59.8894
1.76,199.513,88.1674,164.225,99.5062,2.50924,173.366,-62.7144
1.78,200.381,86.3772,166.215,99.4847,-1.0771,-179.317,-65.5178
1.8,201.163,84.5419,168.21,99.751,13.3151,719.608,-68.301
1.82,201.856,82.6669,170.209,99.9511,10.0049,-165.509,-71.0445
1.84,202.463,80.7526,172.217,100.408,22.8261,641.063,-73.7469
1.86,202.983,78.803,174.235,100.885,23.8842,52.9009,-76.3756
1.88,203.416,76.8153,176.269,101.718,41.6327,887.426,-78.9409
1.9,203.765,74.7906,178.324,102.724,50.2978,433.256,-81.4352
1.92,204.03,72.7362,180.395,103.572,42.3978,-394.999,-83.8065
1.94,204.214,70.6297,182.51,105.727,107.767,3268.47,-86.1146
1.96,204.318,68.4953,184.647,106.85,56.1185,-2582.44,-88.2747
1.98,204.344,66.3305,186.812,108.246,69.7998,684.067,-90.2743
2,204.297,64.1471,188.995,109.194,47.4037,-1119.81,-92.0906
2.02,204.185,61.9554,191.19,109.729,26.7609,-1032.14,-93.7015
2.04,204.016,59.7651,193.387,109.845,5.79753,-1048.17,-95.068
2.06,203.8,57.5872,195.575,109.425,-21.0069,-1340.22,-96.1502
2.08,203.553,55.4376,197.739,108.191,-61.68,-2033.66,-96.9001
2.1,203.296,53.3829,199.81,103.535,-232.797,-8555.86,-97.2514
2.12,203.045,51.429,201.78,98.4944,-252.038,-962.029,-97.4694
2.14,202.779,49.4534,203.773,99.6731,58.937,15548.7,-98.0178
2.16,202.481,47.4375,205.811,101.89,110.845,2595.39,-98.9664
2.18,202.138,45.4002,207.877,103.299,70.4645,-2019.02,-100.258
2.2,201.743,43.3643,209.951,103.692,19.6324,-2541.61,-101.842
2.22,201.285,41.3319,212.034,104.164,23.6161,199.186,-103.691
2.24,200.757,39.3181,214.116,104.094,-3.50019,-1355.81,-105.801
2.26,200.159,37.3481,216.175,102.952,-57.1141,-2680.69,-108.058
2.28,199.482,35.4108,218.227,102.607,-17.2663,1992.39,-110.57
2.3,198.732,33.5388,220.244,100.825,-89.0737,-3590.37,-113.18
2.32,197.9,31.7135,222.25,100.3,-26.2344,3141.97,-115.946
2.34,196.994,29.9614,224.222,98.622,-83.9231,-2884.44,-118.772
2.36,195.993,28.2447,226.209,99.3582,36.8088,6036.59,-121.794
2.38,194.916,26.6042,228.172,98.1397,-60.9224,-4886.56,-124.856
2.4,193.753,25.0277,230.131,97.9422,-9.87496,2552.37,-127.998
2.42,192.501,23.5132,232.096,98.2588,15.8299,1285.24,-131.232
2.44,191.171,22.0793,234.052,97.7929,-23.2993,-1956.46,-134.487
2.46,189.76,20.7225,236.009,97.8586,3.28611,1329.27,-137.781
2.48,188.272,19.449,237.968,97.9234,3.24318,-2.14697,-141.091
2.5,186.713,18.2638,239.926,97.9251,0.0820161,-158.058,-144.395
2.52,185.088,17.1696,241.885,97.9447,0.980503,44.9244,-147.681
2.54,183.407,16.1717,243.84,97.7541,-9.53168,-525.609,-150.913
2.56,181.664,15.266,245.805,98.2253,23.5618,1654.67,-154.112
2.58,179.873,14.4575,247.769,98.2417,0.821423,-1137.02,-157.236
2.6,178.041,13.7464,249.734,98.2309,-0.539217,-68.032,-160.263
2.62,176.159,13.1269,251.716,99.0965,43.2766,2190.79,-163.227
2.64,174.249,12.6037,253.696,99.0225,-3.70041,-2348.85,-166.058
2.66,172.286,12.1678,255.707,100.52,74.852,3927.62,-168.828
2.68,170.299,11.8231,257.723,100.83,15.5392,-2965.64,-171.419
2.7,168.265,11.563,259.775,102.563,86.6418,3555.13,-173.922
2.72,166.202,11.3878,261.845,103.512,47.4431,-1959.94,-176.268
2.74,164.093,11.2929,263.956,105.561,102.473,2751.48,-178.484
2.76,161.969,11.276,266.08,106.178,30.8323,-3582.02,179.481
2.78,159.825,11.3314,268.224,107.223,52.2597,1071.37,177.649
2.8,157.671,11.4529,270.382,107.91,34.3275,-896.608,176.002
2.82,155.512,11.632,272.549,108.316,20.2874,-702.007,174.574
2.84,153.367,11.8583,274.705,107.818,-24.8539,-2257.07,173.444
2.86,151.238,12.1209,276.851,107.272,-27.3361,-124.111,172.595
2.88,149.133,12.4068,278.975,106.221,-52.5575,-1261.07,172.067
2.9,147.058,12.7013,281.07,104.77,-72.5147,-997.863,171.89
2.92,144.98,12.9972,283.169,104.947,8.84308,4067.89,171.946
2.94,142.903,13.2891,285.267,104.898,-2.44528,-564.418,172.049
2.96,140.88,13.5701,287.309,102.099,-139.969,-6876.21,172.103
2.98,138.897,13.8454,289.311,100.102,-99.8533,2005.81,172.047
3,136.944,14.1211,291.284,98.6199,-74.0978,1287.78,171.844
3.02,135.007,14.4049,293.242,97.9112,-35.4325,1933.26,171.436
3.04,133.083,14.7037,295.189,97.339,-28.612,341.023,170.82
3.06,131.174,15.0245,297.124,96.7747,-28.2131,19.9484,169.999
3.08,129.281,15.3746,299.049,96.239,-26.7845,71.4288,168.968
3.1,127.379,15.7671,300.992,97.1426,45.1771,3598.08,167.614
3.12,125.496,16.2055,302.925,96.6481,-24.7238,-3495.04,166.061
3.14,123.615,16.7029,304.871,97.3077,32.9817,2885.27,164.192
3.16,121.746,17.267,306.823,97.5825,13.7359,-962.294,162.066
3.18,119.886,17.9103,308.791,98.4319,42.4708,1436.75,159.644
3.2,118.07,18.6296,310.744,97.6505,-39.0702,-4077.05,157.006
3.22,116.263,19.4507,312.729,99.2349,79.2233,5914.67,154.007
3.24,114.523,20.3563,314.691,98.083,-57.5943,-6840.88,150.849
3.26,112.849,21.3521,316.639,97.4056,-33.8708,1186.17,147.528
3.28,111.224,22.4556,318.602,98.1838,38.9068,3638.88,143.986
3.3,109.663,23.6676,320.579,98.8306,32.3406,-328.308,140.267
3.32,108.19,24.9751,322.549,98.4781,-17.6222,-2498.14,136.462
3.34,106.806,26.3815,324.521,98.6364,7.91298,1276.76,132.561
3.36,105.515,27.8892,326.507,99.2724,31.7989,1194.29,128.578
3.38,104.332,29.4834,328.492,99.2625,-0.494914,-1614.69,124.584
3.4,103.265,31.1524,330.473,99.0337,-11.4388,-547.196,120.619
3.42,102.318,32.8878,332.45,98.8449,-9.43857,100.013,116.706
3.44,101.489,34.6861,334.43,99.0077,8.13882,878.87,112.855
3.46,100.782,36.5315,336.406,98.8153,-9.61977,-887.929,109.12
3.48,100.204,38.3835,338.346,97.0016,-90.6827,-4053.15,105.656
3.5,99.733,40.2852,340.305,97.9582,47.8275,6925.51,102.312
3.52,99.3645,42.2452,342.3,99.717,87.9398,2005.61,99.0737
3.54,99.1069,44.1686,344.24,97.0287,-134.417,-11117.8,96.2845
3.56,98.9399,46.117,346.196,97.7805,37.5936,8600.51,93.6939
3.58,98.8569,48.0361,348.117,96.0452,-86.768,-6218.08,91.4644
3.6,98.843,49.9286,350.009,94.6274,-70.8884,793.978,89.5683
3.62,98.882,51.7588,351.84,91.5264,-155.05,-4208.06,88.1614
3.64,98.9585,53.5511,353.634,89.6982,-91.4093,3182.02,87.113
3.66,99.0548,55.2499,355.335,85.0765,-231.085,-6983.77,86.6468
3.68,99.1564,56.9242,357.013,83.8701,-60.3207,8538.21,86.4989
3.7,99.2651,58.6749,358.767,87.7041,191.699,12601,86.3486
3.72,99.3874,60.5333,360.629,93.122,270.896,3959.87,86.0698
3.74,99.5294,62.5064,362.607,98.9076,289.28,919.202,85.6366
3.76,99.6998,64.6006,364.708,105.054,307.317,901.84,85.0265
3.78,99.9075,66.8165,366.934,111.282,311.384,203.322,84.2242
3.8,100.157,69.092,369.223,114.459,158.875,-7625.44,83.2223
3.82,100.448,71.3469,371.497,113.678,-39.074,-9897.44,82.0436
3.84,100.784,73.5707,373.746,112.452,-61.2898,-1110.79,80.7026
3.86,101.171,75.7613,375.97,111.228,-61.1717,5.90361,79.1951
3.88,101.614,77.9164,378.17,110.003,-61.2634,-4.581,77.5152
3.9,102.118,80.0342,380.347,108.852,-57.5424,186.049,75.6738
3.92,102.686,82.1111,382.501,107.658,-59.7194,-108.849,73.6674
3.94,103.324,84.1474,384.635,106.697,-48.0341,584.261,71.4688
3.96,104.029,86.1217,386.731,104.814,-94.154,-2305.99,69.1605
3.98,104.798,88.0262,388.785,102.692,-106.109,-597.766,66.7528
4,105.644,89.8838,390.826,102.062,-31.5169,3729.62,64.1736
4.02,106.561,91.6751,392.839,100.631,-71.5516,-2001.74,61.5141
4.04,107.556,93.4111,394.839,100.046,-29.2238,2116.39,58.7391
4.06,108.623,95.0755,396.816,98.8416,-60.2289,-1550.26,55.9058
4.08,109.777,96.6901,398.801,99.2379,19.8187,4002.38,52.9334
4.1,111.001,98.227,400.766,98.2296,-50.4153,-3511.7,49.9399
4.12,112.309,99.7006,402.736,98.5068,13.8607,3213.8,46.8682
4.14,113.689,101.097,404.7,98.1958,-15.5515,-1470.61,43.7764
4.16,115.143,102.416,406.663,98.1538,-2.09941,672.604,40.6668
4.18,116.667,103.655,408.627,98.2008,2.34737,222.339,37.5556
4.2,118.257,104.811,410.592,98.2691,3.41819,53.5411,34.4634
4.22,119.906,105.878,412.557,98.2348,-1.718,-256.81,31.4165
4.24,121.622,106.864,414.536,98.9418,35.3491,1853.35,28.3889
4.26,123.377,107.755,416.504,98.4052,-26.8304,-3108.97,25.4859
4.28,125.197,108.566,418.496,99.6349,61.4872,4415.88,22.6216
4.3,127.059,109.289,420.494,99.8538,10.9468,-2527.02,19.8835
4.32,128.976,109.931,422.515,101.087,61.6364,2534.48,17.2266
4.34,130.931,110.488,424.548,101.643,27.8077,-1691.44,14.7087
4.36,132.957,110.973,426.632,104.182,126.98,4958.62,12.2632
4.38,135.02,111.377,428.734,105.106,46.1697,-4040.52,9.99748
4.4,137.123,111.706,430.862,106.423,65.8428,983.657,7.88363
4.42,139.268,111.964,433.023,108.037,80.7254,744.129,5.9112
4.44,141.454,112.153,435.217,109.676,81.9676,62.1126,4.0777
4.46,143.659,112.278,437.426,110.451,38.7275,-2162.01,2.43496
4.48,145.892,112.343,439.659,111.665,60.6869,1097.97,0.954154
4.5,148.15,112.354,441.918,112.942,63.8522,158.269,-0.357913
4.52,150.435,112.316,444.202,114.226,64.2175,18.2626,-1.51216
4.54,152.748,112.234,446.517,115.722,74.7998,529.114,-2.52061
4.56,155.09,112.112,448.863,117.29,78.3841,179.215,-3.38986
4.58,157.463,111.956,451.24,118.892,80.1173,86.6599,-4.11772
4.6,159.867,111.769,453.651,120.551,82.9453,141.398,-4.70765
