"time","x","y","position","velocity","acceleration","jerk","heading"
0,425.468,38.7819,0,0,0,0,180
0.02,425.295,38.7819,0.172569,8.62845,431.422,21571.1,179.998
0.04,425.123,38.7819,0.345138,8.62845,1.28217e-09,-21571.1,179.996
0.06,424.95,38.7819,0.517707,8.62845,2.56462e-09,6.4122e-08,179.994
0.08,424.778,38.7819,0.690276,8.62845,4.13092e-09,7.83151e-08,179.992
0.1,424.604,38.782,0.863845,8.67845,2.50007,125.004,179.99
0.12,424.377,38.782,1.09077,11.3461,133.383,6544.16,179.985
0.14,423.962,38.7821,1.50596,20.7599,470.689,16865.3,179.972
0.16,423.546,38.7824,1.92195,20.7991,1.96137,-23436.4,179.958
0.18,423.027,38.7828,2.44056,25.9306,256.573,12730.6,179.933
0.2,422.488,38.7836,2.97952,26.9483,50.8845,-10284.4,179.905
0.22,421.852,38.7849,3.61561,31.8043,242.802,9595.88,179.859
0.24,421.178,38.7867,4.28976,33.7074,95.1535,-7382.43,179.804
0.26,420.452,38.7896,5.01611,36.3174,130.502,1767.44,179.736
0.28,419.66,38.7938,5.80815,39.6022,164.237,1686.73,179.648
0.3,418.81,38.7997,6.65768,42.4763,143.709,-1026.42,179.539
0.32,417.909,38.8079,7.55926,45.0793,130.15,-677.934,179.407
0.34,416.954,38.819,8.51427,47.7505,133.559,170.48,179.249
0.36,415.946,38.8337,9.52186,50.3794,131.446,-105.673,179.061
0.38,414.887,38.853,10.5813,52.9735,129.704,-87.0949,178.835
0.4,413.777,38.878,11.6922,55.541,128.376,-66.4237,178.573
0.42,412.61,38.9099,12.8594,58.3645,141.174,639.906,178.266
0.44,411.397,38.9502,14.0732,60.688,116.173,-1250.03,177.909
0.46,410.138,39.0004,15.3332,62.9995,115.576,-29.877,177.505
0.48,408.828,39.0625,16.6439,65.5355,126.801,561.274,177.037
0.5,407.474,39.1385,18.0001,67.8075,113.6,-660.054,176.512
0.52,406.072,39.2309,19.4051,70.2539,122.318,435.914,175.931
0.54,404.625,39.3419,20.8565,72.5675,115.681,-331.887,175.294
0.56,403.125,39.4742,22.3624,75.2946,136.358,1033.89,174.619
0.58,401.573,39.6301,23.9226,78.0126,135.899,-22.9692,173.931
