"time","x","y","position","velocity","acceleration","jerk","heading"
0,248.261,16.3425,0,0,142.5,0,0
0.02,248.43,16.3425,0.169,2.85,142.5,0,0.000300588
0.04,248.599,16.3425,0.338,5.7,142.5,0,0.000601176
0.06,248.768,16.3425,0.507,8.55,142.5,0,0.000901763
0.08,248.936,16.3425,0.675,11.4,142.5,0,0.00120235
0.1,249.105,16.3425,0.844,14.25,142.5,0,0.00150294
0.12,249.292,16.3425,1.031,17.1,142.5,0,0.00191548
0.14,249.7,16.3425,1.439,19.95,142.5,0,0.00367934
0.16,250.107,16.3425,1.846,22.8,142.5,0,0.0054432
0.18,250.592,16.3426,2.331,25.65,142.5,0,0.00836175
0.2,251.123,16.3427,2.862,28.5,142.5,0,0.0119793
0.22,251.728,16.3428,3.467,31.35,142.5,0,0.0172259
0.24,252.371,16.343,4.11,34.2,142.5,0,0.0234395
0.26,253.086,16.3434,4.825,37.05,142.5,0,0.03184
0.28,253.858,16.3439,5.597,39.9,142.5,0,0.0426699
0.3,254.683,16.3446,6.422,42.75,142.5,0,0.0557272
0.32,255.564,16.3455,7.303,45.6,142.5,0,0.0712983
0.34,256.503,16.3468,8.242,48.45,142.5,0,0.0897649
0.36,257.5,16.3486,9.239,51.3,142.5,0,0.111519
0.38,258.555,16.3509,10.294,54.15,142.5,0,0.137127
0.4,259.666,16.3538,11.405,57,142.5,0,0.167068
0.42,260.835,16.3575,12.574,59.85,142.5,0,0.201228
0.44,262.058,16.3622,13.797,62.7,142.5,0,0.239905
0.46,263.339,16.3681,15.078,65.55,142.5,0,0.283667
0.48,264.681,16.3753,16.4201,68.4,142.5,0,0.33394
0.5,266.076,16.3841,17.8151,71.25,142.5,0,0.389767
0.52,267.53,16.3947,19.2691,74.1,142.5,0,0.452161
0.54,269.04,16.4075,20.7792,76.95,142.5,0,0.521281
0.56,270.607,16.4228,22.3463,79.8,142.5,0,0.598292
0.58,272.23,16.441,23.9694,82.65,142.5,0,0.682854
0.6,273.913,16.4624,25.6525,85.5,142.5,0,0.776242
0.62,275.651,16.4874,27.3907,88.35,142.5,0,0.878057
0.64,277.446,16.5166,29.1859,91.2,142.5,0,0.988941
0.66,279.297,16.5505,31.0372,94.05,142.5,0,1.10963
0.68,281.206,16.5897,32.9466,96.9,142.5,0,1.24022
0.7,283.172,16.6346,34.9131,99.75,142.5,0,1.38066
0.72,285.195,16.686,36.9368,102.6,142.5,0,1.5308
0.74,287.274,16.7444,39.0166,105.45,142.5,0,1.69031
0.76,289.411,16.8106,41.1546,108.3,142.5,0,1.85859
0.78,291.605,16.8852,43.3499,111.15,142.5,0,2.03419
0.8,293.855,16.9686,45.6014,114,142.5,0,2.21487
0.82,296.161,17.0615,47.9093,116.85,142.5,0,2.39817
0.84,298.525,17.1643,50.2755,119.7,142.5,0,2.58031
0.86,300.944,17.2772,52.6972,122.55,142.5,0,2.75684
0.88,303.421,17.4001,55.1772,125.4,142.5,0,2.92199
0.9,305.954,17.5328,57.7137,128.25,142.5,0,3.06742
0.92,308.543,17.6745,60.3066,131.1,142.5,0,3.18747
0.94,311.189,17.8241,62.9568,133.95,142.5,0,3.27408
0.96,313.893,17.9801,65.6653,136.8,142.5,0,3.32013
0.98,316.653,18.1405,68.43,139.65,142.5,0,3.32013
1,319.469,18.303,71.2506,142.312,26.7188,0,3.27172
1.02,322.313,18.4635,74.0992,142.5,0,0,3.1738
1.04,325.159,18.618,76.9494,142.5,0,0,3.0337
1.06,328.005,18.7647,79.7991,142.5,0,0,2.85927
1.08,330.852,18.902,82.6494,142.5,0,0,2.65746
1.1,333.699,19.0288,85.4993,142.5,0,0,2.43781
1.12,336.547,19.1443,88.3496,142.5,0,0,2.20791
1.14,339.395,19.2483,91.1995,142.5,0,0,1.97459
1.16,342.243,19.3408,94.049,142.5,0,0,1.74334
1.18,345.092,19.4219,96.8992,142.5,0,0,1.51907
1.2,347.941,19.492,99.749,142.5,0,0,1.30514
1.22,350.791,19.5519,102.6,142.5,0,0,1.10388
1.24,353.64,19.602,105.449,142.5,0,0,0.916874
1.26,356.49,19.6433,108.299,142.5,0,0,0.745352
1.28,359.34,19.6764,111.15,142.5,0,0,0.590506
1.3,362.19,19.7023,114,142.5,0,0,0.452086
1.32,365.04,19.7217,116.85,142.5,0,0,0.331524
1.34,367.89,19.7355,119.7,142.5,24.9141,0,0.228311
1.36,370.727,19.7446,122.537,140.701,142.5,0,0.143633
1.38,373.512,19.7499,125.322,137.851,142.5,0,0.0780543
1.4,376.242,19.7524,128.052,135.001,142.5,0,0.0319274
1.42,378.912,19.7532,130.722,132.151,142.5,0,0.00460489
1.44,381.527,19.7531,133.337,129.301,142.5,0,-0.00302507
1.46,384.085,19.7533,135.895,126.451,142.5,0,0.0192717
1.48,386.585,19.7543,138.395,123.601,142.5,0,0.0162697
