"time","x","y","position","velocity","acceleration","jerk","heading"
0,261.761,13.3,0,0,0,0,0
0.02,261.934,13.3,0.173089,8.65445,432.723,21636.1,0.000308397
0.04,262.108,13.3,0.347178,8.70445,2.5,-21511.1,0.000616793
0.06,262.281,13.3,0.520267,8.65445,-2.5,-250,0.00092519
0.08,262.454,13.3,0.693356,8.65445,2.16531e-06,125,0.00123359
0.1,262.627,13.3,0.866445,8.65445,-7.21812e-06,-0.000469171,0.00154198
0.12,262.857,13.3,1.09563,11.4594,140.245,7012.27,0.00219042
0.14,263.275,13.3,1.51415,20.9261,473.338,16654.6,0.0040001
0.16,263.694,13.3,1.93268,20.9261,-2.8372e-09,-23666.9,0.00580978
0.18,264.219,13.3001,2.45766,26.2491,266.146,13307.3,0.00920755
0.2,264.765,13.3002,3.00373,27.3036,52.7264,-10671,0.012919
0.22,265.413,13.3004,3.65245,32.4362,256.63,10195.2,0.0188886
0.24,266.102,13.3006,4.34052,34.4035,98.3662,-7913.19,0.0260583
0.26,266.844,13.301,5.0831,37.1287,136.261,1894.73,0.0349745
0.28,267.66,13.3016,5.89854,40.7721,182.169,2295.43,0.0468959
0.3,268.536,13.3024,6.77473,43.8094,151.863,-1515.34,0.0613974
0.32,269.471,13.3035,7.70971,46.7489,146.979,-244.194,0.0786394
0.34,270.467,13.3051,8.70559,49.7942,152.261,264.088,0.099011
0.36,271.522,13.3071,9.76051,52.746,147.594,-233.337,0.122974
0.38,272.638,13.3098,10.8767,55.8085,153.124,276.505,0.151261
0.4,273.814,13.3132,12.0531,58.8209,150.619,-125.23,0.183863
0.42,275.058,13.3176,13.297,62.1964,168.777,907.894,0.221688
0.44,276.361,13.3231,14.6004,65.1682,148.587,-1009.5,0.264471
0.46,277.723,13.3299,15.9624,68.1001,146.594,-99.6516,0.312906
0.48,279.15,13.3384,17.3893,71.3473,162.362,788.397,0.36805
0.5,280.638,13.3488,18.8771,74.3896,152.112,-512.496,0.429548
0.52,282.187,13.3612,20.426,77.4421,152.628,25.7979,0.498102
0.54,283.792,13.3762,22.031,80.249,140.342,-614.336,0.573988
