"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.769,6.1108,0,0,95,0,0
0.02,503.631,6.1108,0.138,1.9,95,0,179.996
0.04,503.494,6.1108,0.275,3.8,95,0,179.993
0.06,503.356,6.1108,0.413,5.7,95,0,179.989
0.08,503.218,6.1108,0.551,7.6,95,0,179.986
0.1,503.08,6.1108,0.689,9.5,95,0,179.982
0.12,502.942,6.1109,0.827,11.4,95,0,179.979
0.14,502.804,6.1109,0.965,13.3,95,0,179.975
0.16,502.521,6.111,1.248,15.2,95,0,179.959
0.18,502.189,6.1113,1.58,17.1,95,0,179.938
0.2,501.856,6.1116,1.913,19,95,0,179.917
0.22,501.448,6.1123,2.321,20.9,95,0,179.879
0.24,501.015,6.1133,2.754,22.8,95,0,179.836
0.26,500.546,6.1147,3.223,24.7,95,0,179.782
0.28,500.031,6.1169,3.73801,26.6,95,0,179.713
0.3,499.483,6.12,4.28602,28.5,95,0,179.63
0.32,498.899,6.1242,4.87003,30.4,95,0,179.533
0.34,498.267,6.1299,5.50206,32.3,95,0,179.409
0.36,497.608,6.1374,6.1611,34.2,95,0,179.271
0.38,496.906,6.1474,6.86317,36.1,95,0,179.103
0.4,496.162,6.1602,7.60728,38,95,0,178.906
0.42,495.384,6.1764,8.38545,39.9,95,0,178.684
0.44,494.57,6.1967,9.1997,41.8,95,0,178.433
0.46,493.718,6.222,10.0521,43.7,95,0,178.15
0.48,492.826,6.2533,10.9446,45.6,95,0,177.827
0.5,491.894,6.2915,11.8774,47.5,95,0,177.464
0.52,490.926,6.3377,12.8465,49.4,95,0,177.059
0.54,489.921,6.3932,13.853,51.3,95,0,176.611
0.56,488.879,6.4593,14.8971,53.2,95,0,176.114
0.58,487.8,6.5377,15.979,55.1,95,0,175.57
0.6,486.682,6.63,17.1008,57,95,0,174.975
0.62,485.527,6.7381,18.2608,58.9,95,0,174.331
0.64,484.336,6.8634,19.4584,60.8,95,0,173.642
0.66,483.11,7.0077,20.6929,62.7,95,0,172.922
0.68,481.85,7.1725,21.9636,64.6,95,0,172.171
0.7,480.55,7.3601,23.2771,66.5,95,0,171.41
0.72,479.218,7.5707,24.6256,68.4,95,0,170.657
0.74,477.853,7.8045,26.0105,70.3,95,0,169.935
0.76,476.449,8.0624,27.438,72.2,95,0,169.297
0.78,475.014,8.3415,28.8999,74.1,95,0,168.746
0.8,473.542,8.6405,30.4019,76,95,0,168.369
0.82,472.037,8.9544,31.9393,77.9,5.75208,0,168.168
0.84,470.515,9.2744,33.4946,77.3671,95,0,168.182
0.86,469.017,9.5862,35.0247,75.4671,95,0,168.406
0.88,467.559,9.8812,36.5122,73.5671,95,0,168.808
0.9,466.131,10.1575,37.9667,71.6671,95,0,169.351
0.92,464.742,10.4109,39.3787,69.7671,95,0,170.016
0.94,463.384,10.6416,40.7561,67.8671,95,0,170.731
0.96,462.061,10.849,42.0953,65.9671,95,0,171.483
0.98,460.776,11.0329,43.3934,64.0671,95,0,172.24
1,459.524,11.1952,44.6558,62.1671,95,0,172.984
1.02,458.306,11.3373,45.8821,60.2671,95,0,173.698
1.04,457.126,11.4604,47.0685,58.3671,95,0,174.381
1.06,455.984,11.5663,48.2154,56.4671,95,0,175.014
1.08,454.879,11.6569,49.3241,54.5671,95,0,175.598
1.1,453.81,11.7341,50.3959,52.6671,95,0,176.135
1.12,452.778,11.7992,51.4299,50.7671,95,0,176.624
1.14,451.783,11.8538,52.4264,48.8671,95,0,177.068
1.16,450.826,11.8993,53.3845,46.9671,95,0,177.467
1.18,449.907,11.937,54.3043,45.0671,95,0,177.826
1.2,449.024,11.9679,55.1878,43.1671,95,0,178.147
1.22,448.177,11.993,56.0352,41.2671,95,0,178.433
1.24,447.374,12.0132,56.8385,39.3671,95,0,178.682
1.26,446.609,12.0292,57.6036,37.4671,95,0,178.9
1.28,445.88,12.0419,58.3327,35.5671,95,0,179.091
1.3,445.18,12.0519,59.0328,33.6671,95,0,179.259
1.32,444.535,12.0595,59.6779,31.7671,95,0,179.394
1.34,443.92,12.0652,60.2929,29.8671,95,0,179.513
1.36,443.336,12.0695,60.8769,27.9671,95,0,179.617
1.38,442.807,12.0726,61.4059,26.0671,95,0,179.697
1.4,442.293,12.0749,61.9199,24.1671,95,0,179.772
1.42,441.846,12.0764,62.3669,22.2671,95,0,179.823
1.44,441.413,12.0775,62.7999,20.3671,95,0,179.871
1.46,441.034,12.0782,63.1789,18.4671,95,0,179.906
1.48,440.701,12.0786,63.5119,16.5671,95,0,179.931
1.5,440.368,12.0789,63.8449,14.6671,95,0,179.956
1.52,440.14,12.0791,64.0729,12.7671,95,0,179.969
1.54,440.002,12.0791,64.2109,10.8671,95,0,179.973
1.56,439.864,12.0792,64.3489,8.96706,95,0,179.976
1.58,439.726,12.0792,64.4869,7.06706,95,0,179.98
1.6,439.588,12.0792,64.6249,5.16706,95,0,179.984
1.62,439.45,12.0793,64.7629,3.26706,95,0,179.987
1.64,439.313,12.0793,64.8999,1.36706,95,0,179.991
