"time","x","y","position","velocity","acceleration","jerk","heading"
0,490.269,19.6108,0,0,95,0,180
0.02,490.131,19.6108,0.13784,1.9,95,0,179.996
0.04,489.994,19.6108,0.275681,3.8,95,0,179.993
0.06,489.856,19.6108,0.413521,5.7,95,0,179.989
0.08,489.718,19.6108,0.551362,7.6,95,0,179.986
0.1,489.58,19.6108,0.689202,9.5,95,0,179.982
0.12,489.442,19.6109,0.827043,11.4,95,0,179.979
0.14,489.304,19.6109,0.964883,13.3,95,0,179.975
0.16,489.021,19.611,1.248,15.2,95,0,179.959
0.18,488.689,19.6113,1.58077,17.1,95,0,179.938
0.2,488.356,19.6116,1.91355,19,95,0,179.917
0.22,487.948,19.6123,2.32102,20.9,95,0,179.879
0.24,487.515,19.6133,2.7547,22.8,95,0,179.836
0.26,487.046,19.6147,3.22346,24.7,95,0,179.782
0.28,486.531,19.6169,3.73789,26.6,95,0,179.713
0.3,485.983,19.62,4.28639,28.5,95,0,179.63
0.32,485.399,19.6242,4.87029,30.4,95,0,179.533
0.34,484.767,19.6299,5.50239,32.3,95,0,179.409
0.36,484.108,19.6374,6.16121,34.2,95,0,179.271
0.38,483.406,19.6474,6.86354,36.1,95,0,179.103
0.4,482.662,19.6602,7.60795,38,95,0,178.906
0.42,481.884,19.6764,8.38598,39.9,95,0,178.684
0.44,481.07,19.6967,9.20022,41.8,95,0,178.433
0.46,480.218,19.722,10.0522,43.7,95,0,178.15
0.48,479.326,19.7533,10.9452,45.6,95,0,177.827
0.5,478.394,19.7915,11.8773,47.5,95,0,177.464
0.52,477.426,19.8377,12.8466,49.4,95,0,177.059
0.54,476.421,19.8932,13.8533,51.3,95,0,176.611
0.56,475.379,19.9593,14.8976,53.2,95,0,176.114
0.58,474.3,20.0377,15.9793,55.1,95,0,175.57
0.6,473.182,20.13,17.1013,57,95,0,174.975
0.62,472.027,20.2381,18.2616,58.9,95,0,174.331
0.64,470.836,20.3634,19.4592,60.8,95,0,173.642
0.66,469.61,20.5077,20.6936,62.7,95,0,172.922
0.68,468.35,20.6725,21.9644,64.6,95,0,172.171
0.7,467.05,20.8601,23.2771,66.5,95,0,171.41
0.72,465.718,21.0707,24.6264,68.4,95,0,170.657
0.74,464.353,21.3045,26.0111,70.3,95,0,169.935
0.76,462.949,21.5624,27.4382,72.2,95,0,169.297
0.78,461.514,21.8415,28.8998,74.1,95,0,168.746
0.8,460.042,22.1405,30.402,76,95,0,168.369
0.82,458.537,22.4544,31.9395,77.9,5.75208,0,168.168
0.84,457.015,22.7744,33.4945,77.3671,-95,0,168.182
0.86,455.517,23.0862,35.0247,75.4671,-95,0,168.406
0.88,454.059,23.3812,36.513,73.5671,-95,0,168.808
0.9,452.631,23.6575,37.9673,71.6671,-95,0,169.351
0.92,451.242,23.9109,39.3796,69.7671,-95,0,170.016
0.94,449.884,24.1416,40.7563,67.8671,-95,0,170.731
0.96,448.561,24.349,42.0956,65.9671,-95,0,171.483
0.98,447.276,24.5329,43.3941,64.0671,-95,0,172.24
1,446.024,24.6952,44.6565,62.1671,-95,0,172.984
1.02,444.806,24.8373,45.8823,60.2671,-95,0,173.698
1.04,443.626,24.9604,47.069,58.3671,-95,0,174.381
1.06,442.484,25.0663,48.2157,56.4671,-95,0,175.014
1.08,441.379,25.1569,49.3251,54.5671,-95,0,175.598
1.1,440.31,25.2341,50.3968,52.6671,-95,0,176.135
1.12,439.278,25.2992,51.4308,50.7671,-95,0,176.624
1.14,438.283,25.3538,52.4267,48.8671,-95,0,177.068
1.16,437.326,25.3993,53.3848,46.9671,-95,0,177.467
1.18,436.407,25.437,54.3053,45.0671,-95,0,177.826
1.2,435.524,25.4679,55.1886,43.1671,-95,0,178.147
1.22,434.677,25.493,56.036,41.2671,-95,0,178.433
1.24,433.874,25.5132,56.8394,39.3671,-95,0,178.682
1.26,433.109,25.5292,57.6037,37.4671,-95,0,178.9
1.28,432.38,25.5419,58.3335,35.5671,-95,0,179.091
1.3,431.68,25.5519,59.0329,33.6671,-95,0,179.259
1.32,431.035,25.5595,59.6788,31.7671,-95,0,179.394
1.34,430.42,25.5652,60.2935,29.8671,-95,0,179.513
1.36,429.836,25.5695,60.8774,27.9671,-95,0,179.617
1.38,429.307,25.5726,61.4064,26.0671,-95,0,179.697
1.4,428.793,25.5749,61.9208,24.1671,-95,0,179.772
1.42,428.346,25.5764,62.3669,22.2671,-95,0,179.823
1.44,427.913,25.5775,62.8006,20.3671,-95,0,179.871
1.46,427.534,25.5782,63.1798,18.4671,-95,0,179.906
1.48,427.201,25.5786,63.5126,16.5671,-95,0,179.931
1.5,426.868,25.5789,63.8453,14.6671,-95,0,179.956
1.52,426.64,25.5791,64.0738,12.7671,-95,0,179.969
1.54,426.502,25.5791,64.2116,10.8671,-95,0,179.973
1.56,426.364,25.5792,64.3495,8.96706,-95,0,179.976
1.58,426.226,25.5792,64.4873,7.06706,-95,0,179.98
1.6,426.088,25.5792,64.6251,5.16706,-95,0,179.984
1.62,425.95,25.5793,64.763,3.26706,-95,0,179.987
1.64,425.813,25.5793,64.9008,1.36706,-95,0,179.991
