"time","x","y","position","velocity","acceleration","jerk","heading"
0,527.643,274.693,0,0,142.5,0,0
0.02,527.474,274.693,0.169,2.85,142.5,0,-179.991
0.04,527.306,274.693,0.337,5.7,142.5,0,-179.983
0.06,527.137,274.693,0.506,8.55,142.5,0,-179.974
0.08,526.968,274.693,0.675,11.4,142.5,0,-179.966
0.1,526.799,274.693,0.844,14.25,142.5,0,-179.957
0.12,526.612,274.693,1.031,17.1,142.5,0,-179.945
0.14,526.205,274.692,1.438,19.95,142.5,0,-179.892
0.16,525.797,274.692,1.846,22.8,142.5,0,-179.839
0.18,525.312,274.69,2.33101,25.65,142.5,0,-179.751
0.2,524.781,274.687,2.86201,28.5,142.5,0,-179.641
0.22,524.177,274.683,3.46603,31.35,142.5,0,-179.482
0.24,523.534,274.676,4.10907,34.2,142.5,0,-179.294
0.26,522.819,274.666,4.82414,37.05,142.5,0,-179.042
0.28,522.047,274.651,5.59628,39.9,142.5,0,-178.729
0.3,521.222,274.631,6.42152,42.75,142.5,0,-178.349
0.32,520.341,274.602,7.303,45.6,142.5,0,-177.889
0.34,519.403,274.563,8.24181,48.45,142.5,0,-177.343
0.36,518.408,274.512,9.23812,51.3,142.5,0,-176.705
0.38,517.355,274.445,10.2932,54.15,117.411,0,-175.966
0.4,516.252,274.359,11.3996,56.3946,34.2,0,-175.123
0.42,515.122,274.254,12.5345,57,0,0,-174.191
0.44,513.989,274.129,13.6743,57,0,0,-173.185
0.46,512.858,273.983,14.8147,57,0,0,-172.116
0.48,511.731,273.816,15.954,57,0,0,-170.993
0.5,510.607,273.626,17.094,57,0,0,-169.816
0.52,509.487,273.413,18.234,57,0,0,-168.594
0.54,508.372,273.175,19.3742,57,0,0,-167.332
0.56,507.263,272.913,20.5137,57,0,0,-166.033
0.58,506.16,272.625,21.6537,57,0,0,-164.706
0.6,505.063,272.312,22.7945,57,0,0,-163.358
0.62,503.975,271.972,23.9343,57,0,0,-161.995
0.64,502.895,271.607,25.0744,57,0,0,-160.621
0.66,501.825,271.216,26.2136,57,0,0,-159.243
0.68,500.764,270.799,27.3536,57,0,0,-157.868
0.7,499.713,270.357,28.4937,57,0,0,-156.502
0.72,498.673,269.89,29.6338,57,0,0,-155.148
0.74,497.644,269.399,30.7739,57,0,0,-153.812
0.76,496.627,268.884,31.9139,57,0,0,-152.495
0.78,495.622,268.346,33.0538,57,0,0,-151.205
0.8,494.629,267.786,34.1938,57,0,0,-149.949
0.82,493.649,267.204,35.3336,57,0,0,-148.724
0.84,492.681,266.602,36.4735,57,0,0,-147.531
0.86,491.725,265.98,37.6141,57,0,0,-146.372
0.88,490.782,265.34,38.7537,57,0,0,-145.252
0.9,489.852,264.681,39.8936,57,0,0,-144.173
0.92,488.934,264.005,41.0336,57,0,0,-143.131
0.94,488.028,263.313,42.1736,57,0,0,-142.129
0.96,487.134,262.605,43.314,57,0,0,-141.166
0.98,486.252,261.883,44.4539,57,0,0,-140.247
1,485.381,261.147,45.5942,57,0,0,-139.365
1.02,484.522,260.398,46.7339,57,0,0,-138.518
1.04,483.673,259.637,47.874,57,0,0,-137.71
1.06,482.835,258.864,49.0141,57,0,0,-136.944
1.08,482.007,258.081,50.1537,57,0,0,-136.214
1.1,481.189,257.287,51.2937,57,0,0,-135.517
1.12,480.381,256.483,52.4335,57,0,0,-134.858
1.14,479.581,255.671,53.5734,57,0,0,-134.235
1.16,478.79,254.85,54.7135,57,0,0,-133.64
1.18,478.008,254.021,55.8531,57,0,0,-133.08
1.2,477.233,253.184,56.9938,57,0,0,-132.554
1.22,476.466,252.341,58.1335,57,0,0,-132.06
1.24,475.706,251.491,59.2737,57,0,0,-131.593
1.26,474.952,250.636,60.4137,57,0,0,-131.162
1.28,474.205,249.775,61.5536,57,0,0,-130.757
1.3,473.464,248.909,62.6933,57,0,0,-130.378
1.32,472.728,248.038,63.8337,57,0,0,-130.032
1.34,471.997,247.163,64.9738,57,0,0,-129.714
1.36,471.271,246.284,66.1139,57,0,0,-129.421
1.38,470.549,245.402,67.2537,57,0,0,-129.159
1.4,469.831,244.516,68.3941,57,0,0,-128.927
1.42,469.117,243.628,69.5336,57,0,0,-128.717
1.44,468.405,242.737,70.6741,57,0,0,-128.537
1.46,467.696,241.845,71.8136,57,0,0,-128.386
1.48,466.99,240.95,72.9535,57,0,0,-128.26
1.5,466.285,240.054,74.0936,57,0,0,-128.162
1.52,465.581,239.158,75.2331,57,0,0,-128.1
1.54,464.878,238.26,76.3735,57,0,0,-128.065
1.56,464.175,237.362,77.514,57,0,0,-128.057
1.58,463.472,236.465,78.6536,57,0,0,-128.084
1.6,462.769,235.568,79.7933,57,0,0,-128.143
1.62,462.064,234.672,80.9334,57,0,0,-128.233
1.64,461.358,233.777,82.0733,57,0,0,-128.359
