"time","x","y","position","velocity","acceleration","jerk","heading"
0,514.143,304.736,0,0,0,0,-180
0.02,513.967,304.735,0.175598,8.77992,438.996,21949.8,-179.991
0.04,513.792,304.735,0.351197,8.77992,-1.58211e-07,-21949.8,-179.982
0.06,513.616,304.735,0.526507,8.76549,-0.721803,-36.0901,-179.974
0.08,513.44,304.735,0.703105,8.82992,3.2218,197.18,-179.965
0.1,513.264,304.735,0.878704,8.77992,-2.5,-286.09,-179.956
0.12,513.031,304.735,1.11219,11.6743,144.718,7360.9,-179.937
0.14,512.596,304.734,1.54678,21.7296,502.766,17902.4,-179.883
0.16,512.162,304.733,1.98066,21.694,-1.77818,-25227.2,-179.828
0.18,511.609,304.731,2.5344,27.6871,299.653,15071.6,-179.725
0.2,511.031,304.728,3.11175,28.8673,59.0073,-12032.3,-179.613
0.22,510.333,304.723,3.81032,34.9283,303.054,12202.3,-179.431
0.24,509.584,304.715,4.55872,37.42,124.582,-8923.59,-179.215
0.26,508.767,304.702,5.37632,40.8804,173.022,2422,-178.95
0.28,507.857,304.683,6.28624,45.496,230.781,2887.95,-178.608
0.3,506.862,304.654,7.2816,49.7677,213.581,-859.985,-178.182
0.32,505.785,304.616,8.35943,53.8916,206.198,-369.15,-177.672
0.34,504.624,304.563,9.52197,58.1272,211.781,279.117,-177.071
0.36,503.375,304.492,10.7727,62.5382,220.549,438.418,-176.371
0.38,502.038,304.398,12.1132,67.0228,224.231,184.084,-175.565
0.4,500.61,304.276,13.546,71.6413,230.924,334.684,-174.645
0.42,499.121,304.123,15.0427,74.8351,159.69,-3561.71,-173.615
0.44,497.613,303.94,16.5624,75.9849,57.4889,-5110.07,-172.51
0.46,496.091,303.724,18.099,76.8302,42.2628,-761.305,-171.344
0.48,494.559,303.474,19.6512,77.6074,38.8636,-169.963,-170.123
0.5,493.018,303.189,21.2184,78.3607,37.6628,-60.0378,-168.851
0.52,491.469,302.865,22.8008,79.1222,38.0773,20.7222,-167.528
0.54,489.919,302.503,24.3935,79.6355,25.6609,-620.82,-166.166
0.56,488.366,302.101,25.9969,80.1698,26.7188,52.8988,-164.77
0.58,486.819,301.659,27.6063,80.4689,14.9535,-588.265,-163.352
0.6,485.278,301.177,29.2206,80.7127,12.1914,-138.106,-161.916
0.62,483.747,300.656,30.8382,80.8795,8.33839,-192.65,-160.47
0.64,482.228,300.096,32.4568,80.9338,2.7161,-281.115,-159.02
0.66,480.726,299.497,34.0738,80.8495,-4.21693,-346.651,-157.573
0.68,479.241,298.862,35.6891,80.763,-4.32645,-5.47599,-156.137
0.7,477.777,298.193,37.2991,80.4981,-13.2404,-445.698,-154.716
0.72,476.335,297.49,38.9031,80.2002,-14.8971,-82.8363,-153.318
0.74,474.917,296.757,40.4988,79.7894,-20.5425,-282.268,-151.944
0.76,473.525,295.993,42.087,79.4089,-19.0207,76.0885,-150.602
0.78,472.16,295.203,43.6641,78.8537,-27.7613,-437.03,-149.294
0.8,470.821,294.387,45.2322,78.4028,-22.548,260.669,-148.021
0.82,469.51,293.549,46.7876,77.7731,-31.4804,-446.621,-146.789
0.84,468.227,292.69,48.3321,77.2268,-27.3195,208.044,-145.596
0.86,466.973,291.812,49.8629,76.5358,-34.548,-361.423,-144.45
0.88,465.746,290.916,51.3823,75.9707,-28.2543,314.685,-143.344
0.9,464.545,290.005,52.8899,75.3795,-29.5623,-65.4003,-142.278
0.92,463.371,289.08,54.3846,74.7372,-32.1142,-127.596,-141.259
0.94,462.225,288.144,55.864,73.9701,-38.3553,-312.056,-140.29
0.96,461.103,287.197,57.3322,73.4102,-27.9928,518.126,-139.361
0.98,460.005,286.239,58.7894,72.8569,-27.6652,16.3798,-138.47
1,458.931,285.273,60.2337,72.2181,-31.942,-213.838,-137.622
1.02,457.881,284.302,61.6643,71.5279,-34.5078,-128.288,-136.824
1.04,456.851,283.323,63.0846,71.0175,-25.5229,449.241,-136.062
1.06,455.844,282.338,64.494,70.4678,-27.4812,-97.9151,-135.337
1.08,454.855,281.35,65.8911,69.8578,-30.5025,-151.063,-134.654
1.1,453.887,280.358,67.278,69.3427,-25.7553,237.361,-134.007
1.12,452.936,279.364,68.6537,68.7837,-27.9512,-109.796,-133.397
1.14,452.003,278.366,70.0192,68.2748,-25.4429,125.415,-132.826
1.16,451.088,277.368,71.3736,67.7205,-27.7125,-113.477,-132.29
1.18,450.186,276.368,72.7201,67.3252,-19.7653,397.359,-131.783
1.2,449.3,275.369,74.0558,66.7853,-26.995,-361.483,-131.313
1.22,448.43,274.37,75.3808,66.2501,-26.7597,11.7615,-130.88
1.24,447.571,273.371,76.6978,65.8532,-19.8478,345.594,-130.474
1.26,446.726,272.374,78.005,65.3577,-24.7735,-246.283,-130.102
1.28,445.893,271.378,79.3036,64.932,-21.2853,174.41,-129.762
1.3,445.07,270.384,80.5939,64.5121,-20.9959,14.4704,-129.448
1.32,444.259,269.393,81.8741,64.0121,-24.9982,-200.115,-129.171
1.34,443.458,268.406,83.1452,63.5546,-22.8768,106.07,-128.925
1.36,442.667,267.421,84.4083,63.1558,-19.9376,146.959,-128.706
1.38,441.884,266.441,85.663,62.7316,-21.2135,-63.7931,-128.518
1.4,441.11,265.466,86.9081,62.2544,-23.8569,-132.172,-128.362
1.42,440.345,264.495,88.1439,61.7923,-23.1082,37.4337,-128.237
1.44,439.586,263.531,89.3707,61.3387,-22.6809,21.3649,-128.144
1.46,438.835,262.574,90.5872,60.8274,-25.5641,-144.156,-128.087
1.48,438.09,261.623,91.7955,60.4153,-20.6044,247.982,-128.057
1.5,437.351,260.678,92.9949,59.9697,-22.2788,-83.7185,-128.06
1.52,436.62,259.745,94.1805,59.2807,-34.449,-608.513,-128.108
1.54,435.893,258.82,95.3572,58.8352,-22.2765,608.628,-128.189
1.56,435.171,257.903,96.5246,58.3669,-23.4155,-56.9522,-128.304
1.58,434.454,256.998,97.6786,57.7008,-33.3058,-494.515,-128.464
1.6,433.743,256.105,98.82,57.0703,-31.522,89.1939,-128.666
1.62,433.05,255.243,99.926,55.3006,-88.4866,-2848.23,-128.91
1.64,432.392,254.431,100.971,52.2693,-151.565,-3153.9,-129.185
1.66,431.773,253.676,101.948,48.8125,-172.839,-1063.73,-129.493
1.68,431.192,252.974,102.858,45.5404,-163.607,461.601,-129.824
1.7,430.649,252.326,103.704,42.3006,-161.991,80.7877,-130.171
1.72,430.141,251.728,104.489,39.2146,-154.299,384.615,-130.531
1.74,429.666,251.177,105.216,36.3672,-142.367,596.605,-130.9
1.76,429.215,250.66,105.902,34.3067,-103.028,1966.97,-131.295
1.78,428.769,250.155,106.576,33.711,-29.7844,3662.16,-131.73
1.8,428.324,249.661,107.241,33.2373,-23.6833,305.057,-132.199
1.82,427.884,249.178,107.895,32.6748,-28.1277,-222.222,-132.706
1.84,427.446,248.708,108.537,32.1142,-28.03,4.88475,-133.253
1.86,427.014,248.254,109.164,31.3384,-38.7864,-537.817,-133.853
1.88,426.588,247.815,109.775,30.5792,-37.9644,41.0997,-134.505
1.9,426.167,247.392,110.372,29.8385,-37.0302,46.7059,-135.208
1.92,425.753,246.984,110.954,29.0814,-37.8588,-41.4269,-135.966
1.94,425.345,246.595,111.518,28.1897,-44.5841,-336.265,-136.784
1.96,424.948,246.228,112.057,26.9751,-60.7316,-807.375,-137.685
1.98,424.563,245.883,112.574,25.8645,-55.5296,260.102,-138.665
2,424.19,245.56,113.067,24.6552,-60.4636,-246.7,-139.727
2.02,423.834,245.264,113.53,23.1474,-75.3891,-746.278,-140.893
2.04,423.499,244.996,113.96,21.4775,-83.4955,-405.32,-142.178
2.06,423.166,244.743,114.378,20.9168,-28.0369,2772.93,-143.5
2.08,422.872,244.53,114.741,18.1226,-139.707,-5583.49,-145.016
2.1,422.597,244.342,115.074,16.6685,-72.7072,3349.97,-146.631
2.12,422.343,244.178,115.376,15.1127,-77.7914,-254.212,-148.357
2.14,422.127,244.049,115.628,12.5927,-125.999,-2410.37,-150.254
2.16,421.95,243.951,115.831,10.1218,-123.543,122.773,-152.323
2.18,421.805,243.877,115.993,8.13066,-99.5575,1199.3,-154.531
2.2,421.711,243.831,116.098,5.25654,-143.706,-2207.42,-156.937
2.22,421.659,243.81,116.154,2.79974,-122.84,1043.28,-159.516
2.24,421.636,243.801,116.179,1.23275,-78.3495,2224.54,-162.2
2.26,421.685,243.814,116.23,2.55906,66.3154,7233.25,-165.147
2.28,421.77,243.833,116.317,4.35236,89.6652,1167.49,-168.222
2.3,421.884,243.852,116.432,5.76268,70.516,-957.459,-171.392
2.32,422.025,243.869,116.574,7.08294,66.013,-225.151,-174.654
2.34,422.194,243.88,116.744,8.47351,69.5282,175.758,-178.011
2.36,422.362,243.881,116.912,8.41114,-3.11844,-3632.33,178.635
2.38,422.53,243.871,117.08,8.42756,0.821014,196.973,175.283
2.4,422.672,243.856,117.223,7.12909,-64.9235,-3287.23,172.018
2.42,422.782,243.839,117.335,5.58311,-77.2986,-618.756,168.859
2.44,422.866,243.822,117.42,4.25049,-66.6311,533.375,165.794
2.46,422.908,243.811,117.463,2.17853,-103.598,-1848.35,162.872
2.48,422.885,243.819,117.488,1.21457,-48.1981,2769.99,160.187
2.5,422.828,243.844,117.55,3.12541,95.5422,7187.02,157.631
2.52,422.733,243.886,117.654,5.19335,103.397,392.722,155.219
2.54,422.586,243.959,117.818,8.21148,150.907,2375.5,153.018
2.56,422.399,244.06,118.03,10.6125,120.05,-1542.85,150.984
2.58,422.179,244.189,118.285,12.75,106.877,-658.649,149.094
2.6,421.924,244.348,118.585,14.9993,112.465,279.399,147.364
2.62,421.643,244.535,118.924,16.9255,96.3088,-807.794,145.765
2.64,421.347,244.744,119.286,18.0919,58.3188,-1899.5,144.246
2.66,421.006,244.997,119.71,21.2199,156.404,4904.27,142.945
2.68,420.662,245.263,120.145,21.7655,27.2757,-6456.43,141.685
2.7,420.3,245.556,120.61,23.2467,74.0626,2339.34,140.522
2.72,419.922,245.875,121.105,24.7485,75.0919,51.4668,139.466
2.74,419.53,246.216,121.625,26.0021,62.679,-620.648,138.498
2.76,419.122,246.583,122.173,27.4053,70.1568,373.893,137.625
2.78,418.705,246.97,122.743,28.4526,52.3669,-889.494,136.824
2.8,418.28,247.374,123.329,29.3319,43.9632,-420.189,136.085
2.82,417.848,247.796,123.933,30.1875,42.783,-59.0085,135.406
2.84,417.409,248.234,124.553,31.0143,41.3366,-72.3203,134.782
2.86,416.962,248.69,125.192,31.9191,45.2405,195.195,134.223
2.88,416.508,249.16,125.845,32.695,38.7968,-322.185,133.715
2.9,416.049,249.643,126.511,33.2962,30.0586,-436.909,133.253
2.92,415.586,250.14,127.19,33.9475,32.5677,125.456,132.833
2.94,415.118,250.648,127.882,34.5646,30.8528,-85.7456,132.455
2.96,414.642,251.171,128.589,35.355,39.5229,433.506,132.136
2.98,414.161,251.707,129.309,35.9946,31.9776,-377.266,131.858
3,413.675,252.252,130.039,36.5032,25.4299,-327.386,131.617
3.02,413.184,252.808,130.78,37.0832,28.9986,178.435,131.413
3.04,412.688,253.371,131.531,37.5512,23.3999,-279.933,131.246
3.06,412.184,253.948,132.297,38.2662,35.7497,617.491,131.123
3.08,411.681,254.525,133.063,38.291,1.24294,-1725.34,131.004
3.1,411.211,255.068,133.781,35.9295,-118.074,-5965.85,130.723
3.12,410.763,255.592,134.47,34.4586,-73.5484,2226.29,130.339
3.14,410.307,256.135,135.179,35.4454,49.3436,6144.6,130.024
