"time","x","y","position","velocity","acceleration","jerk","heading"
0,386.1,261.1,0,0,142.5,0,0
0.02,386.2,260.964,0.168808,2.85,142.5,0,-53.8011
0.04,386.299,260.828,0.337025,5.7,142.5,0,-53.8022
0.06,386.399,260.691,0.506639,8.55,142.5,0,-53.8034
0.08,386.499,260.555,0.675447,11.4,142.5,0,-53.8045
0.1,386.599,260.419,0.844254,14.25,142.5,0,-53.8056
0.12,386.709,260.268,1.03107,17.1,142.5,0,-53.807
0.14,386.95,259.939,1.4389,19.95,142.5,0,-53.8122
0.16,387.19,259.61,1.84613,22.8,142.5,0,-53.8175
0.18,387.476,259.219,2.33057,25.65,142.5,0,-53.826
0.2,387.79,258.79,2.8622,28.5,142.5,0,-53.8365
0.22,388.146,258.302,3.46626,31.35,142.5,0,-53.8544
0.24,388.526,257.783,4.1095,34.2,142.5,0,-53.8759
0.26,388.947,257.205,4.82457,37.05,142.5,0,-53.9037
0.28,389.402,256.581,5.59684,39.9,142.5,0,-53.9385
0.3,389.887,255.914,6.42153,42.75,142.5,0,-53.9826
0.32,390.405,255.201,7.30283,45.6,142.5,0,-54.0374
0.34,390.956,254.441,8.24156,48.45,142.5,0,-54.1026
0.36,391.54,253.633,9.23851,51.3,142.5,0,-54.1818
0.38,392.157,252.777,10.2937,54.15,142.5,0,-54.2796
0.4,392.805,251.874,11.4051,57,142.5,0,-54.3936
0.42,393.484,250.923,12.5737,59.85,142.5,0,-54.5304
0.44,394.193,249.926,13.7971,62.7,142.5,0,-54.6931
0.46,394.931,248.88,15.0772,65.55,142.5,0,-54.8819
0.48,395.701,247.78,16.4199,68.4,142.5,0,-55.1106
0.5,396.497,246.634,17.8152,71.25,142.5,0,-55.3754
0.52,397.32,245.436,19.2687,74.1,142.5,0,-55.6852
0.54,398.167,244.186,20.7786,76.95,142.5,0,-56.0525
0.56,399.038,242.882,22.3468,79.8,142.5,0,-56.479
0.58,399.928,241.526,23.9688,82.65,142.5,0,-56.9713
0.6,400.839,240.11,25.6525,85.5,142.5,0,-57.5537
0.62,401.763,238.638,27.3905,88.35,142.5,0,-58.2191
0.64,402.699,237.107,29.1849,91.2,142.5,0,-58.9773
0.66,403.641,235.513,31.0365,94.05,142.5,0,-59.8388
0.68,404.587,233.854,32.9462,96.9,142.5,0,-60.801
0.7,405.531,232.129,34.9126,99.75,142.5,0,-61.8507
0.72,406.468,230.335,36.9366,102.6,142.5,0,-62.967
0.74,407.395,228.473,39.0166,105.45,142.5,0,-64.118
0.76,408.309,226.54,41.1548,108.3,142.5,0,-65.2602
0.78,409.208,224.538,43.3494,111.15,142.5,0,-66.3438
0.8,410.093,222.469,45.5997,113.699,34.2,0,-67.3217
0.82,410.955,220.36,47.8781,114,0,0,-68.1546
0.84,411.79,218.238,50.1584,114,0,0,-68.8183
0.86,412.604,216.108,52.4387,114,0,0,-69.322
0.88,413.402,213.973,54.7179,114,0,0,-69.6773
0.9,414.189,211.833,56.9981,114,0,0,-69.9123
0.92,414.969,209.69,59.2786,114,0,0,-70.043
0.94,415.746,207.547,61.5581,114,0,0,-70.0923
0.96,416.523,205.403,63.8386,114,0,0,-70.0805
0.98,417.3,203.26,66.1181,114,0,0,-70.0208
1,418.081,201.118,68.398,114,0,0,-69.9242
1.02,418.866,198.977,70.6784,114,0,0,-69.8036
1.04,419.655,196.838,72.9583,114,0,0,-69.6657
1.06,420.45,194.701,75.2384,114,0,0,-69.5156
1.08,421.251,192.566,77.5187,114,0,0,-69.36
1.1,422.058,190.434,79.7983,114,0,0,-69.2027
1.12,422.87,188.304,82.0778,114,0,0,-69.0481
1.14,423.688,186.175,84.3586,114,0,0,-68.9375
1.16,424.509,184.048,86.6385,114,0,0,-68.8766
1.18,425.331,181.921,88.9188,114,0,0,-68.8511
1.2,426.154,179.795,91.1986,114,0,0,-68.8445
1.22,426.977,177.669,93.4783,114,0,0,-68.8406
1.24,427.8,175.543,95.758,114,0,0,-68.8233
1.26,428.624,173.417,98.0381,114,0,0,-68.773
1.28,429.451,171.292,100.318,114,0,0,-68.6691
1.3,430.283,169.169,102.599,114,0,0,-68.4932
1.32,431.124,167.05,104.878,114,0,0,-68.2165
1.34,431.977,164.936,107.158,114,0,0,-67.8073
1.36,432.848,162.828,109.439,114,0,0,-67.2402
1.38,433.743,160.731,111.719,114,0,0,-66.47
1.4,434.67,158.649,113.998,114,0,0,-65.4834
1.42,435.638,156.584,116.279,114,0,0,-64.1962
1.44,436.657,154.545,118.558,114,0,0,-62.6237
