"time","x","y","position","velocity","acceleration","jerk","heading"
0,385.949,284.37,0,0,0,0,-53.8
0.02,386.051,284.23,0.173534,8.67671,433.836,21691.8,-53.8011
0.04,386.155,284.09,0.347688,8.70769,1.54902,-21614.3,-53.8023
0.06,386.257,283.95,0.520415,8.63635,-3.5671,-255.806,-53.8034
0.08,386.359,283.81,0.693978,8.67815,2.09026,282.868,-53.8046
0.1,386.461,283.67,0.867512,8.67671,-0.0721801,-108.122,-53.8057
0.12,386.597,283.485,1.09692,11.4706,139.694,6988.32,-53.8078
0.14,386.844,283.146,1.51653,20.9801,475.476,16789.1,-53.8132
0.16,387.092,282.808,1.93588,20.9678,-0.616514,-23804.6,-53.8185
0.18,387.404,282.382,2.4632,26.366,269.909,13526.3,-53.8285
0.2,387.727,281.94,3.01097,27.3883,51.1162,-10939.7,-53.8393
0.22,388.112,281.413,3.66385,32.6439,262.783,10583.3,-53.8602
0.24,388.521,280.853,4.35655,34.6353,99.569,-8160.69,-53.8846
0.26,388.963,280.248,5.10648,37.4962,143.044,2173.77,-53.9139
0.28,389.446,279.583,5.92857,41.1045,180.412,1868.37,-53.952
0.3,389.968,278.866,6.81507,44.325,161.028,-969.183,-54.0026
0.32,390.525,278.099,7.76327,47.4102,154.261,-338.35,-54.0632
0.34,391.117,277.281,8.77311,50.4921,154.095,-8.32309,-54.1356
0.36,391.746,276.409,9.84851,53.7697,163.876,489.058,-54.2257
0.38,392.411,275.484,10.9871,56.9312,158.075,-290.036,-54.3331
0.4,393.111,274.506,12.1901,60.1492,160.903,141.377,-54.4581
0.42,393.854,273.465,13.4689,63.9387,189.472,1428.48,-54.6161
0.44,394.63,272.368,14.8129,67.1991,163.023,-1322.47,-54.7986
0.46,395.44,271.215,16.2215,70.4307,161.581,-72.1212,-55.0132
0.48,396.29,269.996,17.7075,74.3003,193.477,1594.83,-55.2714
0.5,397.173,268.715,19.2634,77.7938,174.675,-940.111,-55.5703
0.52,398.093,267.365,20.8972,81.6938,195.002,1016.34,-55.9274
0.54,399.045,265.946,22.6059,85.4322,186.917,-404.213,-56.3439
0.56,400.032,264.45,24.3981,89.6112,208.954,1101.85,-56.8318
0.58,401.05,262.877,26.2718,93.6832,203.598,-267.818,-57.4024
0.6,402.095,261.221,28.23,97.9109,211.383,389.24,-58.0609
0.62,403.169,259.474,30.2808,102.538,231.376,999.646,-58.8214
0.64,404.264,257.634,32.422,107.062,226.196,-258.984,-59.6883
0.66,405.374,255.7,34.652,111.502,221.967,-211.473,-60.6601
0.68,406.49,253.669,36.9691,115.856,217.701,-213.294,-61.7255
0.7,407.606,251.545,39.3685,119.968,205.618,-604.156,-62.8643
0.72,408.709,249.336,41.8381,123.478,175.48,-1506.88,-64.0432
0.74,409.792,247.051,44.3661,126.402,146.205,-1463.76,-65.217
0.76,410.848,244.705,46.9389,128.642,112.01,-1709.72,-66.3305
0.78,411.87,242.315,49.5387,129.988,67.3013,-2235.45,-67.3343
0.8,412.859,239.891,52.156,130.867,43.9358,-1168.28,-68.1958
0.82,413.808,237.474,54.7528,129.838,-51.4135,-4767.46,-68.8774
0.84,414.716,235.093,57.3011,127.416,-121.132,-3485.91,-69.3896
0.86,415.588,232.75,59.8008,124.987,-121.427,-14.7594,-69.7361
0.88,416.435,230.438,62.2636,123.138,-92.4667,1448.01,-69.9547
0.9,417.266,228.152,64.6964,121.641,-74.826,882.037,-70.067
0.92,418.087,225.888,67.1042,120.39,-62.5542,613.592,-70.095
0.94,418.901,223.641,69.4943,119.505,-44.2633,914.541,-70.0596
0.96,419.713,221.408,71.8705,118.807,-34.9121,467.561,-69.9788
0.98,420.525,219.184,74.238,118.379,-21.4052,675.345,-69.8636
1,421.341,216.969,76.5978,117.989,-19.483,96.1114,-69.7252
1.02,422.159,214.761,78.953,117.761,-11.4025,404.026,-69.5715
1.04,422.984,212.557,81.3064,117.67,-4.56953,341.647,-69.4095
1.06,423.814,210.357,83.6581,117.583,-4.34393,11.28,-69.2439
1.08,424.651,208.158,86.0107,117.632,2.46505,340.449,-69.0796
1.1,425.498,205.952,88.3737,118.149,25.8763,1170.56,-68.9502
1.12,426.354,203.731,90.7538,119.003,42.6663,839.502,-68.8814
1.14,427.216,201.5,93.1456,119.59,29.3395,-666.339,-68.852
1.16,428.082,199.264,95.5431,119.877,14.3773,-748.112,-68.8445
