"time","x","y","position","velocity","acceleration","jerk","heading"
0,312.496,38.968,0,0,0,0,0
0.02,312.685,38.968,0.189342,9.46711,473.356,23667.8,0.00305164
0.04,312.874,38.968,0.377684,9.41711,-2.49999,-23792.8,0.00610327
0.06,313.063,38.968,0.567027,9.46711,2.49999,249.999,0.00915491
0.08,313.252,38.968,0.756369,9.46711,2.69576e-05,-124.998,0.0122065
0.1,313.442,38.9681,0.945711,9.46711,6.5528e-06,-0.00102024,0.0152582
0.12,313.824,38.9681,1.32845,19.1369,483.49,24174.5,0.0257507
0.14,314.28,38.9683,1.78359,22.7572,181.014,-15123.8,0.0390018
0.16,314.809,38.9687,2.31302,26.4714,185.713,234.947,0.0602098
0.18,315.4,38.9695,2.90403,29.5503,153.942,-1588.52,0.0880221
0.2,316.084,38.9708,3.58786,34.1916,232.063,3906.07,0.135205
0.22,316.823,38.9727,4.32746,36.9801,139.429,-4631.73,0.192733
0.24,317.63,38.9759,5.13404,40.3289,167.44,1400.58,0.264306
0.26,318.506,38.9806,6.01001,43.7983,173.468,301.378,0.35731
0.28,319.452,38.9873,6.95566,47.2829,174.23,38.0895,0.474994
0.3,320.466,38.9969,7.9705,50.742,172.953,-63.8185,0.615137
0.32,321.546,39.01,9.05008,53.9787,161.834,-555.951,0.789157
0.34,322.691,39.0276,10.1951,57.2498,163.557,86.1033,0.993961
0.36,323.898,39.051,11.4026,60.3741,156.214,-367.115,1.23407
0.38,325.165,39.0812,12.6695,63.3464,148.616,-379.895,1.51451
0.4,326.502,39.1202,14.0076,66.9052,177.942,1466.29,1.84156
0.42,327.893,39.1694,15.3996,69.5989,134.683,-2162.98,2.21707
0.44,329.35,39.231,16.8576,72.9028,165.197,1525.7,2.64543
0.46,330.861,39.3071,18.3702,75.629,136.309,-1444.39,3.13008
0.48,332.433,39.4004,19.9455,78.7659,156.843,1026.72,3.67593
0.5,334.063,39.5136,21.5797,81.711,147.255,-479.41,4.28379
0.52,335.749,39.6496,23.2709,84.5602,142.462,-239.628,4.95066
0.54,337.493,39.8116,25.0227,87.5873,151.356,444.703,5.67175
0.56,339.298,40.003,26.8377,90.75,158.134,338.867,6.43743
0.58,341.167,40.227,28.7202,94.126,168.801,533.363,7.22639
0.6,343.106,40.4865,30.6755,97.7653,181.962,658.035,8.008
0.62,345.123,40.7839,32.715,101.976,210.526,1428.22,8.73621
0.64,347.228,41.12,34.8465,106.574,229.929,970.114,9.36185
0.66,349.439,41.4945,37.0886,112.105,276.538,2330.49,9.82006
0.68,351.766,41.9033,39.4517,118.155,302.497,1297.93,10.0487
0.7,354.22,42.3386,41.944,124.612,322.851,1017.71,10.0066
0.72,356.809,42.7892,44.5714,131.373,338.03,758.948,9.67446
0.74,359.528,43.2394,47.3279,137.822,322.474,-777.817,9.08002
0.76,362.37,43.6738,50.2029,143.752,296.496,-1298.9,8.26323
0.78,365.325,44.0778,53.1858,149.145,269.638,-1342.89,7.28739
0.8,368.376,44.4395,56.2574,153.578,221.68,-2397.88,6.23057
0.82,371.508,44.7516,59.4056,157.413,191.745,-1496.76,5.15468
0.84,374.71,45.0105,62.6181,160.624,160.508,-1561.84,4.11197
0.86,377.974,45.2166,65.8879,163.488,143.245,-863.156,3.13914
0.88,381.29,45.3723,69.2081,166.012,126.155,-854.506,2.26328
0.9,384.629,45.4814,72.5484,167.015,50.1613,-3799.7,1.50892
0.92,387.878,45.5491,75.7982,162.489,-226.301,-13823.1,0.90534
0.94,391.023,45.5854,78.9431,157.247,-262.069,-1788.4,0.451871
0.96,394.064,45.6004,81.9843,152.057,-259.536,126.666,0.145223
0.98,397.007,45.6028,84.9277,147.17,-244.355,759.026,-0.0421601
1,399.885,45.5951,87.8057,143.901,-163.415,4047.03,-0.264918
1.02,402.687,45.5771,90.6076,140.095,-190.318,-1345.17,-0.463673
1.04,405.406,45.5513,93.3264,135.94,-207.73,-870.613,-0.61067
1.06,408.032,45.5214,95.9533,131.345,-229.754,-1101.2,-0.66511
1.08,410.56,45.4925,98.4809,126.38,-248.255,-925.026,-0.597547
1.1,412.979,45.471,100.9,120.976,-270.227,-1098.62,-0.35822
1.12,415.278,45.4644,103.199,114.917,-302.911,-1634.18,0.108788
1.14,417.444,45.4805,105.365,108.307,-330.531,-1381.02,0.850767
1.16,419.474,45.5271,107.396,101.546,-338.045,-375.717,1.89315
1.18,421.37,45.61,109.293,94.8688,-333.853,209.634,3.22338
1.2,423.138,45.7327,111.065,88.6107,-312.902,1047.51,4.79089
1.22,424.797,45.8963,112.733,83.3892,-261.078,2591.23,6.51247
1.24,426.378,46.1008,114.327,79.6829,-185.311,3788.32,8.24585
1.26,427.897,46.3438,115.866,76.9519,-136.553,2437.92,9.90086
1.28,429.375,46.6219,117.369,75.1489,-90.1497,2320.17,11.3783
1.3,430.813,46.9292,118.84,73.568,-79.0463,555.169,12.669
1.32,432.217,47.2597,120.282,72.0856,-74.12,246.314,13.7731
1.34,433.585,47.6075,121.694,70.5878,-74.8905,-38.5252,14.6813
1.36,434.91,47.9645,123.066,68.5985,-99.4641,-1228.68,15.4274
1.38,436.191,48.3261,124.397,66.5617,-101.836,-118.617,16.0483
