"time","x","y","position","velocity","acceleration","jerk","heading"
0,476.769,6.1108,0,0,171,0,0
0.02,476.584,6.1108,0.185,3.42,171,0,179.995
0.04,476.399,6.1108,0.37,6.84,171,0,179.991
0.06,476.214,6.1108,0.555,10.26,171,0,179.986
0.08,476.029,6.1109,0.74,13.68,171,0,179.981
0.1,475.844,6.1109,0.925,17.1,171,0,179.976
0.12,475.504,6.111,1.265,20.52,171,0,179.958
0.14,475.058,6.1114,1.711,23.94,171,0,179.93
0.16,474.564,6.1121,2.205,27.36,171,0,179.891
0.18,473.982,6.1134,2.787,30.78,171,0,179.833
0.2,473.331,6.1156,3.43801,34.2,171,0,179.753
0.22,472.624,6.1191,4.14501,37.62,171,0,179.654
0.24,471.841,6.1247,4.92803,41.04,171,0,179.523
0.26,470.982,6.133,5.78707,44.46,171,0,179.352
0.28,470.058,6.1451,6.71115,47.88,171,0,179.139
0.3,469.067,6.162,7.7023,51.3,171,0,178.881
0.32,468.009,6.1854,8.76056,54.72,171,0,178.571
0.34,466.884,6.2168,9.88599,58.14,171,0,178.206
0.36,465.688,6.2585,11.0827,61.56,171,0,177.775
0.38,464.421,6.3132,12.3509,64.98,171,0,177.268
0.4,463.09,6.3833,13.6837,68.4,171,0,176.687
0.42,461.693,6.4721,15.0836,71.82,171,0,176.023
0.44,460.224,6.5838,16.5568,75.24,171,0,175.265
0.46,458.694,6.7216,18.093,78.66,171,0,174.427
0.48,457.094,6.8906,19.7019,82.08,171,0,173.502
0.5,455.431,7.0944,21.3773,85.5,171,0,172.518
0.52,453.705,7.3368,23.1203,88.92,171,0,171.501
0.54,451.915,7.6209,24.9327,92.34,171,0,170.493
0.56,450.062,7.9477,26.8143,95.76,171,0,169.563
0.58,448.148,8.315,28.7632,99.18,171,0,168.795
0.6,446.171,8.7175,30.7808,102.6,171,0,168.288
0.62,444.136,9.1441,32.86,104.614,147.131,0,168.147
0.64,442.117,9.5655,34.9225,101.422,171,0,168.386
0.66,440.162,9.9592,36.9168,98.0017,171,0,168.951
0.68,438.271,10.3163,38.8412,94.5817,171,0,169.753
0.7,436.441,10.6323,40.6983,91.1617,171,0,170.7
0.72,434.674,10.9062,42.4864,87.7417,171,0,171.71
0.74,432.968,11.1395,44.2082,84.3217,171,0,172.719
0.76,431.327,11.3349,45.8608,80.9017,171,0,173.685
0.78,429.754,11.4963,47.4421,77.4817,171,0,174.589
0.8,428.241,11.6285,48.9609,74.0617,171,0,175.412
0.82,426.802,11.7346,50.4038,70.6417,171,0,176.139
0.84,425.425,11.8195,51.7834,67.2217,171,0,176.786
0.86,424.115,11.8863,53.0951,63.8017,171,0,177.351
0.88,422.877,11.9381,54.3342,60.3817,171,0,177.836
0.9,421.706,11.9778,55.5058,56.9617,171,0,178.255
0.92,420.602,12.0078,56.6102,53.5417,171,0,178.611
0.94,419.566,12.0301,57.6465,50.1217,171,0,178.912
0.96,418.599,12.0462,58.6136,46.7017,171,0,179.158
0.98,417.702,12.0577,59.5107,43.2817,171,0,179.359
1,416.872,12.0656,60.3407,39.8617,171,0,179.522
1.02,416.103,12.071,61.1097,36.4417,171,0,179.655
1.04,415.413,12.0745,61.7998,33.0217,171,0,179.754
1.06,414.8,12.0766,62.4128,29.6017,171,0,179.828
1.08,414.218,12.0779,62.9948,26.1817,171,0,179.893
1.1,413.77,12.0786,63.4428,22.7617,171,0,179.926
1.12,413.324,12.079,63.8888,19.3417,171,0,179.959
1.14,413.074,12.0791,64.1388,15.9217,171,0,179.971
1.16,412.889,12.0792,64.3238,12.5017,171,0,179.976
1.18,412.704,12.0792,64.5088,9.08174,171,0,179.981
1.2,412.519,12.0793,64.6938,5.66174,171,0,179.986
1.22,412.334,12.0793,64.8788,2.24174,171,0,179.991
