"time","x","y","position","velocity","acceleration","jerk","heading"
0,490.269,31.9608,0,0,0,0,180
0.02,490.08,31.9608,0.188922,9.44611,472.306,23615.3,179.995
0.04,489.892,31.9608,0.376845,9.39611,-2.5,-23740.3,179.99
0.06,489.703,31.9608,0.565767,9.44611,2.5,250,179.985
0.08,489.514,31.9609,0.754905,9.45689,0.538936,-98.0532,179.981
0.1,489.325,31.9609,0.943827,9.44611,-0.538936,-53.8936,179.976
0.12,488.945,31.9611,1.32387,19.0021,477.8,23917,179.953
0.14,488.493,31.9615,1.77562,22.5875,179.267,-14926.7,179.924
0.16,487.969,31.9623,2.29992,26.215,181.379,105.603,179.879
0.18,487.385,31.9637,2.8842,29.2142,149.959,-1571.01,179.82
0.2,486.71,31.9663,3.55859,33.7195,225.264,3765.23,179.729
0.22,485.983,31.9702,4.28625,36.3827,133.161,-4605.15,179.616
0.24,485.192,31.9764,5.07723,39.5493,158.329,1258.44,179.472
0.26,484.335,31.9855,5.93362,42.8195,163.511,259.106,179.288
0.28,483.415,31.9988,6.85429,46.0331,160.68,-141.561,179.054
0.3,482.432,32.0173,7.83704,49.1377,155.23,-272.513,178.769
0.32,481.388,32.0426,8.88165,52.2306,154.641,-29.4561,178.427
0.34,480.288,32.0766,9.98249,55.0419,140.569,-703.571,178.02
0.36,479.131,32.1211,11.14,57.8772,141.765,59.7876,177.545
0.38,477.924,32.1784,12.3482,60.4081,126.541,-761.198,176.996
0.4,476.657,32.252,13.6175,63.4669,152.942,1320.02,176.351
0.42,475.344,32.3439,14.934,65.8232,117.814,-1756.4,175.622
0.44,473.977,32.4582,16.3054,68.5677,137.229,970.746,174.796
0.46,472.563,32.5981,17.7262,71.0426,123.744,-674.204,173.882
0.48,471.093,32.7685,19.2067,74.0255,149.145,1270.04,172.895
0.5,469.565,32.9729,20.7478,77.0538,151.415,113.501,171.858
0.52,467.974,33.2158,22.3573,80.4776,171.187,988.608,170.812
0.54,466.302,33.5016,24.0531,84.7875,215.494,2215.35,169.826
0.56,464.535,33.8337,25.8513,89.9082,256.035,2027.05,168.987
0.58,462.648,34.213,27.7761,96.2415,316.667,3031.57,168.396
0.6,460.623,34.636,29.8449,103.443,360.051,2169.23,168.155
0.62,458.508,35.0791,32.0056,108.034,229.55,-6525.05,168.315
0.64,456.381,35.5111,34.1765,108.543,25.4781,-10203.6,168.833
0.66,454.262,35.9158,36.3339,107.871,-33.5981,-2953.81,169.627
0.68,452.172,36.2811,38.455,106.056,-90.7372,-2856.95,170.585
0.7,450.131,36.6012,40.5209,103.296,-138.025,-2364.39,171.618
0.72,448.155,36.8743,42.5161,99.7598,-176.808,-1939.18,172.655
0.74,446.256,37.1021,44.4285,95.6173,-207.124,-1515.76,173.649
0.76,444.441,37.2891,46.2533,91.2398,-218.872,-587.412,174.578
0.78,442.707,37.4406,47.9941,87.0415,-209.918,447.707,175.422
0.8,441.073,37.5606,49.6322,81.9062,-256.763,-2342.27,176.165
0.82,439.52,37.6555,51.1883,77.8051,-205.058,2585.24,176.826
0.84,438.062,37.7289,52.6481,72.9884,-240.833,-1788.74,177.397
0.86,436.692,37.7849,54.019,68.5445,-222.193,932.029,177.888
0.88,435.407,37.8273,55.3046,64.2806,-213.199,449.671,178.31
0.9,434.207,37.8588,56.5052,60.0275,-212.65,27.4464,178.668
0.92,433.092,37.8817,57.6208,55.7835,-212.2,22.4981,178.967
0.94,432.061,37.898,58.6511,51.5143,-213.463,-63.1498,179.209
0.96,431.116,37.9093,59.5962,47.2548,-212.972,24.5432,179.404
0.98,430.253,37.9169,60.4599,43.1829,-203.597,468.767,179.56
1,429.465,37.922,61.2476,39.3872,-189.785,690.623,179.684
1.02,428.739,37.9252,61.9734,36.2889,-154.916,1743.41,179.785
1.04,428.128,37.9271,62.5846,30.5614,-286.371,-6572.72,179.851
1.06,427.569,37.9282,63.1433,27.932,-131.47,7745.01,179.905
1.08,427.103,37.9288,63.6096,23.3165,-230.779,-4965.44,179.939
1.1,426.687,37.9291,64.0258,20.8126,-125.195,5279.21,179.968
1.12,426.496,37.9292,64.2169,9.55389,-562.933,-21886.9,179.973
1.14,426.305,37.9292,64.408,9.55389,-6.60343e-05,28146.7,179.978
1.16,426.114,37.9293,64.5991,9.55389,6.59882e-05,0.00660112,179.983
1.18,425.924,37.9293,64.7892,9.50389,-2.50007,-125.007,179.988
1.2,425.733,37.9293,64.9802,9.55389,2.5,250.003,179.993
