"time","x","y","position","velocity","acceleration","jerk","heading"
0,493.661,20.9482,0,0,171,0,-180
0.02,493.476,20.9482,0.184932,3.42,171,0,179.997
0.04,493.291,20.9482,0.369865,6.84,171,0,179.993
0.06,493.106,20.9482,0.554797,10.26,171,0,179.99
0.08,492.921,20.9482,0.73973,13.68,171,0,179.986
0.1,492.736,20.9483,0.924662,17.1,171,0,179.983
0.12,492.396,20.9484,1.26458,20.52,171,0,179.968
0.14,491.95,20.9487,1.71105,23.94,171,0,179.945
0.16,491.456,20.9492,2.20528,27.36,171,0,179.914
0.18,490.874,20.9503,2.78713,30.78,171,0,179.866
0.2,490.223,20.9521,3.43767,34.2,171,0,179.799
0.22,489.516,20.955,4.14511,37.62,171,0,179.714
0.24,488.733,20.9596,4.9285,41.04,171,0,179.6
0.26,487.874,20.9666,5.78742,44.46,171,0,179.452
0.28,486.95,20.9767,6.71111,47.88,171,0,179.268
0.3,485.959,20.9912,7.70198,51.3,171,0,179.043
0.32,484.901,21.0112,8.76056,54.72,105.972,0,178.769
0.34,483.787,21.0382,9.87493,56.8099,10.6933,0,178.443
0.36,482.649,21.0727,11.0132,57,0,0,178.071
0.38,481.51,21.1151,12.1532,57,0,0,177.651
0.4,480.371,21.1663,13.2932,57,0,0,177.188
0.42,479.233,21.2271,14.4332,57,0,0,176.682
0.44,478.095,21.2983,15.5732,57,0,0,176.132
0.46,476.958,21.3809,16.7132,57,0,0,175.537
0.48,475.822,21.4757,17.8532,57,0,0,174.895
0.5,474.687,21.5838,18.9932,57,0,0,174.205
0.52,473.554,21.7061,20.1332,57,0,0,173.459
0.54,472.422,21.8435,21.2732,57,0,0,172.657
0.56,471.292,21.9973,22.4132,57,0,0,171.798
0.58,470.165,22.1684,23.5532,57,0,0,170.891
0.6,469.041,22.3578,24.6932,57,0,0,169.929
0.62,467.92,22.5667,25.8332,57,0,0,168.9
0.64,466.804,22.7963,26.9732,57,0,0,167.827
0.66,465.692,23.0476,28.1132,57,0,0,166.663
0.68,464.585,23.3217,29.2532,57,0,0,165.458
0.7,463.485,23.62,30.3932,57,0,0,164.168
0.72,462.392,23.9433,31.5332,57,0,0,162.824
0.74,461.307,24.2929,32.6732,57,0,0,161.41
0.76,460.231,24.6698,33.8132,57,0,0,159.934
0.78,459.165,25.0748,34.9532,57,0,0,158.394
0.8,458.111,25.509,36.0932,57,0,0,156.797
0.82,457.07,25.973,37.2332,57,0,0,155.129
0.84,456.043,26.4675,38.3732,57,0,0,153.418
0.86,455.031,26.993,39.5132,57,0,0,151.65
0.88,454.037,27.5498,40.6532,57,0,0,149.847
0.9,453.06,28.138,41.7932,57,0,0,148.006
0.92,452.103,28.7575,42.9332,57,0,0,146.143
0.94,451.167,29.408,44.0732,57,0,0,144.253
0.96,450.253,30.0892,45.2132,57,0,0,142.36
0.98,449.362,30.8002,46.3532,57,0,0,140.466
1,448.495,31.5402,47.4932,57,0,0,138.582
1.02,447.653,32.3083,48.6332,57,0,0,136.718
1.04,446.835,33.1032,49.7732,57,0,0,134.883
1.06,446.044,33.9236,50.9132,57,0,0,133.078
1.08,445.278,34.7683,52.0532,57,0,0,131.327
1.1,444.539,35.6357,53.1932,57,0,0,129.614
