"time","x","y","position","velocity","acceleration","jerk","heading"
0,456.042,17.9093,0,0,171,0,0
0.02,455.868,17.8471,0.184783,3.42,171,0,-160.347
0.04,455.694,17.7849,0.369566,6.84,171,0,-160.349
0.06,455.519,17.7227,0.555292,10.26,171,0,-160.35
0.08,455.345,17.6605,0.740075,13.68,171,0,-160.351
0.1,455.171,17.5983,0.924858,17.1,171,0,-160.352
0.12,454.851,17.484,1.26466,20.52,171,0,-160.358
0.14,454.43,17.3339,1.71162,23.94,171,0,-160.366
0.16,453.965,17.1679,2.20536,27.36,171,0,-160.378
0.18,453.417,16.9726,2.78712,30.78,171,0,-160.395
0.2,452.804,16.7544,3.4378,34.2,171,0,-160.42
0.22,452.137,16.5175,4.14562,37.62,171,0,-160.451
0.24,451.399,16.2555,4.92874,41.04,171,0,-160.492
0.26,450.589,15.9691,5.78789,44.46,171,0,-160.545
0.28,449.718,15.6619,6.71147,47.88,171,0,-160.611
0.3,448.783,15.3335,7.70247,51.3,171,0,-160.692
0.32,447.784,14.9843,8.76074,54.72,105.972,0,-160.79
0.34,446.731,14.6186,9.87544,56.8099,10.6933,0,-160.905
0.36,445.655,14.2474,11.0137,57,0,0,-161.036
0.38,444.577,13.8783,12.1531,57,0,0,-161.183
0.4,443.497,13.5121,13.2935,57,0,0,-161.343
0.42,442.417,13.149,14.4329,57,0,0,-161.518
0.44,441.335,12.7893,15.5731,57,0,0,-161.706
0.46,440.252,12.4333,16.7131,57,0,0,-161.909
0.48,439.167,12.0813,17.8538,57,0,0,-162.127
0.5,438.082,11.7336,18.9932,57,0,0,-162.359
0.52,436.995,11.3904,20.1331,57,0,0,-162.611
0.54,435.906,11.0521,21.2734,57,0,0,-162.872
0.56,434.816,10.7189,22.4132,57,0,0,-163.153
0.58,433.724,10.3912,23.5533,57,0,0,-163.447
0.6,432.63,10.0693,24.6937,57,0,0,-163.756
0.62,431.535,9.7534,25.8333,57,0,0,-164.085
0.64,430.438,9.444,26.9731,57,0,0,-164.424
0.66,429.339,9.1413,28.113,57,0,0,-164.788
0.68,428.238,8.8456,29.2531,57,0,0,-165.162
0.7,427.135,8.5573,30.3931,57,0,0,-165.555
0.72,426.03,8.2768,31.5332,57,0,0,-165.962
0.74,424.923,8.0042,32.6732,57,0,0,-166.386
0.76,423.814,7.74,33.8133,57,0,0,-166.822
0.78,422.703,7.4844,34.9533,57,0,0,-167.276
0.8,421.59,7.2378,36.0933,57,0,0,-167.739
