"time","x","y","position","velocity","acceleration","jerk","heading"
0,465.388,43.0398,0,0,0,0,-160.346
0.02,465.209,42.976,0.189848,9.49241,474.62,23731,-160.347
0.04,465.032,42.9123,0.378506,9.43287,-2.97701,-23879.9,-160.349
0.06,464.853,42.8486,0.56832,9.49073,2.89301,293.501,-160.35
0.08,464.674,42.7849,0.758135,9.49073,-5.59739e-09,-144.651,-160.351
0.1,464.496,42.7212,0.947734,9.47995,-0.53887,-26.9435,-160.353
0.12,464.134,42.592,1.33188,19.2074,486.373,24345.6,-160.359
0.14,463.705,42.4388,1.78759,22.7857,178.912,-15373.1,-160.368
0.16,463.204,42.2603,2.31883,26.5616,188.8,494.384,-160.381
0.18,462.646,42.0612,2.91161,29.639,153.87,-1746.47,-160.399
0.2,461.998,41.8307,3.5997,34.4048,238.288,4220.9,-160.427
0.22,461.296,41.5815,4.34451,37.2404,141.779,-4825.45,-160.462
0.24,460.531,41.31,5.15611,40.5801,166.984,1260.25,-160.507
0.26,459.698,41.0156,6.03982,44.1853,180.258,663.707,-160.565
0.28,458.796,40.6982,6.99541,47.7797,179.723,-26.7667,-160.637
0.3,457.829,40.359,8.02086,51.2724,174.632,-254.552,-160.727
0.32,456.796,39.9987,9.11471,54.6923,170.995,-181.844,-160.836
0.34,455.707,39.6218,10.2668,57.6059,145.683,-1265.63,-160.965
0.36,454.602,39.242,11.4355,58.4333,41.3674,-5215.76,-161.111
0.38,453.499,38.8662,12.6009,58.2704,-8.14554,-2475.64,-161.272
0.4,452.398,38.4948,13.7629,58.0999,-8.52445,-18.9452,-161.448
0.42,451.3,38.1282,14.9206,57.8852,-10.7315,-110.355,-161.643
0.44,450.202,37.7665,16.0759,57.7663,-5.94758,239.198,-161.852
0.46,449.108,37.4099,17.2272,57.5636,-10.1328,-209.259,-162.078
0.48,448.015,37.0588,18.3748,57.3787,-9.24427,44.4248,-162.319
0.5,446.925,36.714,19.518,57.1595,-10.9647,-86.0205,-162.582
0.52,445.835,36.3749,20.6593,57.0678,-4.5846,319.004,-162.855
0.54,444.748,36.0425,21.7964,56.853,-10.738,-307.67,-163.149
0.56,443.663,35.7169,22.929,56.6307,-11.1167,-18.9363,-163.46
0.58,442.579,35.3981,24.0587,56.4845,-7.30843,190.415,-163.785
0.6,441.499,35.0872,25.1832,56.2269,-12.8801,-278.582,-164.134
0.62,440.418,34.7838,26.3059,56.1327,-4.71158,408.424,-164.496
0.64,439.341,34.4887,27.4225,55.8327,-14.9959,-514.218,-164.881
0.66,438.264,34.2018,28.537,55.7236,-5.4559,477.002,-165.28
0.68,437.19,33.9235,29.6462,55.4617,-13.0941,-381.909,-165.698
0.7,436.117,33.6542,30.7528,55.3272,-6.72895,318.256,-166.132
0.72,435.046,33.3942,31.8548,55.1009,-11.3157,-229.336,-166.586
0.74,433.975,33.1435,32.9545,54.9869,-5.69963,280.802,-167.054
0.76,432.907,32.9024,34.0496,54.7545,-11.6184,-295.937,-167.538
0.78,431.839,32.6711,35.1427,54.6529,-5.07889,326.974,-168.035
0.8,430.771,32.4497,36.2332,54.5244,-6.42648,-67.3795,-168.543
0.82,429.704,32.2383,37.3212,54.3996,-6.24144,9.25212,-169.062
0.84,428.636,32.0371,38.4073,54.309,-4.52587,85.7786,-169.589
0.86,427.567,31.8458,39.4936,54.315,0.297824,241.185,-170.12
0.88,426.497,31.6646,40.5786,54.2484,-3.33216,-181.499,-170.653
0.9,425.425,31.4933,41.6642,54.2792,1.54462,243.839,-171.184
0.92,424.351,31.3317,42.7506,54.3198,2.02702,24.1198,-171.708
0.94,423.272,31.1795,43.8401,54.4773,7.87506,292.402,-172.224
0.96,422.19,31.0367,44.9315,54.5666,4.46406,-170.55,-172.725
0.98,421.102,30.9026,46.0274,54.7952,11.4305,348.323,-173.208
1,420.01,30.7771,47.1268,54.9701,8.74586,-134.233,-173.674
1.02,418.908,30.6592,48.2353,55.4278,22.8828,706.848,-174.102
1.04,417.801,30.549,49.3479,55.6304,10.1341,-637.435,-174.507
1.06,416.685,30.4456,50.4683,56.0186,19.4108,463.834,-174.877
1.08,415.561,30.3483,51.5964,56.4059,19.3644,-2.31783,-175.208
1.1,414.43,30.2567,52.731,56.7304,16.223,-157.071,-175.511
1.12,413.286,30.1695,53.8787,57.383,32.63,820.35,-175.756
1.14,412.135,30.0864,55.0329,57.7101,16.356,-813.7,-175.969
1.16,410.974,30.0067,56.1961,58.1591,22.4509,304.743,-176.139
1.18,409.805,29.9293,57.3683,58.6121,22.6498,9.94437,-176.266
1.2,408.628,29.8536,58.5479,58.9782,18.3029,-217.346,-176.363
1.22,407.439,29.7786,59.7386,59.5382,27.9981,484.763,-176.403
1.24,406.244,29.7038,60.9362,59.8768,16.9348,-553.164,-176.416
1.26,405.041,29.6285,62.1413,60.2544,18.8761,97.0623,-176.394
1.28,403.833,29.552,63.3523,60.5519,14.8745,-200.08,-176.34
1.3,402.618,29.4736,64.5698,60.876,16.2059,66.5711,-176.261
1.32,401.397,29.3927,65.7936,61.1883,15.6143,-29.5808,-176.149
1.34,400.172,29.309,67.0212,61.3799,9.58043,-301.693,-176.02
1.36,398.942,29.2219,68.254,61.6382,12.9147,166.713,-175.868
1.38,397.71,29.1312,69.4898,61.7902,7.59959,-265.754,-175.703
