"time","x","y","position","velocity","acceleration","jerk","heading"
0,495.385,87.8222,0,0,142.5,0,0
0.02,495.554,87.8222,0.168819,2.85,142.5,0,0.000565704
0.04,495.723,87.8222,0.337639,5.7,142.5,0,0.00113141
0.06,495.892,87.8222,0.506458,8.55,142.5,0,0.00169711
0.08,496.06,87.8222,0.675278,11.4,142.5,0,0.00226281
0.1,496.229,87.8222,0.844097,14.25,142.5,0,0.00282852
0.12,496.416,87.8222,1.03118,17.1,142.5,0,0.0036108
0.14,496.824,87.8222,1.43875,19.95,142.5,0,0.00700724
0.16,497.231,87.8223,1.84632,22.8,142.5,0,0.0104037
0.18,497.716,87.8224,2.33087,25.65,142.5,0,0.0160128
0.2,498.247,87.8225,2.86202,28.5,142.5,0,0.0229613
0.22,498.852,87.8228,3.46637,31.35,142.5,0,0.0329948
0.24,499.495,87.8232,4.10943,34.2,142.5,0,0.0448239
0.26,500.21,87.8239,4.82456,37.05,142.5,0,0.060599
0.28,500.982,87.8248,5.59696,39.9,142.5,0,0.0802745
0.3,501.807,87.8261,6.42189,42.75,142.5,0,0.104218
0.32,502.688,87.8279,7.30305,45.6,142.5,0,0.133167
0.34,503.627,87.8304,8.2419,48.45,142.5,0,0.167481
0.36,504.624,87.8336,9.23879,51.3,142.5,0,0.207845
0.38,505.679,87.8378,10.2934,54.15,142.5,0,0.254913
0.4,506.79,87.8433,11.4052,57,142.5,0,0.309308
0.42,507.959,87.8502,12.5734,59.85,142.5,0,0.371601
0.44,509.182,87.8589,13.797,62.7,142.5,0,0.442295
0.46,510.463,87.8696,15.0777,65.55,142.5,0,0.522296
0.48,511.805,87.8829,16.4197,68.4,142.5,0,0.612777
0.5,513.2,87.899,17.8147,71.25,142.5,0,0.712172
0.52,514.653,87.9185,19.2685,74.1,142.5,0,0.821651
0.54,516.163,87.9416,20.7786,76.95,142.5,0,0.937984
0.56,517.731,87.969,22.3465,79.8,142.5,0,1.0601
0.58,519.353,88.0008,23.9688,82.65,142.5,0,1.18415
0.6,521.036,88.0374,25.6522,85.5,142.5,0,1.3028
0.62,522.774,88.0786,27.3907,88.35,142.5,0,1.40959
0.64,524.568,88.1243,29.1853,91.2,142.5,0,1.49628
0.66,526.419,88.1737,31.0368,94.05,132.017,0,1.54795
0.68,528.313,88.2252,32.9317,94.0974,-142.5,0,1.55638
0.7,530.165,88.2753,34.7842,91.2474,-142.5,0,1.52296
0.72,531.96,88.3221,36.5799,88.3974,-142.5,0,1.45383
0.74,533.699,88.365,38.3194,85.5474,-142.5,0,1.35794
0.76,535.383,88.4033,40.004,82.6974,-142.5,0,1.24548
0.78,537.005,88.437,41.6269,79.8474,-142.5,0,1.12563
0.8,538.574,88.4661,43.196,76.9974,-142.5,0,1.00438
0.82,540.085,88.491,44.7067,74.1474,-142.5,0,0.886655
0.84,541.54,88.5121,46.1619,71.2974,-142.5,0,0.775741
0.86,542.935,88.5297,47.5575,68.4474,-142.5,0,0.672722
0.88,544.278,88.5444,48.9002,65.5974,-142.5,0,0.578768
0.9,545.56,88.5564,50.1824,62.7474,-142.5,0,0.494724
0.92,546.784,88.5661,51.4068,59.8974,-142.5,0,0.419865
0.94,547.953,88.574,52.5757,57.0474,-142.5,0,0.353501
0.96,549.066,88.5803,53.6884,54.1974,-142.5,0,0.295396
0.98,550.122,88.5852,54.7439,51.3474,-142.5,0,0.244868
1,551.119,88.5891,55.7417,48.4974,-142.5,0,0.201228
1.02,552.059,88.5921,56.6816,45.6474,-142.5,0,0.163825
1.04,552.941,88.5943,57.5638,42.7974,-142.5,0,0.13197
1.06,553.767,88.596,58.3899,39.9474,-142.5,0,0.10494
1.08,554.541,88.5973,59.1635,37.0974,-142.5,0,0.0819702
1.1,555.256,88.5982,59.8787,34.2474,-142.5,0,0.0630684
1.12,555.901,88.5988,60.5232,31.3974,-142.5,0,0.0487853
1.14,556.507,88.5992,61.1292,28.5474,-142.5,0,0.0365371
1.16,557.038,88.5995,61.6603,25.6974,-142.5,0,0.0276853
1.18,557.524,88.5997,62.1469,22.8474,-142.5,0,0.0202549
1.2,557.932,88.5998,62.5545,19.9974,-142.5,0,0.0153462
1.22,558.34,88.5999,62.962,17.1474,-142.5,0,0.0104375
1.24,558.531,88.5999,63.1531,14.2974,-142.5,0,0.00887521
1.26,558.7,88.5999,63.3219,11.4474,-142.5,0,0.00765664
1.28,558.868,88.6,63.4907,8.59738,-142.5,0,0.00643807
1.3,559.037,88.6,63.6596,5.74738,-142.5,0,0.00521949
1.32,559.206,88.6,63.8284,2.89738,-142.5,0,0.00400092
1.34,559.375,88.6,63.9972,0.0473822,-142.5,0,0.00278234
